source_docx,status,markdown,title,bytes,mtime,paragraphs,tables
C:\Users\clive\Documents\Cosmology\HHT_Status_Update_2026-01-13.docx,extracted,C:\Users\clive\Documents\Cosmology\github_export\docs\hht_cmb_sn_docx_reports\extracted_text\hht_status_update_2026_01_13.md,HHT_Status_Update_2026-01-13,337997,2026-01-15T19:30:54,204,4
C:\Users\clive\Documents\Cosmology\HHT_Status_Update_2026-01-13 (1).docx,extracted,C:\Users\clive\Documents\Cosmology\github_export\docs\hht_cmb_sn_docx_reports\extracted_text\hht_status_update_2026_01_13_1.md,HHT_Status_Update_2026-01-13 (1),327837,2026-01-15T15:55:02,80,4
C:\Users\clive\Documents\Cosmology\quaia hht bcuts.docx,extracted,C:\Users\clive\Documents\Cosmology\github_export\docs\hht_cmb_sn_docx_reports\extracted_text\quaia_hht_bcuts.md,quaia hht bcuts,21225,2025-12-08T01:30:34,153,0
C:\Users\clive\Documents\Cosmology\FR_HHT_Update_2025-11-05_1V2.docx,extracted,C:\Users\clive\Documents\Cosmology\github_export\docs\hht_cmb_sn_docx_reports\extracted_text\fr_hht_update_2025_11_05_1v2.md,FR_HHT_Update_2025-11-05_1V2,30045,2025-11-16T14:39:04,46,0
C:\Users\clive\Documents\Cosmology\FR_HHT_Update_2025-11-05_1V1 (1).docx,extracted,C:\Users\clive\Documents\Cosmology\github_export\docs\hht_cmb_sn_docx_reports\extracted_text\fr_hht_update_2025_11_05_1v1_1.md,FR_HHT_Update_2025-11-05_1V1 (1),39186,2025-11-05T07:46:06,45,0
C:\Users\clive\Documents\Cosmology\FR_HHT_Update_2025-11-05_1V1.docx,extracted,C:\Users\clive\Documents\Cosmology\github_export\docs\hht_cmb_sn_docx_reports\extracted_text\fr_hht_update_2025_11_05_1v1.md,FR_HHT_Update_2025-11-05_1V1,39186,2025-11-05T07:45:16,45,0
C:\Users\clive\Documents\Cosmology\FR_HHT_Update_2025-11-04_1V0.docx,extracted,C:\Users\clive\Documents\Cosmology\github_export\docs\hht_cmb_sn_docx_reports\extracted_text\fr_hht_update_2025_11_04_1v0.md,FR + HHT Update Report (Alpha & Skymap/Chirp) — 1V0,4250,2025-11-05T06:59:04,50,0
C:\Users\clive\Documents\Cosmology\.spyder-py3\plamb_runs\tools\hht_imf2_compare\alpha_grid_summary.docx,extracted,C:\Users\clive\Documents\Cosmology\github_export\docs\hht_cmb_sn_docx_reports\extracted_text\alpha_grid_summary.md,alpha_grid_summary,74439,2025-11-03T08:35:08,4,1
C:\Users\clive\Documents\Cosmology\.spyder-py3\plamb_runs\tools\hht_imf2_compare\HHT_Locking_Alpha_Compare_1V0.docx,extracted,C:\Users\clive\Documents\Cosmology\github_export\docs\hht_cmb_sn_docx_reports\extracted_text\hht_locking_alpha_compare_1v0.md,HHT_Locking_Alpha_Compare_1V0,37859,2025-11-03T08:03:10,15,1
C:\Users\clive\Documents\Cosmology\SkyMap_HHT_Integration_Report_A4.docx,extracted,C:\Users\clive\Documents\Cosmology\github_export\docs\hht_cmb_sn_docx_reports\extracted_text\skymap_hht_integration_report_a4.md,SkyMap_HHT_Integration_Report_A4,30908,2025-11-01T10:05:04,42,2
