stream,selection_basis,source_path,source_relative,source_size_bytes,source_modified_time,status,pdf_path,pdf_relative,pdf_size_bytes,page_count,duration_seconds,message
skymap_quaia,skymap_report_manifest,C:\Users\clive\Documents\Cosmology\HHT_BAO_Skymap_Findings_0V3_2025-10-29.docx,HHT_BAO_Skymap_Findings_0V3_2025-10-29.docx,133580,2025-10-30T00:27:30,rendered_existing,C:\Users\clive\Documents\Cosmology\github_export\docs\rendered_pdfs\skymap_quaia\HHT_BAO_Skymap_Findings_0V3_2025-10-29.pdf,github_export/docs/rendered_pdfs/skymap_quaia/HHT_BAO_Skymap_Findings_0V3_2025-10-29.pdf,234979,7,0.0,Reused existing rendered PDF from earlier interrupted run.
skymap_quaia,skymap_report_manifest,C:\Users\clive\Documents\Cosmology\HHT_SkyMap_Report_0V3.docx,HHT_SkyMap_Report_0V3.docx,5787,2025-10-30T00:33:42,failed,,,,,3.44,Could not find platform independent libraries <prefix> Error: source file could not be loaded
skymap_quaia,skymap_report_manifest,C:\Users\clive\Documents\Cosmology\Quaia Analysis Update Dec05.docx,Quaia Analysis Update Dec05.docx,357448,2025-12-26T18:50:18,rendered_existing,C:\Users\clive\Documents\Cosmology\github_export\docs\rendered_pdfs\skymap_quaia\Quaia_Analysis_Update_Dec05.pdf,github_export/docs/rendered_pdfs/skymap_quaia/Quaia_Analysis_Update_Dec05.pdf,675415,23,0.0,Reused existing rendered PDF from earlier interrupted run.
skymap_quaia,skymap_report_manifest,C:\Users\clive\Documents\Cosmology\QUAIA FR GR Note.docx,QUAIA FR GR Note.docx,16827,2025-12-01T18:52:14,rendered_existing,C:\Users\clive\Documents\Cosmology\github_export\docs\rendered_pdfs\skymap_quaia\QUAIA_FR_GR_Note.pdf,github_export/docs/rendered_pdfs/skymap_quaia/QUAIA_FR_GR_Note.pdf,118588,2,0.0,Reused existing rendered PDF from earlier interrupted run.
skymap_quaia,skymap_report_manifest,C:\Users\clive\Documents\Cosmology\quaia hht bcuts.docx,quaia hht bcuts.docx,21225,2025-12-08T01:30:34,rendered_existing,C:\Users\clive\Documents\Cosmology\github_export\docs\rendered_pdfs\skymap_quaia\quaia_hht_bcuts.pdf,github_export/docs/rendered_pdfs/skymap_quaia/quaia_hht_bcuts.pdf,77513,13,0.0,Reused existing rendered PDF from earlier interrupted run.
skymap_quaia,skymap_report_manifest,C:\Users\clive\Documents\Cosmology\quaia outputs 23N0V25.docx,quaia outputs 23N0V25.docx,7235645,2025-11-23T09:01:10,rendered_existing,C:\Users\clive\Documents\Cosmology\github_export\docs\rendered_pdfs\skymap_quaia\quaia_outputs_23N0V25.pdf,github_export/docs/rendered_pdfs/skymap_quaia/quaia_outputs_23N0V25.pdf,4339647,16,0.0,Reused existing rendered PDF from earlier interrupted run.
skymap_quaia,skymap_report_manifest,C:\Users\clive\Documents\Cosmology\Quaia Plots Nov 27.docx,Quaia Plots Nov 27.docx,4058988,2025-11-27T01:49:18,rendered_existing,C:\Users\clive\Documents\Cosmology\github_export\docs\rendered_pdfs\skymap_quaia\Quaia_Plots_Nov_27.pdf,github_export/docs/rendered_pdfs/skymap_quaia/Quaia_Plots_Nov_27.pdf,2564226,11,0.0,Reused existing rendered PDF from earlier interrupted run.
skymap_quaia,skymap_report_manifest,C:\Users\clive\Documents\Cosmology\Quaia Post Robustness Plots Nov 26.docx,Quaia Post Robustness Plots Nov 26.docx,3596663,2025-11-26T11:03:20,rendered_existing,C:\Users\clive\Documents\Cosmology\github_export\docs\rendered_pdfs\skymap_quaia\Quaia_Post_Robustness_Plots_Nov_26.pdf,github_export/docs/rendered_pdfs/skymap_quaia/Quaia_Post_Robustness_Plots_Nov_26.pdf,2190062,6,0.0,Reused existing rendered PDF from earlier interrupted run.
skymap_quaia,skymap_report_manifest,C:\Users\clive\Documents\Cosmology\Quaia Redshift Report Update Dec02.docx,Quaia Redshift Report Update Dec02.docx,31401,2025-12-02T21:07:00,rendered_existing,C:\Users\clive\Documents\Cosmology\github_export\docs\rendered_pdfs\skymap_quaia\Quaia_Redshift_Report_Update_Dec02.pdf,github_export/docs/rendered_pdfs/skymap_quaia/Quaia_Redshift_Report_Update_Dec02.pdf,282613,11,0.0,Reused existing rendered PDF from earlier interrupted run.
skymap_quaia,skymap_report_manifest,C:\Users\clive\Documents\Cosmology\Quaia_Dipole_Quadrupole_Report_0V1.docx,Quaia_Dipole_Quadrupole_Report_0V1.docx,7581,2025-11-17T14:11:46,failed,,,,,2.88,Could not find platform independent libraries <prefix> Error: source file could not be loaded
