topic,artifact,local_source,github_export_path,git_policy,notes
SU2/Quaia,global look-elsewhere readout,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\su2_quaia_global_lookelsewhere_readout_2026-07-14.md,github_export/results/2026-07-14/su2_quaia/su2_quaia_global_lookelsewhere_readout_2026-07-14.md,track,Gate 1 global p-value readout
SU2/Quaia,global observed thresholds,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\su2_quaia_global_lookelsewhere_observed_thresholds_2026-07-14.csv,github_export/results/2026-07-14/su2_quaia/su2_quaia_global_lookelsewhere_observed_thresholds_2026-07-14.csv,track,Small CSV table
SU2/Quaia,template regression readout,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\su2_quaia_template_regression_readout_2026-07-14.md,github_export/results/2026-07-14/su2_quaia/su2_quaia_template_regression_readout_2026-07-14.md,track,Systematics warning readout
SU2/Quaia,direction stability readout,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\su2_quaia_direction_stability_readout_2026-07-14.md,github_export/results/2026-07-14/su2_quaia/su2_quaia_direction_stability_readout_2026-07-14.md,track,Gate 2 direction/amplitude stability readout
SU2/Quaia,direction stability window summary,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\su2_quaia_direction_stability_window_summary_2026-07-14.csv,github_export/results/2026-07-14/su2_quaia/su2_quaia_direction_stability_window_summary_2026-07-14.csv,track,Window-level stability summary
SU2/Quaia,direction stability fit grid,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\su2_quaia_direction_stability_fit_grid_2026-07-14.csv,github_export/results/2026-07-14/su2_quaia/su2_quaia_direction_stability_fit_grid_2026-07-14.csv,track,Observed perturbation-grid fits
Quaia,mock high-stat readout,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\quaia_redshift_window_highstat_mocks_summary_2026-07-14.md,github_export/results/2026-07-14/quaia/quaia_redshift_window_highstat_mocks_summary_2026-07-14.md,track,High-stat redshift-window mock summary
Raw-MU,calibration budget policy,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\rawmu_calibration_budget_default_policy_2026-07-14.md,github_export/results/2026-07-14/rawmu/rawmu_calibration_budget_default_policy_2026-07-14.md,track,Default supernova diagnostic policy
SPARC,filtered-family claim boundary,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\sparc_filtered_rar_convergence_rescue_plan_2026-07-14.md,github_export/results/2026-07-14/sparc/sparc_filtered_rar_convergence_rescue_plan_2026-07-14.md,track,Claim-boundary and rescue-run plan
SU2/Quaia,targeted stability readout,C:\Users\clive\Documents\Codex\2026-07-14\ok-continu\outputs\su2_quaia_targeted_stability_readout_2026-07-14.md,github_export/results/2026-07-14/su2_quaia/su2_quaia_targeted_stability_readout_2026-07-14.md,track,Targeted nested-mock readout
