source_path,source_relative,size_bytes,modified_time,export_path,word_count_estimate,doc_title,embedded_media_files,embedded_media_bytes
C:\Users\clive\Documents\Cosmology\HHT_BAO_Skymap_Findings_0V3_2025-10-29.docx,HHT_BAO_Skymap_Findings_0V3_2025-10-29.docx,133580,2025-10-30T00:27:30,github_export/docs/skymap_reports/extracted_text/HHT_BAO_Skymap_Findings_0V3_2025-10-29.docx.md,1134,,1,94058
C:\Users\clive\Documents\Cosmology\HHT_SkyMap_Report_0V3.docx,HHT_SkyMap_Report_0V3.docx,5787,2025-10-30T00:33:42,github_export/docs/skymap_reports/extracted_text/HHT_SkyMap_Report_0V3.docx.md,1362,,0,0
C:\Users\clive\Documents\Cosmology\Quaia Analysis Update Dec05.docx,Quaia Analysis Update Dec05.docx,357448,2025-12-26T18:50:18,github_export/docs/skymap_reports/extracted_text/Quaia_Analysis_Update_Dec05.docx.md,4953,,3,278168
C:\Users\clive\Documents\Cosmology\QUAIA FR GR Note.docx,QUAIA FR GR Note.docx,16827,2025-12-01T18:52:14,github_export/docs/skymap_reports/extracted_text/QUAIA_FR_GR_Note.docx.md,524,,0,0
C:\Users\clive\Documents\Cosmology\quaia hht bcuts.docx,quaia hht bcuts.docx,21225,2025-12-08T01:30:34,github_export/docs/skymap_reports/extracted_text/quaia_hht_bcuts.docx.md,4185,,0,0
C:\Users\clive\Documents\Cosmology\quaia outputs 23N0V25.docx,quaia outputs 23N0V25.docx,7235645,2025-11-23T09:01:10,github_export/docs/skymap_reports/extracted_text/quaia_outputs_23N0V25.docx.md,670,,18,7212935
C:\Users\clive\Documents\Cosmology\Quaia Plots Nov 27.docx,Quaia Plots Nov 27.docx,4058988,2025-11-27T01:49:18,github_export/docs/skymap_reports/extracted_text/Quaia_Plots_Nov_27.docx.md,1515,,14,4034622
C:\Users\clive\Documents\Cosmology\Quaia Post Robustness Plots Nov 26.docx,Quaia Post Robustness Plots Nov 26.docx,3596663,2025-11-26T11:03:20,github_export/docs/skymap_reports/extracted_text/Quaia_Post_Robustness_Plots_Nov_26.docx.md,120,,10,3580347
C:\Users\clive\Documents\Cosmology\Quaia Redshift Report Update Dec02.docx,Quaia Redshift Report Update Dec02.docx,31401,2025-12-02T21:07:00,github_export/docs/skymap_reports/extracted_text/Quaia_Redshift_Report_Update_Dec02.docx.md,2122,,0,0
C:\Users\clive\Documents\Cosmology\Quaia_Dipole_Quadrupole_Report_0V1.docx,Quaia_Dipole_Quadrupole_Report_0V1.docx,7581,2025-11-17T14:11:46,github_export/docs/skymap_reports/extracted_text/Quaia_Dipole_Quadrupole_Report_0V1.docx.md,11,,0,0
C:\Users\clive\Documents\Cosmology\Quaia_Dipole_Quadrupole_Report_0V1_v2.docx,Quaia_Dipole_Quadrupole_Report_0V1_v2.docx,42987,2025-11-17T15:05:18,github_export/docs/skymap_reports/extracted_text/Quaia_Dipole_Quadrupole_Report_0V1_v2.docx.md,2248,,0,0
C:\Users\clive\Documents\Cosmology\Quaia_FR_Dipole_Report_1V2.docx,Quaia_FR_Dipole_Report_1V2.docx,50332,2025-11-26T12:01:22,github_export/docs/skymap_reports/extracted_text/Quaia_FR_Dipole_Report_1V2.docx.md,3199,,0,0
