probe,kind,z,log1pz,x_hht,n_in_bin,observed,sigma,joint_pull_LCDM_baocov,joint_pull_SU2_baocov_4D,joint_pull_SU2R_baocov_4D,joint_pull_SU2_wa_free_baocov,joint_delta_pull_SU2_baocov_4D_minus_LCDM_baocov,joint_delta_pull_SU2R_baocov_4D_minus_LCDM_baocov,joint_delta_pull_SU2_wa_free_baocov_minus_LCDM_baocov
SN_bin,mu_binned_pull,0.014243761510687437,0.014143272245658296,0.014143272245658296,293,nan,1.0,-0.15343165839537684,-0.24997713881850242,-0.24893334315954926,-0.24537352502476187,-0.09654548042312558,-0.09550168476417242,-0.09194186662938503
SN_bin,mu_binned_pull,0.02969394942784005,0.0292616216099293,0.0292616216099293,309,nan,1.0,-0.07833808423403163,-0.2005173428032124,-0.19932833469076494,-0.19666363079647026,-0.12217925856918077,-0.12099025045673331,-0.11832554656243863
SN_bin,mu_binned_pull,0.050611910783777796,0.04937276659870002,0.04937276659870002,83,nan,1.0,0.10618341908791093,-0.012699409206229617,-0.011737186531696586,-0.011598853807437134,-0.11888282829414054,-0.11792060561960752,-0.11778227289534807
CC,H_z,0.07,0.06765864847381481,0.0677386484738148,1,69.0,19.6,0.3003021396495619,0.3147867513544995,0.3149077879954782,0.3174249194088632,0.014484611704937589,0.014605648345916267,0.017122779759301265
SN_bin,mu_binned_pull,0.0731146021023882,0.07056526325971439,0.07056526325971439,47,nan,1.0,0.13640874969327524,0.03921437150650994,0.03980237743716979,0.03771769963676729,-0.0971943781867653,-0.09660637225610544,-0.09869105005650794
CC,H_z,0.09,0.08617769624105233,0.08625769624105233,1,69.0,11.9991,0.5421683180866713,0.55187318670115,0.552293718689208,0.5569595144471631,0.009704868614478723,0.010125400602536638,0.014791196360491754
SN_bin,mu_binned_pull,0.09573394694481167,0.09142440991953721,0.09142440991953721,15,nan,1.0,-0.0256393966425822,-0.11018767804631077,-0.10988515267160154,-0.11369134573096545,-0.08454828140372857,-0.08424575602901933,-0.08805194908838325
SN_bin,mu_binned_pull,0.11688695825457668,0.11054531376137909,0.11054531376137909,32,nan,1.0,0.14162819125314927,0.07173110589790918,0.0717738202988235,0.0669000850782323,-0.06989708535524009,-0.06985437095432577,-0.07472810617491697
CC,H_z,0.12,0.11332868530700317,0.11340868530700317,1,68.6,26.2,0.30031961677687374,0.29579083772660053,0.2961041941353508,0.29816554071427165,-0.004528779050273213,-0.00421542264152297,-0.002154076062602095
SN_bin,mu_binned_pull,0.13878326374744077,0.12996037992056725,0.12996037992056725,46,nan,1.0,0.12059553086842299,0.0644127345210277,0.06421441791915863,0.05860799601462506,-0.056182796347395286,-0.05638111294926436,-0.06198753485379793
SN_bin,mu_binned_pull,0.15905756312885416,0.14760722932692483,0.14760722932692483,37,nan,1.0,0.5470855839400549,0.5057074398412063,0.5053207080936453,0.499637608437625,-0.04137814409884866,-0.041764875846409644,-0.04744797550242991
CC,H_z,0.17,0.15700374880966478,0.15708374880966477,1,83.0,8.00037,-0.6047272077220237,-0.6635118017742466,-0.6620704068531016,-0.6584350643030701,-0.058784594052222916,-0.05734319913107788,-0.053707856581046376
CC,H_z,0.1791,0.1647514356004906,0.1648314356004906,1,74.91,3.8069262,0.9383126628266901,0.7993040373153073,0.8024317847027563,0.8083839514162032,-0.13900862551138282,-0.1358808781239338,-0.1299287114104869
SN_bin,mu_binned_pull,0.18130139441719942,0.1666167073806809,0.1666167073806809,66,nan,1.0,0.18191282772625497,0.15418926025822352,0.15360382682807086,0.1478814649093278,-0.02772356746803145,-0.02830900089818411,-0.034031362816927174
CC,H_z,0.1993,0.18173805325553832,0.18181805325553832,1,74.96,4.9001352,0.8664518571270966,0.732863577815967,0.7354181459429473,0.7368744491999507,-0.1335882793111296,-0.1310337111841493,-0.1295774079271459
CC,H_z,0.2,0.18232155679395465,0.18240155679395464,1,72.9,29.6,0.21388950747946062,0.1916321746191489,0.19205560842769415,0.19227768483884577,-0.02225733286031173,-0.02183389905176647,-0.02161182264061484
SN_bin,mu_binned_pull,0.20592206590740908,0.18724447424958193,0.18724447424958193,71,nan,1.0,0.2973290140932916,0.2858125215290168,0.285110212052976,0.2802271346532958,-0.011516492564274783,-0.012218802040315613,-0.017101879439995804
