pack,npz,IMF,energy,r_with_k,r_with_1_over_k,p_perm_1_over_k,smooth,zmin,zmax
baseline,plamb_runs/hht_sn_FRPBH/hht_sn_detail.npz,1,2.7960091206724917,0.3126878330867277,-0.2836196825049367,1.0,9,0.02,2.1
baseline,plamb_runs/hht_sn_FRPBH/hht_sn_detail.npz,2,0.8977383605668887,-0.08993311383522623,0.13770721173662642,0.0004997501249375312,9,0.02,2.1
baseline,plamb_runs/hht_sn_FRPBH/hht_sn_detail.npz,3,1.2286018953719076,0.04073269543805727,0.029250907317058036,0.20089955022488756,9,0.02,2.1
baseline,plamb_runs/hht_sn_FRPBH/hht_sn_detail.npz,4,1.4605881443992268,0.3277495816611076,-0.3266281504587423,1.0,9,0.02,2.1
baseline,plamb_runs/hht_sn_FRPBH/hht_sn_detail.npz,5,4.777630904946335,-0.03850526423731258,0.019890352491933376,0.2868565717141429,9,0.02,2.1
baseline,plamb_runs/hht_sn_FRPBH/hht_sn_detail.npz,6,2.102800689493806,0.5062589685640873,-0.38092950330935693,1.0,9,0.02,2.1
conserve_time,plamb_runs/hht_sn_noether/conserve_time/hht_sn_detail.npz,1,2.8215696897137024,0.08020330328150099,-0.019882995741259794,0.704647676161919,9,0.02,2.1
conserve_time,plamb_runs/hht_sn_noether/conserve_time/hht_sn_detail.npz,2,0.9307928811160029,-0.1442860782750251,0.2190147807010034,0.0004997501249375312,9,0.02,2.1
conserve_time,plamb_runs/hht_sn_noether/conserve_time/hht_sn_detail.npz,3,1.1572575365306763,0.07719832191114723,-0.04776050061606044,0.9020489755122438,9,0.02,2.1
conserve_time,plamb_runs/hht_sn_noether/conserve_time/hht_sn_detail.npz,4,1.5073560404753996,0.14829670732969105,-0.13384989956311988,0.9995002498750625,9,0.02,2.1
conserve_time,plamb_runs/hht_sn_noether/conserve_time/hht_sn_detail.npz,5,4.522116955933116,0.08421249141818853,-0.06593824671083805,0.9660169915042479,9,0.02,2.1
conserve_time,plamb_runs/hht_sn_noether/conserve_time/hht_sn_detail.npz,6,2.095507224588961,0.5426292863033204,-0.4109411374601513,1.0,9,0.02,2.1
lambda_on,plamb_runs/hht_couple/ou_seed777_ON/hht_sn_detail.npz,1,2.902435410464149,0.24074418319153815,-0.29175255310785386,1.0,9,0.02,2.1
lambda_on,plamb_runs/hht_couple/ou_seed777_ON/hht_sn_detail.npz,2,0.8619940614110145,-0.0016629350851423371,0.071130487450563,0.02498750624687656,9,0.02,2.1
lambda_on,plamb_runs/hht_couple/ou_seed777_ON/hht_sn_detail.npz,3,1.1943639747581254,-0.024859158078441076,0.13163860170752706,0.0009995002498750624,9,0.02,2.1
lambda_on,plamb_runs/hht_couple/ou_seed777_ON/hht_sn_detail.npz,4,1.3776659679633199,0.17810237749218202,-0.0807520738056513,0.9890054972513743,9,0.02,2.1
lambda_on,plamb_runs/hht_couple/ou_seed777_ON/hht_sn_detail.npz,5,4.776716537608097,0.03349025714827484,-0.03192231073244126,0.809095452273863,9,0.02,2.1
lambda_on,plamb_runs/hht_couple/ou_seed777_ON/hht_sn_detail.npz,6,2.230666589226261,0.561569227259446,-0.40825068793201874,1.0,9,0.02,2.1
