IMF,energy,median_freq,rank,p_val,model,H0,Om,Ol,A_acc,n_acc,gamma_c,epsilon_M
1,2.847310784,1669.312818,2,0.0945274,PBH,70,0.3,0.7,0,0,0,0
2,0.8948402497,807.408721,6,0.0945274,PBH,70,0.3,0.7,0,0,0,0
3,1.13066608,373.6001137,5,0.0945274,PBH,70,0.3,0.7,0,0,0,0
4,1.440094112,162.5718366,4,0.0945274,PBH,70,0.3,0.7,0,0,0,0
5,4.841417152,60.1950426,1,0.0945274,PBH,70,0.3,0.7,0,0,0,0
6,2.371319824,35.20116984,3,0.0945274,PBH,70,0.3,0.7,0,0,0,0
7,0.2775414797,10.5913829,7,0.0945274,PBH,70,0.3,0.7,0,0,0,0
8,0.2063445087,3.928204836,9,0.0945274,PBH,70,0.3,0.7,0,0,0,0
9,0.2448394646,2.198714476,8,0.0945274,PBH,70,0.3,0.7,0,0,0,0
10,0.1382174064,4.308347706,10,0.0945274,PBH,70,0.3,0.7,0,0,0,0
