index_sorted,z,log1pz,mu_obs,sigma_mu,residual_LCDM_baocov,residual_SU2_baocov_4D,residual_SU2R_baocov_4D,residual_SU2_wa_free_baocov,delta_residual_SU2_baocov_4D_minus_LCDM_baocov,delta_residual_SU2R_baocov_4D_minus_LCDM_baocov,delta_residual_SU2_wa_free_baocov_minus_LCDM_baocov
0,0.00122,0.001219256404729373,28.9987,1.51645,-0.49302964287778295,-0.520762499473733,-0.5204369056490492,-0.5190267411053995,-0.02773285659595004,-0.02740726277126626,-0.025997098227616533
1,0.00122,0.001219256404729373,29.0559,1.51747,-0.5502296428777846,-0.5779624994737347,-0.5776369056490509,-0.5762267411054012,-0.02773285659595004,-0.02740726277126626,-0.025997098227616533
2,0.00256,0.0025567287816898585,30.7233,0.782372,-0.6058728716441806,-0.6333970076937767,-0.6330762989975192,-0.6317147189885475,-0.027524136049596137,-0.027203427353338583,-0.025841847344366897
3,0.00256,0.0025567287816898585,30.7449,0.799068,-0.6274728716441835,-0.6549970076937797,-0.6546762989975221,-0.6533147189885504,-0.027524136049596137,-0.027203427353338583,-0.025841847344366897
4,0.00293,0.002925715916203623,31.499,0.514259,-1.0877848150344782,-1.1152514220503456,-1.1149320566555048,-1.1135837726734188,-0.02746660701586734,-0.027147241621026552,-0.02579895763894058
5,0.00293,0.002925715916203623,31.5611,0.530838,-1.1498848150344791,-1.1773514220503465,-1.1770320566555057,-1.1756837726734197,-0.02746660701586734,-0.027147241621026552,-0.02579895763894058
6,0.00299,0.0029855388403659962,30.7757,0.881212,-0.32036163711906696,-0.34781891928946607,-0.347499771500285,-0.34615363879182937,-0.02745728217039911,-0.027138134381218038,-0.02579200167276241
7,0.0035,0.0034938892542557796,30.7946,0.614535,0.003617657416999265,-0.023760410724790404,-0.02344311002852706,-0.02211520873213857,-0.02737806814178967,-0.027060767445526324,-0.025732866149137834
8,0.00357,0.0035636426759385136,31.5011,0.591006,-0.6597586887963942,-0.6871258910088116,-0.6868088434784809,-0.6854834369434002,-0.027367202212417396,-0.027050154682086713,-0.025724748147005982
9,0.00366,0.0036533184979024276,30.9999,0.566505,-0.1043364809044185,-0.13168971497087512,-0.13137299281320125,-0.13005079114036633,-0.027353234066456622,-0.027036511908782757,-0.025714310235947835
10,0.00369,0.00368320865158986,31.7933,0.55272,-0.879957461030827,-0.9073060396322425,-0.9069894259005373,-0.90566829184338,-0.027348578601415596,-0.02703196486971038,-0.025710830812553098
11,0.00369,0.00368320865158986,31.4967,0.545492,-0.583357461030829,-0.6107060396322446,-0.6103894259005394,-0.6090682918433821,-0.027348578601415596,-0.02703196486971038,-0.025710830812553098
12,0.00435,0.0043405660984201355,31.3779,0.479276,-0.1060860157446406,-0.13333224791749743,-0.1330180155637457,-0.1317202842166516,-0.02724623217285682,-0.0269319998191051,-0.025634268472011
13,0.00435,0.0043405660984201355,31.3933,0.476404,-0.12148601574464024,-0.14873224791749706,-0.14841801556374534,-0.14712028421665124,-0.02724623217285682,-0.0269319998191051,-0.025634268472011
14,0.00458,0.004569543714369843,31.6512,0.514401,-0.2671019689369949,-0.29431256809063555,-0.29399916381786184,-0.2927095499015451,-0.027210599153640658,-0.026897194880866948,-0.02560758096455018
15,0.0046,0.0045894523338072864,31.2234,0.410577,0.1701948316871018,0.14298733024721955,0.14330066255670815,0.14458957153732754,-0.027207501439882265,-0.026894169130393664,-0.025605260149774267
16,0.0046,0.0045894523338072864,31.34,0.562589,0.05359483168710355,0.026387330247221286,0.026700662556709887,0.027989571537329283,-0.027207501439882265,-0.026894169130393664,-0.025605260149774267
17,0.0046,0.0045894523338072864,31.7635,0.574442,-0.3699051683128971,-0.39711266975277937,-0.39679933744329077,-0.39551042846267137,-0.027207501439882265,-0.026894169130393664,-0.025605260149774267
18,0.0046,0.0045894523338072864,31.6525,0.564724,-0.25890516831289645,-0.2861126697527787,-0.2857993374432901,-0.2845104284626707,-0.027207501439882265,-0.026894169130393664,-0.025605260149774267
19,0.0046,0.0045894523338072864,31.2476,0.558603,0.14599483168710492,0.11878733024722266,0.11910066255671126,0.12038957153733065,-0.027207501439882265,-0.026894169130393664,-0.025605260149774267
20,0.0046,0.0045894523338072864,31.1331,0.446882,0.2604948316871045,0.23328733024722226,0.23360066255671086,0.23488957153733026,-0.027207501439882265,-0.026894169130393664,-0.025605260149774267
21,0.00462,0.004609360556899492,31.6969,0.550993,-0.2938494176901649,-0.32105382154582074,-0.32074056119261485,-0.31945235699932084,-0.027204403855655812,-0.02689114350244992,-0.025602939309155914
22,0.00465,0.004639222148425,31.9309,0.442017,-0.5137419859939882,-0.5409417437161643,-0.5406285912842677,-0.539341443993802,-0.027199757722176088,-0.02688660529027942,-0.02559945799981378
23,0.00465,0.004639222148425,32.033,0.420403,-0.6158419859939883,-0.6430417437161644,-0.6427285912842677,-0.6414414439938021,-0.027199757722176088,-0.02688660529027942,-0.02559945799981378
24,0.00478,0.004768612075102087,30.5107,0.578546,0.9665604021123286,0.9393807742678355,0.9396934592226742,0.9409760304564969,-0.027179627844493126,-0.02686694288965441,-0.025584371655831717
25,0.00478,0.004768612075102087,30.4013,0.578445,1.0759604021123295,1.0487807742678363,1.049093459222675,1.0503760304564977,-0.027179627844493126,-0.02686694288965441,-0.025584371655831717
26,0.00478,0.004768612075102087,30.5528,0.580251,0.9244604021123273,0.8972807742678341,0.8975934592226729,0.8988760304564956,-0.027179627844493126,-0.02686694288965441,-0.025584371655831717
27,0.00478,0.004768612075102087,30.4604,0.594683,1.0168604021123286,0.9896807742678355,0.9899934592226742,0.9912760304564969,-0.027179627844493126,-0.02686694288965441,-0.025584371655831717
28,0.00489,0.0048780827843328085,31.9117,0.469628,-0.384842174425156,-0.41200477356973053,-0.4116924839415539,-0.41041377986476135,-0.02716259914457453,-0.026850309516397886,-0.02557160543960535
29,0.00489,0.0048780827843328085,31.8985,0.483668,-0.3716421744251548,-0.3988047735697293,-0.3984924839415527,-0.39721377986476014,-0.02716259914457453,-0.026850309516397886,-0.02557160543960535
30,0.00505,0.005037291517268085,31.7403,0.491367,-0.1432494713252943,-0.17038730844357985,-0.17007559345842438,-0.16880250634077854,-0.027137837118285546,-0.02682612213313007,-0.025553035015484227
31,0.00515,0.005136784105152365,31.4473,0.448264,0.19250481885920223,0.1653824538000137,0.1656938098604428,0.1669633911876005,-0.027122365059188525,-0.026811008998759434,-0.025541427671601724
32,0.00515,0.005136784105152365,31.539,0.407028,0.10080481885919923,0.0736824538000107,0.0739938098604398,0.0752633911875975,-0.027122365059188525,-0.026811008998759434,-0.025541427671601724
33,0.0054,0.005385472276337817,32.1822,0.339643,-0.4390250459803582,-0.46610874504794353,-0.46579828553526426,-0.4645374525176855,-0.027083699067585343,-0.02677323955490607,-0.025512406537327337
34,0.00548,0.005465039431058343,32.4001,0.482567,-0.6248510911520633,-0.6519224213726353,-0.6516122485248133,-0.6503542100930169,-0.027071330220572065,-0.026761157372749977,-0.025503118940953584
35,0.0055,0.005484930230569685,32.4338,0.32229,-0.6506054481823611,-0.6776736865146447,-0.6773635853155824,-0.6761062451613178,-0.027068238332283556,-0.026758137133221283,-0.025500796978956686
36,0.0055,0.005484930230569685,32.4608,0.318474,-0.6776054481823621,-0.7046736865146457,-0.7043635853155834,-0.7031062451613188,-0.027068238332283556,-0.026758137133221283,-0.025500796978956686
