window_index,bcut_deg,tag,z_lo,z_hi,N_observed,random_pool_N,n_mocks,mock_catalog_format,saved_catalog_count,saved_catalog_paths
1,35.0,z1p00_1p50,1.0,1.5,119719,772285,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window001_z1p00_1p50_bcut35_mock000.npz
2,15.0,z1p00_1p50,1.0,1.5,185739,1374246,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window002_z1p00_1p50_bcut15_mock000.npz
3,25.0,z1p00_1p50,1.0,1.5,155609,1044472,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window003_z1p00_1p50_bcut25_mock000.npz
4,10.0,z1p00_1p50,1.0,1.5,194552,1557447,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window004_z1p00_1p50_bcut10_mock000.npz
5,30.0,z1p00_1p50,1.0,1.5,137850,893421,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window005_z1p00_1p50_bcut30_mock000.npz
6,35.0,z1p90_2p00,1.9000000000000008,2.0000000000000004,18180,772285,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window006_z1p90_2p00_bcut35_mock000.npz
7,20.0,z1p00_1p50,1.0,1.5,172054,1210911,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window007_z1p00_1p50_bcut20_mock000.npz
8,30.0,z1p20_1p30,1.2,1.3,26478,893421,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window008_z1p20_1p30_bcut30_mock000.npz
9,10.0,z0p90_1p00,0.8999999999999999,1.0,36372,1557447,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window009_z0p90_1p00_bcut10_mock000.npz
10,30.0,z1p90_2p00,1.9000000000000008,2.0000000000000004,20791,893421,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window010_z1p90_2p00_bcut30_mock000.npz
11,20.0,z1p20_1p30,1.2,1.3,33196,1210911,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window011_z1p20_1p30_bcut20_mock000.npz
12,20.0,z1p90_2p00,1.9000000000000008,2.0000000000000004,25800,1210911,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window012_z1p90_2p00_bcut20_mock000.npz
13,25.0,z1p20_1p30,1.2,1.3,29938,1044472,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window013_z1p20_1p30_bcut25_mock000.npz
14,35.0,z1p20_1p30,1.2,1.3,23077,772285,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window014_z1p20_1p30_bcut35_mock000.npz
15,15.0,z1p90_2p00,1.9000000000000008,2.0000000000000004,27642,1374246,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window015_z1p90_2p00_bcut15_mock000.npz
16,10.0,z1p70_1p80,1.7000000000000004,1.8000000000000005,34300,1557447,200,"npz with RA, DEC, L_GAL, B_GAL, Z for saved first catalogs",1,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window016_z1p70_1p80_bcut10_mock000.npz
