window_index,bcut_deg,tag,z_lo,z_hi,z_center,N,n_mocks,observed_amp,mock_amp_mean,mock_amp_p50,mock_amp_p95,mock_amp_p99,p_amp_ge_observed,observed_abs_amp_par_cmb,mock_abs_par_p95,mock_abs_par_p99,p_abs_par_ge_observed,observed_formal_snr,mock_snr_p95,mock_snr_p99,p_snr_ge_observed,observed_sep_cmb_deg,mock_sep_p05,p_sep_le_observed,priority_score,saved_catalog_paths
1,35.0,z1p00_1p50,1.0,1.5,1.25,119719,200,0.0030496633427067,0.0020321805675364,0.0018656483822309,0.0037907785488901,0.0046266678287705,0.1442786069651741,0.0018955580977711,0.0032020999548272,0.0037464975648515,0.2288557213930348,3.705935958477851,2.7070428609176536,3.341598967620197,0.0099502487562189,128.43036789813831,22.35441865808872,0.7661691542288557,0.0355780584367076,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window001_z1p00_1p50_bcut35_mock000.npz
2,15.0,z1p00_1p50,1.0,1.5,1.25,185739,200,0.0022497252686966,0.0011923056339009,0.0010978545998771,0.0021897207506378,0.0025227724549634,0.0497512437810945,0.0012199505308011,0.0017706248436049,0.0023485137924841,0.2288557213930348,3.597784382649293,2.821055816158923,3.1154537843080297,0.0099502487562189,122.83805947605632,13.453712307138655,0.6766169154228856,0.034539771988166,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window002_z1p00_1p50_bcut15_mock000.npz
3,25.0,z1p00_1p50,1.0,1.5,1.25,155609,200,0.0023677957403885,0.0014941971287101,0.0013395995731773,0.0028484168527196,0.0032506239026836,0.1343283582089552,0.0011241520448593,0.0024967568103611,0.0030612832203636,0.3283582089552239,3.498565996535912,2.752284354726774,3.4145318271088336,0.0149253731343283,118.34420152880912,19.409628152829917,0.6517412935323383,0.0335872467479329,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window003_z1p00_1p50_bcut25_mock000.npz
4,10.0,z1p00_1p50,1.0,1.5,1.25,194552,200,0.0020920732573586,0.0011151800735015,0.0010302751949192,0.0020494814626521,0.0025709334411694,0.0497512437810945,0.0011353427258482,0.001683885978007,0.0021774939371581,0.2039800995024875,3.4795472766175406,2.828083448156337,3.0575382580217965,0.0099502487562189,122.8668001717104,17.14151170143578,0.7164179104477612,0.0334046615289144,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window004_z1p00_1p50_bcut10_mock000.npz
5,30.0,z1p00_1p50,1.0,1.5,1.25,137850,200,0.0024650096824056,0.0016534345210691,0.0015900734301144,0.0029291505593722,0.0042462254897453,0.1442786069651741,0.0014579336677627,0.0023014844533191,0.0036341525891397,0.2686567164179104,3.3837647977601657,2.817379439791681,3.40970283778817,0.0248756218905472,126.26007865294235,26.154661668765208,0.7064676616915423,0.0324851219933742,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window005_z1p00_1p50_bcut30_mock000.npz
6,35.0,z1p90_2p00,1.9000000000000008,2.0000000000000004,1.9500000000000008,18180,200,0.0012105463350479,0.0010199117460868,0.0009182130621183,0.0020463733493536,0.0028760005682614,0.3034825870646766,0.0001297041769051,0.001750214349571,0.0024886880809355,0.845771144278607,3.478764328985944,2.767999299389359,3.833842118910885,0.0199004975124378,96.15077235254272,22.54915591534689,0.5323383084577115,0.0310867379282549,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window006_z1p90_2p00_bcut35_mock000.npz
7,20.0,z1p00_1p50,1.0,1.5,1.25,172054,200,0.0018457931985894,0.0013018964631946,0.0012538763426652,0.0024230220839631,0.0027322696176481,0.1840796019900497,0.0012266512890861,0.0018774362520447,0.0026047894317411,0.2288557213930348,3.020826423753449,2.7334777543756323,3.106724997123478,0.0248756218905472,131.64903398368793,18.467263378242546,0.7661691542288557,0.0290008084963223,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window007_z1p00_1p50_bcut20_mock000.npz
8,30.0,z1p20_1p30,1.2,1.3,1.25,26478,200,0.0007080524357088,0.0007248851650971,0.0006629953009372,0.0014028396099239,0.0016132308647262,0.4427860696517413,0.0002750194188973,0.0011781051202251,0.0013381904747574,0.5771144278606966,2.8364775013222427,2.7399836447141825,3.268036522132057,0.0497512437810945,112.85602016035833,21.94489714836121,0.6417910447761194,0.0272310054537204,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window008_z1p20_1p30_bcut30_mock000.npz
9,10.0,z0p90_1p00,0.8999999999999999,1.0,0.95,36372,200,0.000711590207115,0.0004837994186996,0.0004541957353849,0.0008714855576363,0.0010059035677075,0.1691542288557214,0.0003773374322505,0.0007360444568465,0.00096099805292,0.3432835820895522,2.915492646379791,2.5901729530660784,2.998154819677966,0.0199004975124378,57.976063774497376,18.476296728146224,0.308457711442786,0.0266726164678949,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window009_z0p90_1p00_bcut10_mock000.npz
10,30.0,z1p90_2p00,1.9000000000000008,2.0000000000000004,1.9500000000000008,20791,200,0.0008551764248784,0.0008193302509568,0.0007986865211791,0.0014338348939386,0.0017092033212046,0.4228855721393035,0.0003152492016347,0.0011442301312529,0.0014323554951322,0.6169154228855721,2.982737151185385,2.658897835718854,3.390580340610267,0.0248756218905472,111.63154819608089,23.453687206692216,0.6417910447761194,0.0266541677903195,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window010_z1p90_2p00_bcut30_mock000.npz
