"frame","random_mode","prior_config","model","N","k_base","k_random","H0","beta","data_chi2_map","prior_chi2","marginal_score","BIC_random_marginal_base"
"HD","dataset+survey","moderate","FR_BETA05_H0fixed675","3422","0","27","67.5","0.5","3097.7543046767537","19.90731297098006","3147.0560657001415","3147.0560657001415"
"HD","dataset+survey","loose","FR_BETA05_H0fixed675","3422","0","27","67.5","0.5","3082.8781757098977","9.593936255875294","3150.4877277389814","3150.4877277389814"
"HD","dataset+survey","moderate","FR_BETAfree_H0fixed675","3422","1","27","67.5","0.5213138611277275","3095.4940388529767","18.01139641613088","3142.8998833215155","3151.0378637759677"
"HD","dataset+survey","moderate","FR_BETA05_H0free","3422","1","27","69.22640208164754","0.5","3097.2632975620277","16.89078179979289","3143.5485274142284","3151.6865078686806"
"HD","dataset+survey","moderate","FR_BETAfree_H0free","3422","2","27","69.71414810176636","0.5265149490598959","3095.4902220255985","12.529568102312103","3137.4142381803185","3153.690199089223"
"HD","dataset+survey","loose","FR_BETAfree_H0fixed675","3422","1","27","67.5","0.5143565533341018","3081.955544211559","8.98426784784591","3148.955427832613","3157.0934082870654"
"HD","dataset+survey","loose","FR_BETA05_H0free","3422","1","27","69.3858715572101","0.5","3082.8150223688262","8.608363831347887","3149.439001973383","3157.576982427835"
"HD","dataset","loose","FR_BETAfree_H0fixed675","3422","1","3","67.5","0.541272701511485","3128.8623549852305","2.2610245314690696","3150.201327676814","3158.339308131266"
"HD","dataset","very_loose","FR_BETAfree_H0fixed675","3422","1","3","67.5","0.5420397927856048","3128.8477862796844","0.5711001890184118","3152.651741546042","3160.7897220004943"
"HD","dataset","moderate","FR_BETAfree_H0fixed675","3422","1","3","67.5","0.5383695716398504","3129.0773282813147","8.69616229699528","3152.708405603846","3160.8463860582983"
"HD","dataset","moderate","FR_BETAfree_H0free","3422","2","3","69.80571529665752","0.5431892115208309","3128.87552636785","2.8434132912815273","3146.6538546846677","3162.929815593572"
"HD","dataset+survey","loose","FR_BETAfree_H0free","3422","2","27","69.65703077628432","0.5158087707895532","3081.953608883559","7.635137101627187","3147.6043617583946","3163.880322667299"
"HD","dataset+survey","tight","FR_BETAfree_H0free","3422","2","27","69.87791595285209","0.539498185684382","3111.21990909337","22.527303312614865","3148.5825472440847","3164.858508152989"
"HD","dataset","loose","FR_BETAfree_H0free","3422","2","3","69.78968842313597","0.5425236313249614","3128.848616669581","0.7216425188524999","3148.648207348548","3164.9241682574525"
"HD","dataset","very_loose","FR_BETAfree_H0free","3422","2","3","69.78526241050959","0.5423561808238949","3128.84690876475","0.18109392215788273","3152.260857764247","3168.536818673151"
"HD","dataset","loose","FR_BETA05_H0fixed675","3422","0","3","67.5","0.5","3150.1476735890537","1.534270720418525","3170.7598924695867","3170.7598924695867"
"HD","dataset","moderate","FR_BETA05_H0fixed675","3422","0","3","67.5","0.5","3150.1802667292022","6.084866822988976","3171.2000485777276","3171.2000485777276"
"HD","dataset","tight","FR_BETAfree_H0free","3422","2","3","69.91061495922045","0.5475596751568829","3129.857920368075","16.04495390820926","3155.448618190904","3171.7245790998086"
"HD","dataset+survey","very_loose","FR_BETA05_H0fixed675","3422","0","27","67.5","0.5","3080.2341780372335","3.5630304580462377","3172.1034928480985","3172.1034928480985"
"HD","dataset+survey","tight","FR_BETA05_H0free","3422","1","27","69.08736228312455","0.5","3117.386382081359","32.7185087721938","3164.9402256916524","3173.0782061461045"
