frame,random_mode,prior_config,survey_budget_mmag,dataset_budget_mmag,N,k_random,beta,beta_minus_0p5,data_chi2_map,prior_chi2,marginal_score,BIC_random_marginal_base
CMB_PANTHEON_ONLY,dataset+survey,budget_010mmag_ds020,10.0,20.0,3420,27,0.512293416555344,0.0122934165553439,3141.5758890787797,43.20068383916168,3199.604752202445,3207.742148032502
HD,dataset+survey,budget_010mmag_ds020,10.0,20.0,3422,27,0.5148656651333499,0.0148656651333498,3114.777093763697,49.87673540517186,3179.4891640069686,3187.627144461421
HEL,dataset+survey,budget_010mmag_ds020,10.0,20.0,3418,27,0.506923520421141,0.0069235204211409,3143.9497642841143,41.675045146332266,3200.449427095341,3208.586237959017
CMB_PANTHEON_ONLY,dataset+survey,budget_016mmag_ds032,16.0,32.0,3420,27,0.5163802245975686,0.0163802245975686,3129.6493962635604,24.39518984110708,3177.0446483152227,3185.182044145279
HD,dataset+survey,budget_016mmag_ds032,16.0,32.0,3422,27,0.5192641424162499,0.0192641424162498,3100.924878966284,28.200363526145992,3152.1372796765822,3160.2752601310344
HEL,dataset+survey,budget_016mmag_ds032,16.0,32.0,3418,27,0.5121205799967673,0.0121205799967673,3134.2965933048936,22.34638945534229,3179.638363977883,3187.7751748415585
CMB_PANTHEON_ONLY,dataset+survey,budget_025mmag_ds050,25.0,50.0,3420,27,0.5158641183003,0.0158641183002999,3120.8893490769133,15.703303506387504,3170.633168117607,3178.7705639476635
HD,dataset+survey,budget_025mmag_ds050,25.0,50.0,3422,27,0.5182626052633289,0.0182626052633289,3091.208085376269,17.85513146805259,3143.122484721238,3151.26046517569
HEL,dataset+survey,budget_025mmag_ds050,25.0,50.0,3418,27,0.5132088176288725,0.0132088176288724,3127.10624360309,13.86438582541781,3175.0052613782746,3183.1420722419502
CMB_PANTHEON_ONLY,dataset+survey,budget_050mmag_ds100_stress,50.0,100.0,3420,27,0.5132312557882818,0.0132312557882817,3111.8503043173423,8.388145133764379,3178.224191450794,3186.3615872808505
HD,dataset+survey,budget_050mmag_ds100_stress,50.0,100.0,3422,27,0.5143565533341018,0.0143565533341017,3081.955544211559,8.98426784784591,3148.955427832613,3157.0934082870654
HEL,dataset+survey,budget_050mmag_ds100_stress,50.0,100.0,3418,27,0.5125357642570887,0.0125357642570886,3118.940743253109,7.550443495684343,3184.4693385946302,3192.606149458306
