run_label,frame,frame_z_map,datasets,random_mode,prior_config,dataset_sigma_mag,survey_sigma_mag,model,N,k_base,k_random,dof_base,dof_nominal,H0,beta,H0_minus_67p5,beta_minus_0p5,raw_chi2_no_offsets,data_chi2_map,prior_chi2,posterior_objective,logdet_random_effect,marginal_score,chi2_dof_base,chi2_dof_nominal,AIC_random_marginal_base,BIC_random_marginal_base,success,method,random_effect_note
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,0.05,0.025,FR_BETA05_H0fixed675,3422,0,27,3422,3395,67.5,0.5,0.0,0.0,4227.901691317376,3092.81875236638,19.15355487796068,3111.9723072443408,34.05926787691635,3146.031575121257,0.9038044279270544,0.9109922687382562,3146.031575121257,3146.031575121257,True,fixed,"27 Gaussian calibration offsets; dataset sigma=0.05 mag, survey sigma=0.025 mag"
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,0.05,0.025,FR_BETA05_H0free,3422,1,27,3421,3394,69.27771196879071,0.5,1.7777119687907117,0.0,3750.003403108597,3092.356240594669,15.929003562619537,3108.285244157289,34.05926787691635,3142.3445120342053,0.9039334231495672,0.9111244079536446,3144.3445120342053,3150.482492488657,True,minimize_H0,"27 Gaussian calibration offsets; dataset sigma=0.05 mag, survey sigma=0.025 mag"
joint_des_pantheon_union31_HD_dataset+survey_budget_050mmag_ds100_stress_FR_BETA05_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_050mmag_ds100_stress,0.1,0.05,FR_BETA05_H0fixed675,3422,0,27,3422,3395,67.5,0.5,0.0,0.0,4227.901691317376,3082.8781757098977,9.593936255875294,3092.472111965773,58.01561577320837,3150.487727738981,0.9008995253389532,0.908064263832076,3150.487727738981,3150.487727738981,True,fixed,"27 Gaussian calibration offsets; dataset sigma=0.1 mag, survey sigma=0.05 mag"
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETAfree_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,0.05,0.025,FR_BETAfree_H0fixed675,3422,1,27,3421,3394,67.5,0.5182626052633289,0.0,0.0182626052633289,4389.191587860532,3091.208085376269,17.85513146805259,3109.0632168443217,34.05926787691635,3143.122484721238,0.9035978033838844,0.9107861182605388,3145.122484721238,3151.26046517569,True,minimize_beta,"27 Gaussian calibration offsets; dataset sigma=0.05 mag, survey sigma=0.025 mag"
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETAfree_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,0.05,0.025,FR_BETAfree_H0free,3422,2,27,3420,3393,69.70202945480679,0.5235316061688828,2.202029454806791,0.0235316061688828,3633.001140912624,3091.172515489596,12.507057328117194,3103.679572817713,34.05926787691635,3137.7388406946293,0.903851612716256,0.9110440658678444,3141.7388406946293,3154.0148016035337,True,L-BFGS-B,"27 Gaussian calibration offsets; dataset sigma=0.05 mag, survey sigma=0.025 mag"
joint_des_pantheon_union31_HD_dataset+survey_budget_016mmag_ds032_FR_BETAfree_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_016mmag_ds032,0.032,0.016,FR_BETAfree_H0free,3422,2,27,3420,3393,69.76692767481103,0.5308446693201175,2.266927674811029,0.0308446693201175,3602.515240662032,3100.442247262204,15.756617342770593,3116.198864604974,23.012037184152888,3139.210901789127,0.9065620606029836,0.9137760823053944,3143.210901789127,3155.4868626980315,True,L-BFGS-B,"27 Gaussian calibration offsets; dataset sigma=0.032 mag, survey sigma=0.016 mag"
joint_des_pantheon_union31_HD_dataset+survey_budget_016mmag_ds032_FR_BETA05_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_016mmag_ds032,0.032,0.016,FR_BETA05_H0fixed675,3422,0,27,3422,3395,67.5,0.5,0.0,0.0,4227.901691317376,3104.3256236561056,28.638377264561548,3132.964000920668,23.012037184152888,3155.9760381048204,0.90716704373352,0.91438162699738,3155.9760381048204,3155.9760381048204,True,fixed,"27 Gaussian calibration offsets; dataset sigma=0.032 mag, survey sigma=0.016 mag"
joint_des_pantheon_union31_HD_dataset+survey_budget_016mmag_ds032_FR_BETA05_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_016mmag_ds032,0.032,0.016,FR_BETA05_H0free,3422,1,27,3421,3394,69.18254634134625,0.5,1.682546341346253,0.0,3747.127641087585,3103.1094717219485,21.917502706157254,3125.026974428106,23.012037184152888,3148.039011612259,0.9070767236837032,0.9142927141196076,3150.039011612259,3156.176992066711,True,minimize_H0,"27 Gaussian calibration offsets; dataset sigma=0.032 mag, survey sigma=0.016 mag"
joint_des_pantheon_union31_HD_dataset+survey_budget_050mmag_ds100_stress_FR_BETAfree_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_050mmag_ds100_stress,0.1,0.05,FR_BETAfree_H0fixed675,3422,1,27,3421,3394,67.5,0.5143565533341018,0.0,0.0143565533341017,4349.087345604175,3081.955544211559,8.98426784784591,3090.9398120594046,58.01561577320837,3148.955427832613,0.9008931728183452,0.908059971777124,3150.955427832613,3157.0934082870654,True,minimize_beta,"27 Gaussian calibration offsets; dataset sigma=0.1 mag, survey sigma=0.05 mag"
joint_des_pantheon_union31_HD_dataset+survey_budget_050mmag_ds100_stress_FR_BETA05_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_050mmag_ds100_stress,0.1,0.05,FR_BETA05_H0free,3422,1,27,3421,3394,69.3858715572101,0.5,1.8858715572100948,0.0,3757.0744025330505,3082.8150223688262,8.608363831347887,3091.4233862001743,58.01561577320837,3149.439001973383,0.9011444087602531,0.9083132063549872,3151.439001973383,3157.576982427835,True,minimize_H0,"27 Gaussian calibration offsets; dataset sigma=0.1 mag, survey sigma=0.05 mag"
