run_label,frame,datasets,random_mode,prior_config,model,offset_group,component_type,prior_sigma_mag,residual_offset_mag,projection_add_mag,pull_sigma,abs_pull_sigma
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:DATASET,dataset,0.05,-0.1287775755371435,0.1287775755371435,-2.5755515107428715,2.5755515107428715
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.025,-0.0408633400838719,0.0408633400838719,-1.634533603354878,1.634533603354878
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:IDSURVEY_15,survey,0.025,0.0348496668604559,-0.0348496668604559,1.3939866744182394,1.3939866744182394
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,DES_Dovekie_raw:IDSURVEY_10,survey,0.025,0.033940707158913,-0.033940707158913,1.3576282863565214,1.3576282863565214
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:IDSURVEY_4,survey,0.025,0.0315295093274264,-0.0315295093274264,1.2611803730970594,1.2611803730970594
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:IDSURVEY_150,survey,0.025,-0.0265664171629476,0.0265664171629476,-1.0626566865179043,1.0626566865179043
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:IDSURVEY_64,survey,0.025,-0.0241165384449378,0.0241165384449378,-0.9646615377975126,0.9646615377975126
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:IDSURVEY_10,survey,0.025,0.0149539208522139,-0.0149539208522139,0.5981568340885568,0.5981568340885568
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,DES_Dovekie_raw:IDSURVEY_63,survey,0.025,-0.0130101250731265,0.0130101250731265,-0.5204050029250601,0.5204050029250601
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:IDSURVEY_100,survey,0.025,0.0121173093240065,-0.0121173093240065,0.484692372960262,0.484692372960262
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:IDSURVEY_65,survey,0.025,-0.0117176173807771,0.0117176173807771,-0.4687046952310852,0.4687046952310852
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,DES_Dovekie_raw:IDSURVEY_65,survey,0.025,-0.0105323165406674,0.0105323165406674,-0.4212926616266997,0.4212926616266997
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,DES_Dovekie_raw:DATASET,dataset,0.05,-0.0198015567755102,0.0198015567755102,-0.3960311355102048,0.3960311355102048
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:IDSURVEY_66,survey,0.025,0.0097859135588074,-0.0097859135588074,0.3914365423522996,0.3914365423522996
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:IDSURVEY_56,survey,0.025,-0.0096396346232088,0.0096396346232088,-0.3855853849283555,0.3855853849283555
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:IDSURVEY_62,survey,0.025,-0.009602510512523,0.009602510512523,-0.3841004205009235,0.3841004205009235
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:IDSURVEY_57,survey,0.025,-0.0084517036061142,0.0084517036061142,-0.3380681442445687,0.3380681442445687
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,DES_Dovekie_raw:IDSURVEY_OTHER,survey,0.025,-0.0078798234472505,0.0078798234472505,-0.3151929378900229,0.3151929378900229
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:IDSURVEY_1,survey,0.025,0.007453684248337,-0.007453684248337,0.2981473699334835,0.2981473699334835
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,Union3p1_UNITY1p8:DATASET,dataset,0.05,-0.0147131770834952,0.0147131770834952,-0.2942635416699057,0.2942635416699057
joint_des_pantheon_union31_HD_dataset+survey_budget_025mmag_ds050_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,budget_025mmag_ds050,FR_BETA05_H0fixed675,PantheonPlusSH0ES:IDSURVEY_5,survey,0.025,-0.0058010069062595,0.0058010069062595,-0.2320402762503826,0.2320402762503826
