run_label,frame,datasets,random_mode,prior_config,model,offset_group,component_type,prior_sigma_mag,residual_offset_mag,projection_add_mag,pull_sigma
joint_des_pantheon_union31_HD_dataset_budget_010mmag_ds020_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_010mmag_ds020,FR_BETA05_H0fixed675,PantheonPlusSH0ES:DATASET,dataset,0.02,-0.11868168650516117,0.11868168650516117,-5.934084325258058
joint_des_pantheon_union31_HD_dataset_budget_010mmag_ds020_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_010mmag_ds020,FR_BETA05_H0fixed675,DES_Dovekie_raw:DATASET,dataset,0.02,0.007442227435187181,-0.007442227435187181,0.37211137175935904
joint_des_pantheon_union31_HD_dataset_budget_010mmag_ds020_FR_BETA05_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_010mmag_ds020,FR_BETA05_H0fixed675,Union3p1_UNITY1p8:DATASET,dataset,0.02,-0.01423537324555996,0.01423537324555996,-0.711768662277998
joint_des_pantheon_union31_HD_dataset_budget_010mmag_ds020_FR_BETAfree_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_010mmag_ds020,FR_BETAfree_H0fixed675,PantheonPlusSH0ES:DATASET,dataset,0.02,-0.12750204698697176,0.12750204698697176,-6.375102349348588
joint_des_pantheon_union31_HD_dataset_budget_010mmag_ds020_FR_BETAfree_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_010mmag_ds020,FR_BETAfree_H0fixed675,DES_Dovekie_raw:DATASET,dataset,0.02,-0.008724218929641613,0.008724218929641613,-0.43621094648208064
joint_des_pantheon_union31_HD_dataset_budget_010mmag_ds020_FR_BETAfree_H0fixed675,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_010mmag_ds020,FR_BETAfree_H0fixed675,Union3p1_UNITY1p8:DATASET,dataset,0.02,-0.0354954933770059,0.0354954933770059,-1.774774668850295
joint_des_pantheon_union31_HD_dataset_budget_010mmag_ds020_FR_BETA05_H0free,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_010mmag_ds020,FR_BETA05_H0free,PantheonPlusSH0ES:DATASET,dataset,0.02,-0.07651054533925461,0.07651054533925461,-3.8255272669627303
joint_des_pantheon_union31_HD_dataset_budget_010mmag_ds020_FR_BETA05_H0free,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_010mmag_ds020,FR_BETA05_H0free,DES_Dovekie_raw:DATASET,dataset,0.02,0.04876271967261748,-0.04876271967261748,2.438135983630874
joint_des_pantheon_union31_HD_dataset_budget_010mmag_ds020_FR_BETA05_H0free,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_010mmag_ds020,FR_BETA05_H0free,Union3p1_UNITY1p8:DATASET,dataset,0.02,0.027747819324602938,-0.027747819324602938,1.387390966230147
joint_des_pantheon_union31_HD_dataset_budget_010mmag_ds020_FR_BETAfree_H0free,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,budget_010mmag_ds020,FR_BETAfree_H0free,PantheonPlusSH0ES:DATASET,dataset,0.02,-0.06295799530231645,0.06295799530231645,-3.1478997651158225
