fwhm,bmask,frac,R2,perm_p
4.0,10.0,0.035430410242578265,0.4388420901255513,0.87125
6.0,10.0,0.028797563802267275,0.5239681100408685,0.8825
8.0,10.0,0.021363521798788726,0.5332164697534658,0.8925
12.0,10.0,0.011904399925292708,0.5321443014945471,0.9
4.0,20.0,0.035430410242578265,0.4388420901255513,0.87125
6.0,20.0,0.028797563802267275,0.5239681100408685,0.8825
8.0,20.0,0.021363521798788726,0.5332164697534658,0.8925
12.0,20.0,0.011904399925292708,0.5321443014945471,0.9
4.0,30.0,0.035430410242578265,0.4388420901255513,0.87125
6.0,30.0,0.028797563802267275,0.5239681100408685,0.8825
8.0,30.0,0.021363521798788726,0.5332164697534658,0.8925
12.0,30.0,0.011904399925292708,0.5321443014945471,0.9
