# bcut  tag  N_good  amp  l_deg  b_deg  sep_cmb  amp_par  frac_par
10.0  full           34960  5.003e-03  165.29  4.96  92.10  -1.836e-04  -0.037
10.0  z0p30_0p40         9  1.272e-02  0.69  24.39  76.36  3.000e-03  +0.236
10.0  z0p40_0p50        13  1.793e-02  309.81  -48.67  104.48  -4.483e-03  -0.250
10.0  z0p50_0p60        23  7.409e-03  235.86  -56.44  107.04  -2.171e-03  -0.293
10.0  z0p60_0p70        27  1.228e-02  131.24  38.35  83.98  1.287e-03  +0.105
10.0  z0p70_0p80        55  5.943e-03  199.01  -9.25  80.81  9.496e-04  +0.160
10.0  z0p80_0p90        80  5.220e-03  51.88  -34.80  152.81  -4.643e-03  -0.889
10.0  z0p90_1p00       149  3.042e-03  169.12  11.21  84.91  2.698e-04  +0.089
10.0  z1p00_1p10       124  1.808e-03  37.39  62.48  63.47  8.075e-04  +0.447
10.0  z1p10_1p20       186  3.064e-03  257.55  -58.40  106.53  -8.716e-04  -0.284
10.0  z1p20_1p30       160  5.144e-03  257.58  2.89  45.45  3.609e-03  +0.702
10.0  z1p30_1p40       251  3.523e-03  293.03  16.93  39.09  2.734e-03  +0.776
10.0  z1p40_1p50       307  3.227e-03  111.33  -43.27  160.43  -3.040e-03  -0.942
10.0  z1p50_1p60       217  1.960e-03  323.27  25.49  51.06  1.232e-03  +0.629
10.0  z1p60_1p70       173  2.665e-03  83.35  66.74  65.26  1.115e-03  +0.419
10.0  z1p70_1p80       123  6.589e-03  254.60  -40.95  89.34  7.640e-05  +0.012
10.0  z1p80_1p90       110  4.647e-03  188.40  -61.71  125.14  -2.674e-03  -0.576
10.0  z1p90_2p00        61  6.128e-03  201.26  -27.79  94.32  -4.621e-04  -0.075
10.0  z2p00_2p10        36  9.394e-03  97.70  9.19  121.54  -4.914e-03  -0.523
10.0  z2p10_2p20        18  1.724e-02  183.45  -28.36  104.85  -4.419e-03  -0.256
10.0  z2p20_2p30        17  5.323e-03  29.64  20.00  96.45  -5.977e-04  -0.112
10.0  z2p30_2p40        24  9.836e-03  165.99  -17.40  108.13  -3.061e-03  -0.311
10.0  z2p40_2p50        17  1.302e-02  84.53  -10.37  142.36  -1.031e-02  -0.792
15.0  full           32554  5.665e-03  159.29  -0.93  100.48  -1.031e-03  -0.182
15.0  z0p30_0p40         9  1.272e-02  0.69  24.39  76.36  3.000e-03  +0.236
15.0  z0p40_0p50        13  1.793e-02  309.81  -48.67  104.48  -4.483e-03  -0.250
15.0  z0p50_0p60        23  7.409e-03  235.86  -56.44  107.04  -2.171e-03  -0.293
15.0  z0p60_0p70        26  1.238e-02  130.28  42.93  80.35  2.076e-03  +0.168
15.0  z0p70_0p80        53  6.896e-03  197.69  -16.78  87.54  2.956e-04  +0.043
15.0  z0p80_0p90        79  4.950e-03  45.15  -37.41  149.93  -4.284e-03  -0.865
15.0  z0p90_1p00       147  3.218e-03  165.88  7.59  89.74  1.459e-05  +0.005
15.0  z1p00_1p10       124  1.808e-03  37.39  62.48  63.47  8.075e-04  +0.447
15.0  z1p10_1p20       182  3.068e-03  256.03  -59.70  107.90  -9.426e-04  -0.307
15.0  z1p20_1p30       159  5.042e-03  257.29  3.23  45.15  3.556e-03  +0.705
15.0  z1p30_1p40       246  3.722e-03  295.52  22.23  35.98  3.011e-03  +0.809
15.0  z1p40_1p50       301  3.409e-03  114.87  -48.01  159.49  -3.193e-03  -0.937
15.0  z1p50_1p60       216  2.170e-03  326.35  29.06  50.77  1.373e-03  +0.632
15.0  z1p60_1p70       170  2.415e-03  84.69  69.28  62.72  1.107e-03  +0.458
15.0  z1p70_1p80       122  6.545e-03  260.21  -34.76  82.83  8.167e-04  +0.125
15.0  z1p80_1p90       108  5.810e-03  183.90  -60.64  126.25  -3.435e-03  -0.591
15.0  z1p90_2p00        61  6.128e-03  201.26  -27.79  94.32  -4.621e-04  -0.075
15.0  z2p00_2p10        36  9.394e-03  97.70  9.19  121.54  -4.914e-03  -0.523
15.0  z2p10_2p20        18  1.724e-02  183.45  -28.36  104.85  -4.419e-03  -0.256
15.0  z2p20_2p30        17  5.323e-03  29.64  20.00  96.45  -5.977e-04  -0.112
15.0  z2p30_2p40        22  9.457e-03  156.91  -10.09  108.90  -3.063e-03  -0.324
15.0  z2p40_2p50        17  1.302e-02  84.53  -10.37  142.36  -1.031e-02  -0.792
20.0  full           29533  5.442e-03  166.53  1.50  93.87  -3.676e-04  -0.068
20.0  z0p30_0p40         9  1.272e-02  0.69  24.39  76.36  3.000e-03  +0.236
20.0  z0p40_0p50        13  1.793e-02  309.81  -48.67  104.48  -4.483e-03  -0.250
20.0  z0p50_0p60        22  7.266e-03  240.41  -55.25  105.14  -1.897e-03  -0.261
20.0  z0p60_0p70        25  1.261e-02  128.63  45.95  78.29  2.560e-03  +0.203
20.0  z0p70_0p80        51  5.485e-03  184.74  -1.45  83.92  5.809e-04  +0.106
20.0  z0p80_0p90        76  5.051e-03  39.06  -17.56  132.52  -3.414e-03  -0.676
20.0  z0p90_1p00       142  3.006e-03  175.60  16.48  76.77  6.877e-04  +0.229
20.0  z1p00_1p10       118  2.901e-03  0.39  61.51  51.86  1.792e-03  +0.618
20.0  z1p10_1p20       178  3.298e-03  264.31  -48.98  96.98  -4.007e-04  -0.121
20.0  z1p20_1p30       152  5.610e-03  258.20  2.75  45.52  3.931e-03  +0.701
20.0  z1p30_1p40       240  3.835e-03  291.80  15.29  39.92  2.942e-03  +0.767
20.0  z1p40_1p50       292  3.553e-03  117.47  -48.75  157.94  -3.293e-03  -0.927
20.0  z1p50_1p60       206  2.709e-03  314.83  18.37  50.56  1.721e-03  +0.635
20.0  z1p60_1p70       167  2.550e-03  80.39  68.66  63.31  1.145e-03  +0.449
20.0  z1p70_1p80       118  7.098e-03  257.50  -37.94  86.14  4.781e-04  +0.067
20.0  z1p80_1p90       103  5.341e-03  182.95  -59.46  125.95  -3.136e-03  -0.587
20.0  z1p90_2p00        58  4.050e-03  207.15  -14.36  80.20  6.894e-04  +0.170
20.0  z2p00_2p10        35  8.732e-03  107.77  -1.75  129.40  -5.543e-03  -0.635
20.0  z2p10_2p20        17  1.816e-02  182.91  -28.62  105.37  -4.813e-03  -0.265
20.0  z2p20_2p30        17  5.323e-03  29.64  20.00  96.45  -5.977e-04  -0.112
20.0  z2p30_2p40        21  7.922e-03  168.07  -3.99  96.93  -9.559e-04  -0.121
20.0  z2p40_2p50        16  7.409e-03  71.80  -14.76  145.26  -6.088e-03  -0.822
25.0  full           26159  5.343e-03  172.85  -8.93  97.39  -6.870e-04  -0.129
25.0  z0p30_0p40         8  1.194e-02  9.38  22.12  83.37  1.378e-03  +0.115
25.0  z0p40_0p50        12  1.784e-02  310.31  -48.39  104.40  -4.436e-03  -0.249
25.0  z0p50_0p60        21  5.957e-03  276.85  -27.06  75.94  1.447e-03  +0.243
25.0  z0p60_0p70        23  1.032e-02  139.20  38.79  80.34  1.733e-03  +0.168
25.0  z0p70_0p80        45  5.683e-03  200.52  -4.10  75.83  1.392e-03  +0.245
25.0  z0p80_0p90        73  4.978e-03  31.73  -25.10  133.32  -3.415e-03  -0.686
25.0  z0p90_1p00       134  3.014e-03  170.87  20.28  77.10  6.730e-04  +0.223
25.0  z1p00_1p10       112  2.774e-03  16.08  62.93  56.82  1.518e-03  +0.547
25.0  z1p10_1p20       169  3.624e-03  267.27  -48.72  96.76  -4.265e-04  -0.118
25.0  z1p20_1p30       142  4.522e-03  244.63  -8.58  59.11  2.321e-03  +0.513
25.0  z1p30_1p40       223  3.048e-03  296.76  27.85  32.36  2.575e-03  +0.845
25.0  z1p40_1p50       277  3.463e-03  125.84  -53.68  153.39  -3.096e-03  -0.894
25.0  z1p50_1p60       197  2.068e-03  310.71  17.05  48.96  1.358e-03  +0.657
25.0  z1p60_1p70       157  2.649e-03  72.33  74.83  56.93  1.446e-03  +0.546
25.0  z1p70_1p80       107  5.229e-03  267.64  -20.66  68.73  1.897e-03  +0.363
25.0  z1p80_1p90        95  3.908e-03  208.68  -59.45  116.52  -1.745e-03  -0.446
25.0  z1p90_2p00        53  4.343e-03  205.76  -22.58  87.71  1.732e-04  +0.040
25.0  z2p00_2p10        35  8.732e-03  107.77  -1.75  129.40  -5.543e-03  -0.635
25.0  z2p10_2p20        16  1.811e-02  233.03  -35.23  87.71  7.228e-04  +0.040
25.0  z2p20_2p30        17  5.323e-03  29.64  20.00  96.45  -5.977e-04  -0.112
25.0  z2p30_2p40        18  6.087e-03  212.21  35.41  39.84  4.674e-03  +0.768
25.0  z2p40_2p50        16  7.409e-03  71.80  -14.76  145.26  -6.088e-03  -0.822
30.0  full           22890  4.886e-03  192.79  -12.00  86.77  2.751e-04  +0.056
30.0  z0p30_0p40         6  7.850e-03  52.88  -6.93  131.17  -5.168e-03  -0.658
30.0  z0p40_0p50        10  2.509e-02  308.32  -50.96  106.00  -6.916e-03  -0.276
30.0  z0p50_0p60        21  5.957e-03  276.85  -27.06  75.94  1.447e-03  +0.243
30.0  z0p60_0p70        21  8.887e-03  180.32  51.92  50.92  5.602e-03  +0.630
30.0  z0p70_0p80        40  4.411e-03  193.88  7.04  71.52  1.398e-03  +0.317
30.0  z0p80_0p90        65  5.691e-03  43.32  -25.82  141.30  -4.442e-03  -0.780
30.0  z0p90_1p00       130  2.959e-03  177.97  45.57  55.73  1.666e-03  +0.563
30.0  z1p00_1p10       101  4.376e-03  335.53  54.80  43.16  3.192e-03  +0.729
30.0  z1p10_1p20       154  3.595e-03  279.59  -44.45  93.46  -2.170e-04  -0.060
30.0  z1p20_1p30       131  6.316e-03  239.91  -25.88  76.99  1.422e-03  +0.225
30.0  z1p30_1p40       206  4.799e-03  297.14  17.52  40.71  3.638e-03  +0.758
30.0  z1p40_1p50       248  2.226e-03  137.45  -62.44  147.48  -1.877e-03  -0.843
30.0  z1p50_1p60       184  1.953e-03  322.73  27.19  49.57  1.266e-03  +0.648
30.0  z1p60_1p70       143  2.709e-03  308.59  68.49  29.99  2.346e-03  +0.866
30.0  z1p70_1p80       100  3.538e-03  244.23  -40.63  90.34  -2.107e-05  -0.006
30.0  z1p80_1p90        92  4.242e-03  222.79  -57.57  110.93  -1.516e-03  -0.357
30.0  z1p90_2p00        50  3.613e-03  203.01  -17.25  84.86  3.237e-04  +0.090
30.0  z2p00_2p10        34  1.140e-02  111.08  -12.50  137.94  -8.465e-03  -0.742
30.0  z2p10_2p20        15  1.810e-02  233.72  -34.92  87.22  8.772e-04  +0.048
30.0  z2p20_2p30        15  8.419e-03  73.79  23.56  107.85  -2.581e-03  -0.307
30.0  z2p30_2p40        17  7.561e-03  181.07  -16.68  97.73  -1.016e-03  -0.134
30.0  z2p40_2p50        15  9.754e-03  84.95  -9.73  141.72  -7.658e-03  -0.785
35.0  full           19717  4.607e-03  184.02  -15.86  95.22  -4.195e-04  -0.091
35.0  z0p30_0p40         5  1.648e-02  67.46  -6.82  136.48  -1.195e-02  -0.725
35.0  z0p40_0p50        10  2.509e-02  308.32  -50.96  106.00  -6.916e-03  -0.276
35.0  z0p50_0p60        20  5.940e-03  276.83  -27.20  76.07  1.429e-03  +0.241
35.0  z0p60_0p70        21  8.887e-03  180.32  51.92  50.92  5.602e-03  +0.630
35.0  z0p70_0p80        37  4.157e-03  203.22  32.34  47.66  2.800e-03  +0.674
35.0  z0p80_0p90        59  5.265e-03  31.80  -31.49  137.55  -3.885e-03  -0.738
35.0  z0p90_1p00       121  4.107e-03  216.25  68.48  31.09  3.517e-03  +0.856
35.0  z1p00_1p10        95  4.303e-03  306.32  47.12  28.21  3.792e-03  +0.881
35.0  z1p10_1p20       137  4.191e-03  272.88  -33.61  81.99  5.838e-04  +0.139
35.0  z1p20_1p30       119  5.489e-03  229.92  -32.79  86.37  3.480e-04  +0.063
35.0  z1p30_1p40       187  7.155e-03  300.51  32.53  31.46  6.103e-03  +0.853
35.0  z1p40_1p50       218  2.917e-03  225.68  -69.51  120.83  -1.495e-03  -0.512
35.0  z1p50_1p60       166  1.410e-03  326.84  34.07  47.98  9.441e-04  +0.669
35.0  z1p60_1p70       132  1.516e-03  119.10  62.88  65.67  6.245e-04  +0.412
35.0  z1p70_1p80        88  4.196e-03  288.53  9.22  43.95  3.021e-03  +0.720
35.0  z1p80_1p90        83  2.158e-03  299.41  4.46  53.02  1.298e-03  +0.601
35.0  z1p90_2p00        46  3.442e-03  198.65  -23.24  92.10  -1.264e-04  -0.037
35.0  z2p00_2p10        32  1.221e-02  125.73  -36.76  147.65  -1.031e-02  -0.845
35.0  z2p10_2p20        15  1.810e-02  233.72  -34.92  87.22  8.772e-04  +0.048
35.0  z2p20_2p30        14  1.042e-02  58.00  31.98  96.69  -1.214e-03  -0.117
35.0  z2p30_2p40        17  7.561e-03  181.07  -16.68  97.73  -1.016e-03  -0.134
35.0  z2p40_2p50        13  1.004e-02  54.79  16.63  110.30  -3.484e-03  -0.347
