# tag  region  N_use  amp_full  amp_jk  d_amp_frac  l_full  b_full  l_jk  b_jk  sep_full  sep_cmb_full  sep_cmb_jk
full          leave_N_hemisphere   14252  4.441e-03  1.620e-02  2.647  182.20  -18.77  41.46  28.39  142.93  98.56  94.61
full          leave_S_hemisphere   16049  4.441e-03  2.097e-02  3.721  182.20  -18.77  202.79  5.36  31.53  98.56  67.03
full          leave_Q1_0-90      21301  4.441e-03  1.021e-02  1.298  182.20  -18.77  195.43  49.58  69.35  98.56  43.59
full          leave_Q2_90-180    23134  4.441e-03  8.496e-03  0.913  182.20  -18.77  154.41  -34.82  29.38  98.56  127.48
full          leave_Q3_180-270   22260  4.441e-03  8.660e-03  0.950  182.20  -18.77  129.27  -65.96  58.24  98.56  150.52
full          leave_Q4_270-360   24208  4.441e-03  5.375e-03  0.210  182.20  -18.77  247.59  -3.02  65.76  98.56  53.00
z0p10_0p30    leave_N_hemisphere      99  8.611e-03  1.326e-02  0.541  320.45  50.79  355.76  58.94  21.58  35.95  51.24
z0p10_0p30    leave_S_hemisphere      99  8.611e-03  1.619e-02  0.880  320.45  50.79  283.53  -67.86  121.81  35.95  116.78
z0p10_0p30    leave_Q1_0-90        131  8.611e-03  1.079e-02  0.253  320.45  50.79  282.47  56.96  22.90  35.95  14.30
z0p10_0p30    leave_Q2_90-180      144  8.611e-03  8.958e-03  0.040  320.45  50.79  316.51  50.64  2.50  35.95  33.61
z0p10_0p30    leave_Q3_180-270     155  8.611e-03  8.667e-03  0.006  320.45  50.79  341.20  50.77  13.08  35.95  47.98
z0p10_0p30    leave_Q4_270-360     164  8.611e-03  7.769e-03  -0.098  320.45  50.79  317.40  36.96  14.00  35.95  40.04
z0p30_0p50    leave_N_hemisphere    1395  2.052e-03  5.122e-03  1.497  79.23  -8.24  66.66  42.06  51.60  140.03  88.65
z0p30_0p50    leave_S_hemisphere    1676  2.052e-03  1.479e-03  -0.279  79.23  -8.24  134.14  -38.40  57.66  140.03  142.91
z0p30_0p50    leave_Q1_0-90       2247  2.052e-03  2.486e-03  0.212  79.23  -8.24  79.78  3.97  12.22  140.03  127.90
z0p30_0p50    leave_Q2_90-180     2324  2.052e-03  1.908e-03  -0.070  79.23  -8.24  70.87  -19.38  13.78  140.03  149.46
