# z_mid amp
0.50000 1.00000000e+01
1.00000 1.00000000e+01
5.50000 2.00000000e+01
6.00000 2.00000000e+01
10.50000 3.00000000e+01
11.00000 3.00000000e+01
15.00000 4.00000000e+01
15.50000 4.00000000e+01
16.00000 4.00000000e+01
20.00000 5.00000000e+01
20.50000 5.00000000e+01
21.00000 5.00000000e+01
25.00000 6.00000000e+01
25.50000 6.00000000e+01
30.00000 7.00000000e+01
30.50000 7.00000000e+01
35.00000 8.00000000e+01
35.50000 8.00000000e+01
40.00000 9.00000000e+01
40.50000 9.00000000e+01
45.00000 0.00000000e+00
45.50000 0.00000000e+00
