# z_mid A_par_obs
0.50000 1.05000000e+00
1.00000 2.05000000e+00
5.50000 1.15000000e+00
6.00000 2.15000000e+00
10.50000 1.25000000e+00
11.00000 2.25000000e+00
15.00000 3.50000000e-01
15.50000 1.35000000e+00
16.00000 2.35000000e+00
20.00000 4.50000000e-01
20.50000 1.45000000e+00
21.00000 2.45000000e+00
25.00000 5.50000000e-01
25.50000 1.55000000e+00
30.00000 6.50000000e-01
30.50000 1.65000000e+00
35.00000 7.50000000e-01
35.50000 1.75000000e+00
40.00000 8.50000000e-01
40.50000 1.85000000e+00
45.00000 9.50000000e-01
45.50000 1.95000000e+00
