# z_mid fpar
0.50000 1.12000000e+02
1.00000 3.50000000e+01
5.50000 1.69000000e+02
6.00000 1.60000000e+01
10.50000 1.42000000e+02
11.00000 1.70000000e+01
15.00000 8.00000000e+00
15.50000 2.23000000e+02
16.00000 1.80000000e+01
20.00000 1.20000000e+01
20.50000 2.77000000e+02
21.00000 1.60000000e+01
25.00000 2.10000000e+01
25.50000 1.97000000e+02
30.00000 2.30000000e+01
30.50000 1.57000000e+02
35.00000 4.50000000e+01
35.50000 1.07000000e+02
40.00000 7.30000000e+01
40.50000 9.50000000e+01
45.00000 1.34000000e+02
45.50000 5.30000000e+01
