# z_mid A_par_signed
0.35000 -1.19500000e-02
0.45000 -6.91600000e-03
0.55000 1.42900000e-03
0.65000 5.60200000e-03
0.75000 2.80000000e-03
0.85000 -3.88500000e-03
0.95000 3.51700000e-03
1.05000 3.79200000e-03
1.15000 5.83800000e-04
1.25000 3.48000000e-04
1.35000 6.10300000e-03
1.45000 -1.49500000e-03
1.55000 9.44100000e-04
1.65000 6.24500000e-04
1.75000 3.02100000e-03
1.85000 1.29800000e-03
1.95000 -1.26400000e-04
2.05000 -1.03100000e-02
2.15000 8.77200000e-04
2.25000 -1.21400000e-03
2.35000 -1.01600000e-03
2.45000 -3.48400000e-03
