# Monte Carlo summary for <z> dipole vs z (pixel shuffling)
# bcut  tag            z_mid   N_good   A_obs      A_par_obs   f_par_obs   p_A    p_|A_par|  p_|f_par|
10.0  z0p30_0p40     0.35       9  1.272e-02  3.000e-03  +0.236  0.470  0.775  0.828
10.0  z0p40_0p50     0.45      13  1.793e-02  -4.483e-03  -0.250  0.373  0.600  0.675
10.0  z0p50_0p60     0.55      23  7.409e-03  -2.171e-03  -0.293  0.672  0.719  0.718
10.0  z0p60_0p70     0.65      27  1.228e-02  1.287e-03  +0.105  0.324  0.838  0.886
10.0  z0p70_0p80     0.75      55  5.943e-03  9.496e-04  +0.160  0.449  0.780  0.817
10.0  z0p80_0p90     0.85      80  5.220e-03  -4.643e-03  -0.889  0.365  0.088  0.101
10.0  z0p90_1p00     0.95     149  3.042e-03  2.698e-04  +0.089  0.478  0.871  0.892
10.0  z1p00_1p10     1.05     124  1.808e-03  8.075e-04  +0.447  0.893  0.719  0.508
10.0  z1p10_1p20     1.15     186  3.064e-03  -8.716e-04  -0.284  0.462  0.623  0.674
10.0  z1p20_1p30     1.25     160  5.144e-03  3.609e-03  +0.702  0.104  0.082  0.293
10.0  z1p30_1p40     1.35     251  3.523e-03  2.734e-03  +0.776  0.216  0.092  0.187
10.0  z1p40_1p50     1.45     307  3.227e-03  -3.040e-03  -0.942  0.221  0.036  0.050
10.0  z1p50_1p60     1.55     217  1.960e-03  1.232e-03  +0.629  0.685  0.441  0.336
10.0  z1p60_1p70     1.65     173  2.665e-03  1.115e-03  +0.419  0.619  0.548  0.540
10.0  z1p70_1p80     1.75     123  6.589e-03  7.640e-05  +0.012  0.064  0.970  0.982
10.0  z1p80_1p90     1.85     110  4.647e-03  -2.674e-03  -0.576  0.415  0.270  0.370
10.0  z1p90_2p00     1.95      61  6.128e-03  -4.621e-04  -0.075  0.259  0.868  0.916
10.0  z2p00_2p10     2.05      36  9.394e-03  -4.914e-03  -0.523  0.314  0.305  0.457
10.0  z2p10_2p20     2.15      18  1.724e-02  -4.419e-03  -0.256  0.341  0.585  0.707
10.0  z2p20_2p30     2.25      17  5.323e-03  -5.977e-04  -0.112  0.931  0.932  0.852
10.0  z2p30_2p40     2.35      24  9.836e-03  -3.061e-03  -0.311  0.307  0.516  0.647
10.0  z2p40_2p50     2.45      17  1.302e-02  -1.031e-02  -0.792  0.338  0.082  0.154
15.0  z0p30_0p40     0.35       9  1.272e-02  3.000e-03  +0.236  0.455  0.748  0.812
15.0  z0p40_0p50     0.45      13  1.793e-02  -4.483e-03  -0.250  0.382  0.607  0.694
15.0  z0p50_0p60     0.55      23  7.409e-03  -2.171e-03  -0.293  0.697  0.711  0.708
15.0  z0p60_0p70     0.65      26  1.238e-02  2.076e-03  +0.168  0.330  0.744  0.819
15.0  z0p70_0p80     0.75      53  6.896e-03  2.956e-04  +0.043  0.370  0.927  0.949
