score_case,split,model,galaxy,N_points,log_predictive,delta_log_predictive_vs_RAR
posterior_baseline_all_Q2,all_Q2,RAR,CamB,9,-80.92631286040897,0.0
posterior_baseline_all_Q2,all_Q2,RAR,D512-2,4,-12.394730465166885,0.0
posterior_baseline_all_Q2,all_Q2,RAR,D564-8,6,-20.4285365309219,0.0
posterior_baseline_all_Q2,all_Q2,RAR,D631-7,16,-79.19309419685484,0.0
posterior_baseline_all_Q2,all_Q2,RAR,DDO064,14,-40.25020318326964,0.0
posterior_baseline_all_Q2,all_Q2,RAR,DDO154,12,-28.34653656088768,0.0
posterior_baseline_all_Q2,all_Q2,RAR,DDO161,31,-118.48167385079235,0.0
posterior_baseline_all_Q2,all_Q2,RAR,DDO168,10,-36.18589575304374,0.0
posterior_baseline_all_Q2,all_Q2,RAR,DDO170,8,-22.411646189835615,0.0
posterior_baseline_all_Q2,all_Q2,RAR,ESO079-G014,15,-61.68653928760012,0.0
posterior_baseline_all_Q2,all_Q2,RAR,ESO116-G012,15,-45.90130128542288,0.0
posterior_baseline_all_Q2,all_Q2,RAR,ESO444-G084,7,-37.82329868464797,0.0
posterior_baseline_all_Q2,all_Q2,RAR,ESO563-G021,30,-278.55248255917184,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F563-1,17,-70.59827570232406,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F563-V2,10,-44.254396724767105,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F565-V2,7,-22.932111834615863,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F568-1,12,-57.52010280465157,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F568-3,18,-69.69372177039509,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F568-V1,15,-74.31251813293133,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F571-8,13,-217.22126826978717,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F571-V1,7,-22.656716648055003,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F574-1,14,-47.35246283937915,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F579-V1,14,-63.24372447883341,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F583-1,25,-96.59885012314331,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F583-4,12,-34.27433688028422,0.0
posterior_baseline_all_Q2,all_Q2,RAR,IC2574,34,-152.8900561047909,0.0
posterior_baseline_all_Q2,all_Q2,RAR,IC4202,32,-433.912071046353,0.0
posterior_baseline_all_Q2,all_Q2,RAR,KK98-251,15,-44.233934537184524,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0024,29,-150.35910314703432,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0055,21,-71.59796065480221,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0100,21,-70.14045292673515,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0247,26,-79.58482319723728,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0289,28,-126.2287681803459,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0300,25,-81.92542578029709,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0801,13,-135.4608710533427,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0891,18,-120.68599506032268,0.0
