score_case,split,model,galaxy,N_points,log_predictive,delta_log_predictive_vs_RAR
posterior_baseline_all_Q2,all_Q2,RAR,CamB,9,-83.2650146070999,0.0
posterior_baseline_all_Q2,all_Q2,RAR,D512-2,4,-11.647552906389228,0.0
posterior_baseline_all_Q2,all_Q2,RAR,D564-8,6,-19.432716860834393,0.0
posterior_baseline_all_Q2,all_Q2,RAR,D631-7,16,-75.39432309735687,0.0
posterior_baseline_all_Q2,all_Q2,RAR,DDO064,14,-39.90694062366827,0.0
posterior_baseline_all_Q2,all_Q2,RAR,DDO154,12,-28.43063495352836,0.0
posterior_baseline_all_Q2,all_Q2,RAR,DDO161,31,-95.48676638371252,0.0
posterior_baseline_all_Q2,all_Q2,RAR,DDO168,10,-35.63935966934584,0.0
posterior_baseline_all_Q2,all_Q2,RAR,DDO170,8,-21.784548742081945,0.0
posterior_baseline_all_Q2,all_Q2,RAR,ESO079-G014,15,-60.30814765992647,0.0
posterior_baseline_all_Q2,all_Q2,RAR,ESO116-G012,15,-47.385563365201016,0.0
posterior_baseline_all_Q2,all_Q2,RAR,ESO444-G084,7,-30.12961409059841,0.0
posterior_baseline_all_Q2,all_Q2,RAR,ESO563-G021,30,-274.55066655626115,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F563-1,17,-72.63566343915426,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F563-V2,10,-42.33037373953903,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F565-V2,7,-23.148116337130055,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F568-1,12,-56.716774289484455,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F568-3,18,-69.33527743333427,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F568-V1,15,-79.09756557128148,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F571-8,13,-211.3758363538977,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F571-V1,7,-22.267021033870627,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F574-1,14,-49.11117234017409,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F579-V1,14,-63.54813628817367,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F583-1,25,-93.16811328050292,0.0
posterior_baseline_all_Q2,all_Q2,RAR,F583-4,12,-35.02267422282894,0.0
posterior_baseline_all_Q2,all_Q2,RAR,IC2574,34,-132.94833886673405,0.0
posterior_baseline_all_Q2,all_Q2,RAR,IC4202,32,-436.38271350854694,0.0
posterior_baseline_all_Q2,all_Q2,RAR,KK98-251,15,-38.76505453667105,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0024,29,-130.65448162831734,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0055,21,-92.44824788994222,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0100,21,-68.19375594241916,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0247,26,-80.6240782463236,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0289,28,-136.78273235510966,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0300,25,-82.06443030384807,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0801,13,-154.45615993826883,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC0891,18,-107.47983052402559,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC1003,36,-120.57077735582122,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC1090,24,-86.74073514251889,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC2403,73,-273.24156601167954,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC2683,11,-42.61668397301693,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC2841,50,-689.69252871621,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC2915,30,-186.84884505250577,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC2955,24,-135.16105822954083,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC2976,27,-77.02078691308148,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC2998,13,-65.0765788131419,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC3109,25,-82.28955641490383,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC3198,43,-133.58969976733675,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC3521,41,-153.22326248260467,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC3726,12,-49.40252052605363,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC3741,21,-57.31149524113895,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC3769,12,-42.8212366289038,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC3877,13,-75.52710049703406,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC3893,10,-38.27460116940003,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC3917,17,-60.75998061243699,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC3949,7,-24.79687672638929,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC3953,8,-32.81664218421986,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC3972,10,-33.672655817818764,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC3992,9,-37.360057256899,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC4010,12,-45.328060495110364,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC4013,36,-134.34104111739848,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC4051,7,-27.473591655923123,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC4068,6,-25.97706393963719,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC4085,7,-34.29637205945865,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC4088,12,-43.85096699868397,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC4100,24,-83.41448000539518,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC4138,7,-29.11459826372558,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC4157,17,-63.052065176899696,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC4183,23,-79.0875615332393,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC4214,14,-59.18947204469287,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC4217,19,-148.7547143787717,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC4559,32,-96.02954300984672,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC5005,18,-74.23298299191848,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC5033,22,-110.62361016819408,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC5055,28,-85.70582176321109,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC5371,19,-217.59183035177853,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC5585,24,-91.59994965373328,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC5907,19,-112.44810901644884,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC6015,44,-213.76349098126795,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC6195,23,-145.90138934308916,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC6503,31,-95.18773064169383,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC6674,15,-75.88498040630368,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC6789,4,-19.582157446897284,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC6946,58,-181.59192681942426,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC7331,36,-152.84177255105953,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC7793,46,-149.91836752396807,0.0
posterior_baseline_all_Q2,all_Q2,RAR,NGC7814,18,-116.99233163317359,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC00128,22,-116.35696750322228,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC00191,9,-30.38349303464467,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC00634,4,-11.435081317540092,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC00731,12,-70.3078808022003,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC00891,5,-18.098212971221958,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC01230,11,-52.79028772964738,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC01281,25,-69.75273798085352,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC02023,5,-18.641690434500095,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC02259,8,-34.64362035894516,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC02885,19,-83.24063125187006,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC02916,43,-246.63873367408272,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC02953,115,-464.49902327359297,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC03205,48,-229.35314996666068,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC03546,30,-108.12246722515636,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC04278,25,-90.18373230619513,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC04325,8,-38.140436843437925,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC04483,8,-22.13144615912834,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC04499,9,-26.370681135443824,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC05005,11,-40.38142360802841,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC05253,73,-282.15182760013835,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC05414,6,-16.915357701934624,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC05716,12,-35.04114099257901,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC05721,23,-83.08292598638025,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC05750,11,-41.390243778818025,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC05764,10,-39.13353153888319,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC05829,11,-32.883266056827324,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC05918,8,-23.051231199528793,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC05986,15,-51.407519452291744,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC05999,5,-19.83766959013009,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC06399,9,-26.661670244800945,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC06446,17,-60.96547899100994,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC06614,13,-52.42941191699032,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC06628,7,-45.40564271090753,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC06667,9,-72.61414602474157,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC06786,45,-320.21348583999725,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC06818,8,-34.249961226457316,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC06917,11,-33.2083508629414,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC06923,6,-19.04239501241818,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC06930,10,-33.62380614857347,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC06983,17,-60.37571728213745,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC07089,12,-37.42497201417279,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC07125,13,-43.72446456937483,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC07151,11,-31.42164847463444,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC07232,4,-11.93285184333433,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC07261,7,-22.435059851928173,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC07323,10,-28.145375762618414,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC07399,10,-32.78119209630884,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC07524,31,-95.0639426837351,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC07559,7,-27.71378899351543,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC07577,9,-43.37990784211949,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC07603,12,-35.89045610800334,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC07608,8,-25.181391468190817,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC07690,7,-21.221753688682632,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC07866,7,-21.804523265771408,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC08286,17,-67.23162488184673,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC08490,30,-80.83812598818275,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC08550,11,-28.823470277970095,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC08699,41,-134.6637629559983,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC08837,8,-46.88703463053861,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC09037,22,-93.73314405328723,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC09992,5,-21.04067922575973,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC10310,7,-24.18903385181426,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC11455,36,-172.32478098978618,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC11557,12,-60.91604967385127,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC11820,10,-30.896721719880354,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC11914,65,-271.1196304216812,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC12506,31,-150.5946193228063,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC12632,15,-48.370343843248754,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGC12732,16,-51.995784015291434,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGCA442,8,-21.639586873962045,0.0
posterior_baseline_all_Q2,all_Q2,RAR,UGCA444,36,-95.84196446516466,0.0
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,CamB,9,-82.14161167976708,1.123402927332819
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,D512-2,4,-12.283567086574754,-0.6360141801855264
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,D564-8,6,-21.07080278626081,-1.6380859254264166
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,D631-7,16,-73.9695215518051,1.424801545551773
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,DDO064,14,-40.49119439726422,-0.5842537735959539
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,DDO154,12,-29.114657798181952,-0.6840228446535903
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,DDO161,31,-83.05645175657668,12.430314627135843
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,DDO168,10,-35.841901684857405,-0.20254201551156115
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,DDO170,8,-21.820483128389775,-0.03593438630782941
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,ESO079-G014,15,-60.13694533974006,0.1712023201864099
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,ESO116-G012,15,-51.18151410034803,-3.7959507351470165
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,ESO444-G084,7,-33.758880147706776,-3.6292660571083672
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,ESO563-G021,30,-279.7592140579856,-5.208547501724468
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F563-1,17,-71.70848632593703,0.9271771132172262
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F563-V2,10,-43.07125485081972,-0.740881111280693
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F565-V2,7,-22.812787034620182,0.3353293025098729
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F568-1,12,-52.38931667969313,4.327457609791324
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F568-3,18,-69.46455578056162,-0.12927834722735554
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F568-V1,15,-84.77609170842445,-5.678526137142967
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F571-8,13,-216.06747227996658,-4.691635926068869
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F571-V1,7,-22.48784145183652,-0.2208204179658928
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F574-1,14,-48.26481560676817,0.8463567334059263
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F579-V1,14,-65.46814935950864,-1.9200130713349708
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F583-1,25,-95.7727479292122,-2.604634648709279
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F583-4,12,-34.37871796389964,0.6439562589293004
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,IC2574,34,-124.92136276467056,8.026976102063486
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,IC4202,32,-434.33397072978846,2.0487427787584807
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,KK98-251,15,-51.03444758510327,-12.269393048432221
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC0024,29,-152.53483236775048,-21.88035073943314
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC0055,21,-111.63479131623258,-19.186543426290356
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC0100,21,-69.5725741281176,-1.3788181856984352
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC0247,26,-79.25917506440632,1.3649031819172848
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC0289,28,-128.13197713858133,8.650755216528324
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC0300,25,-81.77973355999379,0.28469674385428334
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC0801,13,-159.70078055208202,-5.244620613813197
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC0891,18,-120.63559509502106,-13.155764570995473
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC1003,36,-125.48960815469003,-4.918830798868811
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC1090,24,-84.19764796033631,2.5430871821825747
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC2403,73,-307.66425461146684,-34.42268859978731
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC2683,11,-44.46681990314501,-1.8501359301280758
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC2841,50,-237.63347819094105,452.0590505252689
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC2915,30,-191.80938508210284,-4.96054002959707
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC2955,24,-139.0651870468929,-3.904128817352074
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC2976,27,-76.68049264850028,0.34029426458120327
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC2998,13,-61.56754418495868,3.5090346281832154
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC3109,25,-82.94698050358558,-0.6574240886817506
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC3198,43,-138.24460763584463,-4.654907868507877
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC3521,41,-153.49039058564912,-0.2671281030444561
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC3726,12,-46.38822697801173,3.0142935480418984
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC3741,21,-57.07751246642239,0.2339827747165586
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC3769,12,-42.134846353363095,0.6863902755407025
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC3877,13,-75.96012506776476,-0.43302457073070855
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC3893,10,-41.916670017060916,-3.6420688476608873
posterior_baseline_all_Q2,all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC3917,17,-61.07451958578366,-0.31453897334667147
