split,model,galaxy,logd_median,logd_q16,logd_q84,distance_multiplier_median,logeta_median,logeta_q16,logeta_q84,stellar_ml_multiplier_median
all_Q2,RAR,CamB,-0.27755620213219756,-0.30042819800975107,-0.23843347660587266,0.7576329828173345,-0.8588540175009363,-0.9554487584099617,-0.7193258397849427,0.423647296628805
all_Q2,RAR,D512-2,-0.1498451418856093,-0.3089716951588794,0.002441004247383745,0.8608412743601951,-0.09260265914190452,-0.326152965368951,0.1389620150830144,0.9115556266424715
all_Q2,RAR,D564-8,-0.02479263721537915,-0.05575268369904502,0.006384850766182386,0.9755121759778423,-0.36934906606253104,-0.5752319364340828,-0.1543186416866559,0.6911840994239439
all_Q2,RAR,D631-7,-0.04451059991831401,-0.06955149742189384,-0.019772881450951334,0.9564654615841243,-0.6560418326621729,-0.8309238085938636,-0.4721946384207914,0.5189011726874447
all_Q2,RAR,DDO064,0.006388322693089368,-0.10001819425306732,0.10740720055637469,1.0064087715479415,-0.03138818974873136,-0.2568376125474226,0.20533535937652878,0.9690993056332194
all_Q2,RAR,DDO154,-0.01207355006737015,-0.046681510093500175,0.022176863731748347,0.98799904279336,-0.29277294836647044,-0.5026521382464932,-0.09152359256997326,0.7461915454740038
all_Q2,RAR,DDO161,-0.40646264686683775,-0.4349962476735689,-0.377994752192822,0.6660019724118109,-0.4918571674315173,-0.6867014994793937,-0.298421548369043,0.6114897002396473
all_Q2,RAR,DDO168,-0.058448031883728976,-0.09544876682587167,-0.021307556202033538,0.9432272568697638,-0.1938612807546392,-0.41375568364017284,0.026387935175648164,0.8237721693966954
all_Q2,RAR,DDO170,-0.3420287612290458,-0.3959502716318494,-0.28992129964191365,0.7103277745155595,0.02607654029810614,-0.2086770789082633,0.25943011563705387,1.0264195079220402
all_Q2,RAR,ESO079-G014,0.1612569411578989,0.0475027052835528,0.2696422737429824,1.174986832508868,-0.008233075526986901,-0.20140701078926368,0.18779074355338451,0.9918007234192995
all_Q2,RAR,ESO116-G012,0.4074043764245765,0.34110832798410357,0.46996410234613506,1.5029117248699861,-0.36593285191642855,-0.5231805496743845,-0.20910110546342597,0.6935493701572988
all_Q2,RAR,ESO444-G084,0.33403742421638866,0.2790400063727535,0.37519491084769946,1.3965954090852983,0.26445060844343343,0.017587059165547113,0.5059366381606789,1.3027150784776818
all_Q2,RAR,ESO563-G021,0.3712988957654627,0.3011292513480353,0.4424751386254856,1.4496162928111604,-0.023343685972126983,-0.13249915228757936,0.08142115285801467,0.976926670077052
all_Q2,RAR,F563-1,0.33369019682070433,0.25502010416180537,0.4067103279507541,1.396110557080398,0.312104835394441,0.09798321130466231,0.5331736258148732,1.3662979219031877
all_Q2,RAR,F563-V2,0.4710233017642307,0.3556212136634518,0.5814594442195729,1.6016323080980166,0.3511681418641164,0.12751261618040527,0.5701798401314058,1.4207261893800394
all_Q2,RAR,F565-V2,0.27286575374939215,0.18475980493101957,0.3574558119825331,1.3137238704822607,0.029869268265346634,-0.21618367828902735,0.26808723434604237,1.030319829650067
all_Q2,RAR,F568-1,0.33299556487091536,0.25371030981678966,0.4121854857929779,1.3951411108251643,0.6065984154847515,0.4243612794284241,0.7831475190702539,1.8341816513823552
