tag,z_lo,z_hi,z_center,width,family,bcut_deg,N,a0,amp,l_deg,b_deg,formal_snr,rms_resid,sep_from_baseline_b35_deg,sep_from_cmb_deg,amp_ratio_vs_baseline_b35,reference_l_deg,reference_b_deg,reference_amp,reference_snr
shift_m0p10_width0p50,0.9,1.4,1.15,0.4999999999999999,width0p50,10.0,188091,1.1555261124079685,0.0016880513903747506,145.12841664639214,-14.314633816859947,2.5877458922336984,0.14498992987567444,12.467690500423444,119.748570300858,0.5535205695636771,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_m0p10_width0p50,0.9,1.4,1.15,0.4999999999999999,width0p50,15.0,179234,1.1559117674935933,0.0016880633686734967,140.17055062526174,-16.041419094777737,2.5189508193670913,0.1449542874346183,11.759830359313826,124.23717717024317,0.5535244973082838,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_m0p10_width0p50,0.9,1.4,1.15,0.4999999999999999,width0p50,20.0,165864,1.1560684050306016,0.0017263652601881274,135.05933903802293,-17.07931298398819,2.443982774803574,0.14493076428164967,13.583368608257567,128.2680598202523,0.5660838808243496,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_m0p10_width0p50,0.9,1.4,1.15,0.4999999999999999,width0p50,25.0,149922,1.1562220284306832,0.0024077406771850444,140.36369155544847,-16.127374278680822,3.125544282030459,0.14491579232751925,11.608471794015363,124.17680570792444,0.7895103185817287,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_m0p10_width0p50,0.9,1.4,1.15,0.4999999999999999,width0p50,30.0,132743,1.1562976702024546,0.0026765817336904304,139.32731976780317,-10.572102716717737,3.04757299891359,0.14491371545947715,17.168343433853526,120.62682375718637,0.8776646577016568,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_m0p10_width0p50,0.9,1.4,1.15,0.4999999999999999,width0p50,35.0,115280,1.1562042756744766,0.0036822195832047896,145.15654813350753,-9.450394384271679,3.6886748623451293,0.14472635860463026,17.331293676794147,116.07641604033394,1.2074183834542858,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_m0p05_width0p50,0.95,1.45,1.2,0.5,width0p50,10.0,192357,1.20659398455839,0.0024625544308247162,144.8963229644915,-38.13748665257459,4.19872995373752,0.14612059259934856,11.362366069790639,135.69596188689792,0.8074840250148122,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_m0p05_width0p50,0.95,1.45,1.2,0.5,width0p50,15.0,183527,1.2068648164422155,0.0025486913348735205,138.99062883535083,-36.60409979634421,4.235313002887794,0.146152553344992,11.198838898442597,138.7380868675892,0.8357287505376301,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_m0p05_width0p50,0.95,1.45,1.2,0.5,width0p50,20.0,169941,1.2070158632406123,0.0026031162285152466,139.59240244809465,-37.76014588249855,4.204760886186573,0.14617147839168104,11.995881218471686,138.98099077394025,0.8535749478150263,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_m0p05_width0p50,0.95,1.45,1.2,0.5,width0p50,25.0,153651,1.207107232483758,0.0031974930004755753,145.52361389521948,-33.94562761405772,4.768188414679074,0.14615627855549462,7.166676598872884,132.85648805609836,1.048474090830964,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_m0p05_width0p50,0.95,1.45,1.2,0.5,width0p50,30.0,136052,1.2071677474156104,0.003244344543834419,139.38459620901426,-32.430574459206966,4.485617991254423,0.1461488431533827,7.65347947924354,136.01600409138806,1.0638369483321015,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_m0p05_width0p50,0.95,1.45,1.2,0.5,width0p50,35.0,118193,1.207013997589119,0.00406481446557537,145.8499306909128,-25.377755683544827,4.785199523533652,0.1460604605702451,1.4793081910424455,127.14092578259978,1.3328731761279244,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
baseline_width0p50,1.0,1.5,1.25,0.5,width0p50,10.0,194552,1.2585003618314157,0.0020920732572718283,159.01838895067158,-32.121602323005405,3.479547276597855,0.14480989732300045,13.048605229685714,122.86679413976242,0.6860013785936696,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
baseline_width0p50,1.0,1.5,1.25,0.5,width0p50,15.0,185739,1.2588687575633877,0.0022497252686004975,155.9786846714078,-29.019270706462468,3.597784382626838,0.1448077261226805,9.670924850091389,122.83805328668217,0.7376962686906657,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
baseline_width0p50,1.0,1.5,1.25,0.5,width0p50,20.0,172054,1.2591251993339514,0.0018457931985303908,151.06649565561648,-38.079865764378106,3.020826423745981,0.1448159665780018,12.286133126382442,131.64902798873274,0.6052449044933919,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
baseline_width0p50,1.0,1.5,1.25,0.5,width0p50,25.0,155609,1.2592174088384065,0.002367795740303487,165.21993972491978,-31.31064881262661,3.4985659965369225,0.14480645546386298,17.94157996307803,118.34419562887618,0.7764121721983084,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
baseline_width0p50,1.0,1.5,1.25,0.5,width0p50,30.0,137850,1.2592962478072938,0.002465009682312217,152.2254904021956,-30.474038229572717,3.383764797746312,0.14484516181915957,7.089131333606888,126.26007243086637,0.8082891143678572,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
baseline_width0p50,1.0,1.5,1.25,0.5,width0p50,35.0,119719,1.2590785219836356,0.003049663342602405,145.328335097427,-26.78092675371682,3.7059359584726645,0.14480327025622838,0.0,128.4303615264027,1.0,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_p0p05_width0p50,1.05,1.55,1.3,0.5,width0p50,10.0,196345,1.3062634712559784,0.0015171690711684599,172.06884947435907,-46.26595162123969,2.7582385301854564,0.14360066280603567,28.750127734895038,123.69514913115843,0.4974873947475777,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_p0p05_width0p50,1.05,1.55,1.3,0.5,width0p50,15.0,187618,1.3066818438383696,0.0015567124190703158,176.5823192139229,-43.56894588879611,2.7523603290391505,0.1435990585247307,30.287051556553603,119.51606799677805,0.510453858077957,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_p0p05_width0p50,1.05,1.55,1.3,0.5,width0p50,20.0,173898,1.3069391630285268,0.0011806588428354048,203.62310648006635,-76.47528061230362,2.413953432750314,0.14361757297774302,56.783146730332774,130.42726571546032,0.387143992696551,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_p0p05_width0p50,1.05,1.55,1.3,0.5,width0p50,25.0,157338,1.3069906213847682,0.0013862610325193307,223.4325004164755,-58.036253578370086,2.590191526268277,0.14362852533634227,61.335295105000945,111.42567765444323,0.4545619882542105,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_p0p05_width0p50,1.05,1.55,1.3,0.5,width0p50,30.0,139430,1.3070351911304119,0.0013315671854947841,193.58368336407986,-60.41932031977973,2.427571962655152,0.14368600172104296,46.742816305826416,122.60123880613855,0.4366275998053288,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_p0p05_width0p50,1.05,1.55,1.3,0.5,width0p50,35.0,121168,1.3069380995551152,0.0013984898353887358,170.10865560338155,-67.81983997998995,2.554410081438601,0.14379520140646343,43.67811352213199,135.07513180038427,0.4585718744270789,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_p0p10_width0p50,1.1,1.6,1.35,0.5,width0p50,10.0,197142,1.3531896740075566,0.0012580429404081904,189.34884462682183,-28.981665051889564,2.1156977623501505,0.1426394065538071,38.74962093746029,101.97792023599457,0.41251862880531914,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_p0p10_width0p50,1.1,1.6,1.35,0.5,width0p50,15.0,188505,1.3535133028748627,0.0012731971180921045,190.41975000745674,-27.257461731895063,2.0745462287759637,0.1426131466022692,39.94794965622269,100.055113848471,0.41748776014261046,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_p0p10_width0p50,1.1,1.6,1.35,0.5,width0p50,20.0,174795,1.3537051639760342,0.0008023862351959909,235.98531415747482,-60.54198736811552,1.5753807581975012,0.1426198084763027,67.21379412599593,111.1375217519872,0.26310649571938693,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_p0p10_width0p50,1.1,1.6,1.35,0.5,width0p50,25.0,158161,1.3537092761032363,0.0009607456791692417,244.46761027761414,-48.251870761578296,1.7163185628161766,0.1426496939606137,76.01005290379639,97.98165408943842,0.31503335655056186,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_p0p10_width0p50,1.1,1.6,1.35,0.5,width0p50,30.0,140162,1.3537621085732647,0.0009573452177939418,176.15508495653773,-65.95984358057885,1.814775610829037,0.14269376942710588,43.631170634437396,132.16558542660496,0.3139183281053571,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
shift_p0p10_width0p50,1.1,1.6,1.35,0.5,width0p50,35.0,121814,1.3538375550362216,0.0010136083977134675,140.0240933449661,-61.17683346964758,1.7924620970035416,0.14281587110560143,34.582391299840445,146.42382318118194,0.3323673087300558,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p05_w0p20,0.95,1.15,1.05,0.2,width0p20,10.0,73490,1.0494983223701795,0.0007127488785441091,67.31272089009708,9.57770657014795,1.7690275092268803,0.058533733642096394,83.81042567173236,120.31165947742265,0.2337139541231757,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p05_w0p20,0.95,1.15,1.05,0.2,width0p20,15.0,69960,1.0494612113083637,0.0007009265982122427,78.56247532150006,11.77812941265452,1.6735694489015336,0.05855401544495843,75.35753668299074,119.77356848078342,0.22983736874186014,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p05_w0p20,0.95,1.15,1.05,0.2,width0p20,20.0,64728,1.0494989076957866,0.0007807597888834992,109.93225522389548,8.804852030657518,1.7080201189526811,0.05858292119622985,49.444592418676436,118.53169943761463,0.25601507483683245,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p05_w0p20,0.95,1.15,1.05,0.2,width0p20,25.0,58500,1.0495777255260117,0.0008470853977827181,98.41486336595304,5.4477782437691324,1.6813285511100065,0.05861277961914454,55.64645687716324,124.83364772440467,0.2777635767034747,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p05_w0p20,0.95,1.15,1.05,0.2,width0p20,30.0,51805,1.0496540526226341,0.0006919706927197535,96.01585174359406,18.54813237423844,1.3392591843771842,0.05861448323234624,65.89294764329391,112.34242073572686,0.22690068213538156,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p05_w0p20,0.95,1.15,1.05,0.2,width0p20,35.0,45023,1.0496765775029016,0.0007402433788746359,92.21624929246754,11.155030935729151,1.2011270363876063,0.05851452362520749,63.987268468605826,120.14894935796526,0.24272953953106027,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p10_w0p20,1.0,1.2,1.1,0.2,width0p20,10.0,73827,1.101606966689667,0.0006991719431853641,24.04478241525733,52.425110916013836,2.0140847957998766,0.05772339650862169,129.77670460046187,67.15994431239191,0.2292620085037752,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p10_w0p20,1.0,1.2,1.1,0.2,width0p20,15.0,70307,1.1016866268293621,0.0006865064385596676,52.102252057091626,50.330544487813164,1.9620235089277287,0.05773534468175622,112.26559841659966,77.67135654605877,0.22510892562122709,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p10_w0p20,1.0,1.2,1.1,0.2,width0p20,20.0,65049,1.101776993219664,0.0008508843141092469,68.9809531058735,48.13177011459921,2.3681200420387767,0.05772459764919551,101.23903290055306,82.7367880961086,0.2790092605379687,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p10_w0p20,1.0,1.2,1.1,0.2,width0p20,25.0,58834,1.1018629851280324,0.0008660369132938717,104.12390274495779,45.48892565184143,2.3095996410962787,0.05770405513400449,81.39907596721692,84.62346121340231,0.2839778742773772,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p10_w0p20,1.0,1.2,1.1,0.2,width0p20,30.0,52123,1.1018753024752346,0.0011539334099859512,111.51075089515123,34.57079705766747,2.664244433494222,0.05767544492797412,69.20273535916131,93.61303966830667,0.37838058839676764,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
