tag,family,z_lo,z_hi,z_center,width,n_bcuts,N_min,N_max,amp_min,amp_max,amp_mean,amp_cv,snr_max,sep_ref_mean_deg,sep_ref_max_deg,max_pair_direction_sep_deg,mean_resultant_length,passes_30deg_ref_gate,passes_45deg_pair_gate
shift_m0p10_width0p50,width0p50,0.9,1.4,1.15,0.4999999999999999,6,115280,188091,0.0016880513903747506,0.0036822195832047896,0.002311503668886107,0.31302212607648977,3.6886748623451293,13.98649972877631,17.331293676794147,12.434084206738193,0.9969648411880767,True,True
shift_m0p05_width0p50,width0p50,0.95,1.45,1.2,0.5,6,118193,192357,0.0024625544308247162,0.00406481446557537,0.003020169000683141,0.18534817757344857,4.785199523533652,8.476091742643966,11.995881218471686,13.47234103753834,0.9961011647643815,True,True
baseline_width0p50,width0p50,1.0,1.5,1.25,0.5,6,119719,194552,0.0018457931985303908,0.003049663342602405,0.0023450100816034707,0.15896156304664966,3.7059359584726645,10.006062417140742,17.94157996307803,17.94157996307803,0.9936988549401308,True,True
shift_p0p05_width0p50,width0p50,1.05,1.55,1.3,0.5,6,121168,196345,0.0011806588428354048,0.0015567124190703158,0.0013951430644128385,0.08833593902835749,2.7582385301854564,44.596091825790126,61.335295105000945,34.811311103167405,0.9659374039773992,False,True
shift_p0p10_width0p50,width0p50,1.1,1.6,1.35,0.5,6,121814,197142,0.0008023862351959909,0.0012731971180921045,0.0010442209313954894,0.16218306665283105,2.1156977623501505,50.02249659295885,76.01005290379639,54.9997933975349,0.902447506646653,False,False
slide_c1p05_w0p20,width0p20,0.95,1.15,1.05,0.2,6,45023,73490,0.0006919706927197535,0.0008470853977827181,0.0007456224558361598,0.07246243599661985,1.7690275092268803,65.68987129374375,83.81042567173236,42.05292575416501,0.9695440434347439,False,True
slide_c1p10_w0p20,width0p20,1.0,1.2,1.1,0.2,6,45317,73827,0.0006865064385596676,0.0018370695271504576,0.0010156004243807599,0.39218604905909893,3.2670892800689804,90.22275458136187,129.77670460046187,85.27050498588541,0.8781227317837993,False,False
slide_c1p15_w0p20,width0p20,1.05,1.25,1.1500000000000001,0.2,6,46338,75369,0.0005112887922907645,0.0011604118286976598,0.0007311128878252091,0.3270759346597551,1.918782514707092,47.685141522828225,63.900231314287645,45.05435517531102,0.9724969982013771,False,False
slide_c1p20_w0p20,width0p20,1.1,1.3,1.2000000000000002,0.2,6,46474,75597,0.000775010268203948,0.0011264328752782144,0.0008645283604120797,0.1404524477484777,2.08050297369706,35.95920922367831,39.080171573855274,18.28189097404948,0.9932417027317791,False,True
slide_c1p25_w0p20,width0p20,1.15,1.35,1.2500000000000002,0.2,6,46793,76060,0.0012213997577016163,0.001371623220066504,0.0012771712608198578,0.03592568954249227,3.296936450655681,20.092742322802646,30.781319710735985,18.513666793301493,0.9917239032648633,False,True
slide_c1p30_w0p20,width0p20,1.2,1.4,1.3000000000000003,0.2,6,47860,77892,0.0009107122914605597,0.0010892715943161331,0.000982194456433491,0.056483246334504036,3.087250448286757,63.69223994024089,69.94846090637712,17.52292298634725,0.9934397130834364,False,True
slide_c1p35_w0p20,width0p20,1.25,1.45,1.3500000000000003,0.2,6,49374,80164,0.0002724149336442967,0.0006170146249092524,0.0004945627210997693,0.22376026775199764,1.4998140929892174,51.51805734973328,93.50570498914024,74.88822974803162,0.8823946573208575,False,False
slide_c1p40_w0p20,width0p20,1.3,1.5,1.4000000000000004,0.2,6,51325,83057,0.0003141737227508095,0.001320025026694111,0.0006921462093683688,0.5331449754458252,2.2717591052306187,160.8352549928002,173.9340390812153,47.168791648025184,0.9401389630635317,False,False
slide_c1p45_w0p20,width0p20,1.35,1.55,1.4500000000000004,0.2,6,51833,83619,0.000944258770838908,0.001352906962954864,0.0011720040806933306,0.12576430025859928,3.469106542447235,153.8744610435442,163.47123391123725,20.299524014245232,0.9918253127407165,False,True
slide_c1p50_w0p20,width0p20,1.4,1.6,1.5000000000000004,0.2,6,50557,81321,0.0004880293807718951,0.0007042108744167157,0.0005833140588840359,0.11350533043516753,1.9683229870966306,137.80279364978503,161.21117556546608,90.86530743513394,0.8262936776756086,False,False
slide_c1p55_w0p20,width0p20,1.45,1.65,1.5500000000000005,0.2,6,48771,78262,0.00015372456699034323,0.0005267818937035458,0.0003065884238918027,0.4040582901565657,1.01151323723539,43.77568909056813,61.848089863835405,103.87146371068683,0.7312651011270233,False,False
slide_c1p05_w0p30,width0p30,0.9,1.2,1.05,0.3,6,67420,110199,0.001061652332866143,0.0013293962044667647,0.0011417141868559956,0.07725998544861273,2.706860782830136,108.09652998371075,124.04830071620027,51.19377057489968,0.954064007098716,False,False
slide_c1p10_w0p30,width0p30,0.95,1.25,1.1,0.3,6,68819,112193,0.0007121150530406088,0.0022350948357641918,0.00127725467511305,0.4013991294267695,2.9415959488308716,54.041710049106676,70.99166101939872,41.57501633407491,0.9649263352232827,False,True
slide_c1p15_w0p30,width0p30,1.0,1.3,1.1500000000000001,0.3,6,68394,111495,0.0007202151711444313,0.002638710174254272,0.0014348845512926782,0.42823240059736045,3.375902710575213,32.498066985740934,36.13631660307746,12.323100875654303,0.9972142923662674,False,True
slide_c1p20_w0p30,width0p30,1.05,1.35,1.2000000000000002,0.3,6,69335,112726,0.0011975953631009272,0.00232109461594511,0.0015896469044310378,0.2375780360952361,3.4120862041450843,14.802141220216773,20.8483994364512,25.674435999363194,0.9899672869936361,True,True
slide_c1p25_w0p30,width0p30,1.1,1.4,1.2500000000000002,0.3,6,71257,115821,0.0014692382659058645,0.0018777636863842606,0.0016631588414650008,0.08789917626721835,3.92753451323805,29.550249564966578,36.89855739227779,16.00161986275388,0.9932390172814825,False,True
slide_c1p30_w0p30,width0p30,1.15,1.45,1.3000000000000003,0.3,6,73170,118867,0.0013842384901768343,0.0017605031081642734,0.001599049583130438,0.07903335251035311,3.9325635544466677,27.062202750609003,54.747966009804706,43.488285377437144,0.966322579489371,False,True
slide_c1p35_w0p30,width0p30,1.2,1.5,1.3500000000000003,0.3,6,74402,120725,0.0006449103250862153,0.001319160817302431,0.0008997241967835262,0.2520207580822294,2.5079023574229335,89.82103177194529,110.5821830762024,52.028961768270875,0.919236482808299,False,False
slide_c1p40_w0p30,width0p30,1.25,1.55,1.4000000000000004,0.3,6,74830,120976,0.0005729236794203708,0.0014141916427386906,0.0009853535994389891,0.3275747896608433,2.5189620499373655,167.32967509133786,175.5486602833577,37.29790327615437,0.9734092648077134,False,True
slide_c1p45_w0p30,width0p30,1.3,1.6,1.4500000000000004,0.3,6,75340,121545,0.0008919861019025421,0.0013790662816982005,0.0011124471119505063,0.15058697561292964,2.99892256716242,154.30953001619886,164.08065982118524,32.65676154826076,0.979314910466612,False,True
slide_c1p50_w0p30,width0p30,1.35,1.65,1.5000000000000004,0.3,6,75148,121069,0.0008429379231607538,0.000969659698601084,0.0009050271585745593,0.05887577368001627,2.172345035401109,150.15874131194127,163.08583211097255,37.92505222109209,0.9753607861308723,False,True
slide_c1p55_w0p30,width0p30,1.4,1.7,1.5500000000000005,0.3,6,73436,117930,0.0003921482166852479,0.001216544881706613,0.000846723893834106,0.3102644147617091,2.678273728968185,156.18978706368333,165.2343569799249,43.918479745738445,0.94699310214844,False,True
