mock_id,max_snr,max_snr_window_index,max_snr_tag,max_snr_bcut_deg,max_snr_amp,max_snr_l_deg,max_snr_b_deg,max_snr_sep_cmb_deg,max_priority,max_priority_window_index,max_priority_tag,max_priority_bcut_deg,max_priority_snr,max_priority_amp,max_priority_l_deg,max_priority_b_deg,max_priority_sep_cmb_deg,max_abs_par,max_abs_par_window_index,max_abs_par_tag,max_abs_par_bcut_deg,max_abs_par_snr,max_z1p00_snr,max_z1p00_snr_bcut_deg,max_z1p00_priority,max_z1p00_priority_bcut_deg
0,3.556642486817651,146,z0p50_0p75,35.0,0.002784876005994893,61.44168012833245,-44.7090164318574,164.11558551014613,0.028314797736369714,104,z1p60_1p70,25.0,3.025150244418064,0.0013766819355405795,339.91870450776116,43.66318960218006,50.76681707579306,0.002963096441856828,57,z0p10_0p30,20.0,3.0321816176003322,2.4549550989739832,20.0,0.02356827990267378,20.0
1,3.49758971581531,74,z1p50_2p50,20.0,0.003743222338947248,211.5597991723204,35.398545721808865,40.28101971066452,0.03098058848736161,74,z1p50_2p50,20.0,3.49758971581531,0.003743222338947248,211.5597991723204,35.398545721808865,40.28101971066452,0.0028556389992292572,74,z1p50_2p50,20.0,3.49758971581531,2.6821343246599785,10.0,0.025749266260134233,10.0
2,3.810437485107712,123,z0p90_1p00,30.0,0.0015657806643179211,5.434392896988261,-0.2807505010960749,97.782647801996,0.0348600905378268,123,z0p90_1p00,30.0,3.810437485107712,0.0015657806643179211,5.434392896988261,-0.2807505010960749,97.782647801996,0.0027568856725083742,90,z0p50_0p75,25.0,3.0634139499922632,2.9088040544494573,35.0,0.02792536130943863,35.0
3,3.246270780993162,27,z2p30_2p40,10.0,0.001491649999775646,332.9521934546254,58.901637708280276,40.315056293153404,0.030579617277965272,69,z1p00_1p50,20.0,3.1852807108208614,0.0030366262271396822,56.50303924851265,-21.249034249629783,145.16165103063707,0.004643546589930325,158,z1p50_2p50,35.0,1.847544407662433,3.1852807108208614,20.0,0.030579617277965272,20.0
4,3.3921676872948545,116,z0p40_0p50,30.0,0.002828846333278764,270.7674336469525,33.17209903374336,15.90856862054211,0.030163791526222238,75,z1p50_1p60,20.0,3.185387502766103,0.0010295998501173,301.2598421989276,13.499624780943664,46.400603896844956,0.0033145937675690676,74,z1p50_2p50,20.0,2.688814267376568,2.650355287757892,35.0,0.02544417830269713,35.0
5,3.590213072454515,152,z1p00_1p10,35.0,0.0020633062875927534,35.63845520859098,2.0454337131913776,114.53888789835587,0.033732454825949644,152,z1p00_1p10,35.0,3.590213072454515,0.0020633062875927534,35.63845520859098,2.0454337131913776,114.53888789835587,0.003609786240866327,158,z1p50_2p50,35.0,1.7764344813762736,1.4016396795277046,15.0,0.013456146836905145,15.0
6,3.6943037959384983,76,z1p60_1p70,20.0,0.0016219584584307402,142.0502077715686,-35.26613263020663,135.9413861262129,0.03457794036898276,76,z1p60_1p70,20.0,3.6943037959384983,0.0016219584584307402,142.0502077715686,-35.26613263020663,135.9413861262129,0.00330896602122819,113,z0p10_0p30,30.0,2.0254009518214158,3.0313891370522064,15.0,0.02910221360294145,15.0
7,3.675097393183712,160,z1p60_1p70,35.0,0.0018068071778092147,5.939010119089343,34.82631308564949,71.74716699714828,0.03439817230283514,160,z1p60_1p70,35.0,3.675097393183712,0.0018068071778092147,5.939010119089343,34.82631308564949,71.74716699714828,0.0024692961756690246,97,z1p00_1p50,25.0,2.3579473803471482,2.3579473803471482,25.0,0.022636977710518577,25.0
8,3.4340076356318185,55,z2p30_2p40,15.0,0.001889271766724591,270.10372656191566,45.93730764785842,4.742505447577961,0.028472311087335056,55,z2p30_2p40,15.0,3.4340076356318185,0.001889271766724591,270.10372656191566,45.93730764785842,4.742505447577961,0.0027293518139892203,141,z0p10_0p30,35.0,1.9445700060126705,2.4904380074835575,20.0,0.023908926100180253,20.0
9,3.5679436222041057,29,z0p10_0p30,15.0,0.0024202322582566396,255.083311161135,-20.820744338434498,69.53658129717583,0.02741397861571363,82,z2p20_2p30,20.0,3.2427597795653234,0.0008375145857323733,146.05309706814654,57.979132834544785,62.159842370014054,0.003403899055621581,85,z0p10_0p30,25.0,3.1210331604633907,2.0182080501088038,20.0,0.019375381752062684,20.0
10,3.7120374172021235,163,z1p90_2p00,35.0,0.002640156280002319,147.27295936192084,-39.513427765271544,134.90224901148625,0.033171299764958535,163,z1p90_2p00,35.0,3.7120374172021235,0.002640156280002319,147.27295936192084,-39.513427765271544,134.90224901148625,0.0029909011841091192,146,z0p50_0p75,35.0,3.391929266004085,3.438398927071531,35.0,0.03300962545675214,35.0
11,3.7877464037402784,164,z2p00_2p10,35.0,0.0035463932349277345,119.9037032307531,-31.413990486630883,148.1334472270544,0.03324925175601156,164,z2p00_2p10,35.0,3.7877464037402784,0.0035463932349277345,119.9037032307531,-31.413990486630883,148.1334472270544,0.0036519193998347096,130,z1p50_2p50,30.0,2.0363183490936265,2.0899824620334515,15.0,0.020064436892336692,15.0
12,3.4163912746551426,66,z0p80_0p90,20.0,0.0012056824967783717,334.0408233354025,11.595191797427587,68.10953716694935,0.029954021862690132,66,z0p80_0p90,20.0,3.4163912746551426,0.0012056824967783717,334.0408233354025,11.595191797427587,68.10953716694935,0.004197777874141053,130,z1p50_2p50,30.0,2.48592746650154,1.5399563193369818,25.0,0.014784026635433753,25.0
13,3.36550042377017,5,z0p50_0p60,10.0,0.001207259353971662,209.63856361037313,31.20478862380323,44.09265111575055,0.029451038746800943,135,z1p90_2p00,30.0,3.2957212583837774,0.002099376787077859,158.94930454006493,-34.082860204672464,124.15965292790808,0.004293981244840349,158,z1p50_2p50,35.0,2.6631038317219087,2.8715182695123924,20.0,0.02756740697611705,20.0
14,3.0095024867710554,98,z1p10_1p20,25.0,0.0012619551178507458,215.16019956311663,-11.716640234136142,73.89406825053644,0.028705817454474834,98,z1p10_1p20,25.0,3.0095024867710554,0.0012619551178507458,215.16019956311663,-11.716640234136142,73.89406825053644,0.0030759896650727793,158,z1p50_2p50,35.0,2.391093673138737,2.3949853135117687,15.0,0.022992552595047063,15.0
15,4.448923525129654,145,z0p50_0p60,35.0,0.003221934605020561,354.81581948597716,32.169935245826395,67.08126510313735,0.031505415308113904,44,z1p30_1p40,15.0,3.2817867946854515,0.0007180446908132959,128.08319404526802,5.191541492872188,114.14149063533678,0.0029682161431661236,18,z1p50_2p50,10.0,2.480560826334978,2.1028560389644193,10.0,0.020188026959048894,10.0
16,3.86705106065811,34,z0p50_0p75,15.0,0.0031226148393040465,283.41916024751214,31.409780033002434,22.355408505859014,0.03268073163948476,16,z1p30_1p40,10.0,3.4042145607742125,0.0011835300022709125,217.55532344209766,9.79108624813623,54.63223413871919,0.0035303664282125263,153,z1p00_1p50,35.0,2.7765171874333814,2.7765171874333814,35.0,0.02665536907594088,35.0
17,3.497807380805554,39,z0p90_1p00,15.0,0.0012965791458720165,254.23752307321564,10.068357338417103,39.05983211548355,0.03199996915191843,39,z0p90_1p00,15.0,3.497807380805554,0.0012965791458720165,254.23752307321564,10.068357338417103,39.05983211548355,0.005227519308463973,141,z0p10_0p30,35.0,2.7287600564978587,1.7322824713703013,10.0,0.0166304133924135,10.0
18,3.7006906975472433,149,z0p75_1p00,35.0,0.0037361366517035988,162.41264068693494,-17.139126543630812,110.3589041907222,0.03306774206852563,20,z1p60_1p70,10.0,3.5329543559642405,0.000976366606292338,259.5050821610186,76.84333854004741,28.646620997314347,0.003411698740492598,158,z1p50_2p50,35.0,2.1073878974729876,2.961867473673625,30.0,0.028434785501103392,30.0
19,3.4863774203149096,121,z0p75_1p00,30.0,0.0019762112403430166,134.20839512986072,-0.914136341339491,115.98741667294789,0.03094977629261486,121,z0p75_1p00,30.0,3.4863774203149096,0.0019762112403430166,134.20839512986072,-0.914136341339491,115.98741667294789,0.0035894262807183537,146,z0p50_0p75,35.0,3.211107714605625,1.946524548610962,30.0,0.018687199378213584,30.0
