control_group,b_cut_deg,N,n_templates,template_names,amp,l_deg,b_deg,formal_snr,rms_resid
baseline_no_template,15.0,183527,0,,0.0025486913348822748,138.990621778655,-36.60410263510536,4.235313002897956,0.14615255334493482
baseline_no_template,20.0,169941,0,,0.0026031162285140705,139.59239537836882,-37.760148733138635,4.2047608861833385,0.14617147839162764
baseline_no_template,25.0,153651,0,,0.0031974930004776666,145.52360713987235,-33.94563056339685,4.7681884146799955,0.14615627855544722
baseline_no_template,30.0,136052,0,,0.003244344543832828,139.38458928677687,-32.43057730587111,4.485617991249961,0.14614884315333537
baseline_no_template,35.0,118193,0,,0.004064814465565032,145.84992410320453,-25.377758637536193,4.785199523524725,0.14606046057021163
sfd_dust_external,15.0,183527,3,ebv_sfd;sfd_log1p;sfd_sq,0.00258595939845477,141.47125204458678,-34.947976148255975,4.247246427504142,0.1461530885347545
sfd_dust_external,20.0,169941,3,ebv_sfd;sfd_log1p;sfd_sq,0.002635439488784668,142.8812523628782,-35.351112596639865,4.176794781029994,0.1461715434446602
sfd_dust_external,25.0,153651,3,ebv_sfd;sfd_log1p;sfd_sq,0.0032107624781408956,148.10647525444185,-31.226223789115455,4.666007354810591,0.1461538810900999
sfd_dust_external,30.0,136052,3,ebv_sfd;sfd_log1p;sfd_sq,0.0032600071194568577,143.28780365166674,-29.214571568064123,4.346815216929712,0.14614515996447378
sfd_dust_external,35.0,118193,3,ebv_sfd;sfd_log1p;sfd_sq,0.004067078254638735,148.66900557843246,-23.605178042591277,4.655267925829156,0.14605907790595102
quaia_selection_depth,15.0,183527,2,selection_T;random_density_log1p,0.002654583583117761,140.35420440312072,-33.15018316186401,4.316891306471648,0.14614647468217135
quaia_selection_depth,20.0,169941,2,selection_T;random_density_log1p,0.002728512696743353,142.7468022256883,-33.18769073916374,4.260243211310945,0.14616634733600134
quaia_selection_depth,25.0,153651,2,selection_T;random_density_log1p,0.0033753403956363706,149.5442334918003,-28.449697452749014,4.798975608978426,0.1461478259540359
quaia_selection_depth,30.0,136052,2,selection_T;random_density_log1p,0.003332317636651542,144.42711400367318,-27.46698237212562,4.373907418520934,0.14613881457477212
quaia_selection_depth,35.0,118193,2,selection_T;random_density_log1p,0.0041122892620599465,149.68093092175374,-22.442952815899424,4.670858664297515,0.14605206166124918
sfd_plus_selection_depth,15.0,183527,5,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p,0.0026170112017310228,140.92049051466026,-32.46732202444024,4.218640641317505,0.14614645140011842
sfd_plus_selection_depth,20.0,169941,5,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p,0.0026802110599685987,142.70026137441045,-32.90061121665509,4.165004605049038,0.1461665914861811
sfd_plus_selection_depth,25.0,153651,5,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p,0.003319641709900655,148.95626535471825,-28.669377251488516,4.714106314019681,0.1461487519138786
sfd_plus_selection_depth,30.0,136052,5,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p,0.003323081664281307,144.56391567558808,-27.17486828541446,4.338046433770953,0.14613995741026975
sfd_plus_selection_depth,35.0,118193,5,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p,0.004128308235777423,149.917812686627,-22.231373719201464,4.646870076682926,0.14605383210165632
gaia_scanlaw_external,15.0,183527,4,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3,0.0020607584905860685,153.70312698073255,-32.0006110723963,2.9799596396961445,0.1461492784914321
gaia_scanlaw_external,20.0,169941,4,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3,0.0020766787203176126,155.74531985366923,-34.71268531858906,2.892170213965408,0.14616798434764727
gaia_scanlaw_external,25.0,153651,4,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3,0.0025073113887480332,170.51933677592797,-27.351585102909006,3.3235767570844703,0.14615307493808097
