template,N,mean,std,corr_z
ebv_sfd,183527,0.05477517221742433,0.05379518930857737,0.0011919544297223574
selection_T,183527,0.6410138208697369,0.3725999534947699,-0.009486669369671366
random_density_log1p,183527,5.306967613257694,0.22890107203783056,0.00025123308612096497
gaia_scan_count_log1p_dr3,183527,3.830537575537661,0.3728240598158101,0.0074295893233963465
gaia_scan_angle_resultant_dr3,183527,0.3000561763386678,0.1754685826048169,0.00013433775649839967
zerr,183527,0.13938808954141393,0.12568328346292995,0.04065298111497095
g,183527,19.32127145551781,0.5816503669214536,0.0216553565899661
w1,183527,15.520429516376337,0.5706844106339174,0.3084564429654714
w2,183527,14.327134562898102,0.6194598375971205,0.1981291761740206
w1_w2,183527,1.1932949534782349,0.15305524691288636,0.3482286111648956
