direction_label,direction_l_deg,direction_b_deg,bcut_deg,N,matched_ess,propensity_min,propensity_p50,propensity_max
locked_b15,138.99062177880762,-36.60410263509791,10.0,192357,191833.533718656,0.2318281636494285,0.49622876173848396,0.7983653417159159
locked_b25,145.52360713981687,-33.94563056329014,10.0,192357,192051.473671212,0.2775031552719368,0.4988645088988816,0.7343328958129319
cmb,264.02099999999996,48.253,10.0,192357,190668.29908212405,0.08937243352597055,0.5171263303902388,0.869671410204524
anti_cmb,84.021,-48.253,10.0,192357,190668.29908212405,0.13032858979547488,0.48287366960976036,0.9106275664740312
random_01,219.49785880860085,1.7007604152715121,10.0,192357,191961.38842097129,0.23958850709399535,0.509538330792489,0.6514728615232018
random_02,33.440626226657216,-59.73950128462631,10.0,192357,190619.12136460753,0.12242050772140525,0.4828702362141316,0.9103672323907916
random_03,87.0534616070081,22.787788431335994,10.0,192357,191983.90804228233,0.33160483615395764,0.49081810798979886,0.6678977370926833
random_04,259.22474802482174,-41.58471205125706,10.0,192357,191732.25434897968,0.2078169125734008,0.5019488324533063,0.8067625878029436
random_05,333.2340503334086,-39.189165720885796,10.0,192357,191188.0894775304,0.1622116058303607,0.4917592077892849,0.8981164960851215
random_06,34.75310677013511,-11.440401491914745,10.0,192357,191745.1567482924,0.29688493366801255,0.48945737257311284,0.8085635697491015
locked_b15,138.99062177880762,-36.60410263509791,15.0,183527,182945.98382612562,0.20357264869541267,0.49723525681773967,0.7942171516322076
locked_b25,145.52360713981687,-33.94563056329014,15.0,183527,183160.70105868301,0.24447386639940846,0.4993409177245363,0.7349943762481365
cmb,264.02099999999996,48.253,15.0,183527,181998.69143207328,0.09302765384397718,0.5137496626634194,0.8687352083508185
anti_cmb,84.021,-48.253,15.0,183527,181998.69143207328,0.13126479164918092,0.4862503373365805,0.906972346156023
random_01,219.49785880860085,1.7007604152715121,15.0,183527,183195.6897077402,0.24525485066870303,0.507895956309123,0.6289280661524093
random_02,33.440626226657216,-59.73950128462631,15.0,183527,181919.49210780594,0.13324637867868294,0.4825723175351096,0.9112265636470833
random_03,87.0534616070081,22.787788431335994,15.0,183527,183204.0843756668,0.3095591923954887,0.4941776903049783,0.6730287171580793
random_04,259.22474802482174,-41.58471205125706,15.0,183527,182871.15445709138,0.19771876937996022,0.49846705296883664,0.8247595103579148
random_05,333.2340503334086,-39.189165720885796,15.0,183527,182456.32438899163,0.1803125032996446,0.4913264198460486,0.9025157800597546
random_06,34.75310677013511,-11.440401491914745,15.0,183527,182993.5498481572,0.3173925577224999,0.4907674673545927,0.8054721077251137
locked_b15,138.99062177880762,-36.60410263509791,25.0,153651,152966.3366937163,0.1694664007776383,0.4966094460877784,0.8221514601361759
locked_b25,145.52360713981687,-33.94563056329014,25.0,153651,153145.54149573986,0.1964614412163511,0.49815858048496364,0.7817178925023918
cmb,264.02099999999996,48.253,25.0,153651,152380.5239041756,0.08850111658572556,0.5103079885813331,0.8737139117783468
anti_cmb,84.021,-48.253,25.0,153651,152380.5239041756,0.12628608822165316,0.48969201141866686,0.9114988834142745
random_01,219.49785880860085,1.7007604152715121,25.0,153651,153483.58831063076,0.27106587348200023,0.5039602043970667,0.610636965693618
random_02,33.440626226657216,-59.73950128462631,25.0,153651,152289.2873699443,0.12805546608080964,0.48475065323059086,0.9159574142597448
random_03,87.0534616070081,22.787788431335994,25.0,153651,153381.90678882782,0.24780538528567608,0.499090302299861,0.7030818151968673
random_04,259.22474802482174,-41.58471205125706,25.0,153651,152858.51101407708,0.1628740000215614,0.4947142222737762,0.8727287854972172
random_05,333.2340503334086,-39.189165720885796,25.0,153651,152816.03733735223,0.1968986468687685,0.4923908186380983,0.9006958178493383
random_06,34.75310677013511,-11.440401491914745,25.0,153651,153311.9251850743,0.32695056294379493,0.4943621748192959,0.7893698339800024
locked_b15,138.99062177880762,-36.60410263509791,35.0,118193,117441.73427146158,0.14476284946814255,0.4957424354312303,0.8307701323706573
locked_b25,145.52360713981687,-33.94563056329014,35.0,118193,117594.11249095698,0.16300879948738167,0.49719796272157135,0.8040456247597126
cmb,264.02099999999996,48.253,35.0,118193,117138.32482820781,0.12514968205566485,0.5084354040396606,0.8828605784463978
anti_cmb,84.021,-48.253,35.0,118193,117138.32482820784,0.1171394215536023,0.4915645959603394,0.8748503179443354
random_01,219.49785880860085,1.7007604152715121,35.0,118193,118116.18772146388,0.35611430727440796,0.5027596437739814,0.6106396906271362
random_02,33.440626226657216,-59.73950128462631,35.0,118193,117115.1160160383,0.11620279949635776,0.4906631126189662,0.879973243500003
random_03,87.0534616070081,22.787788431335994,35.0,118193,117873.84398885853,0.2298887600282625,0.4987276570838334,0.7354270441933091
random_04,259.22474802482174,-41.58471205125706,35.0,118193,117282.92168354725,0.13432046614626228,0.49606789630766446,0.8806267900678183
random_05,333.2340503334086,-39.189165720885796,35.0,118193,117420.23819126892,0.16141467582880034,0.4945334385132736,0.863574909071845
random_06,34.75310677013511,-11.440401491914745,35.0,118193,117966.95691445642,0.31309259619363894,0.4948276430758475,0.7213739466324747
