mock_id,max_snr,max_snr_tag,max_snr_bcut_deg,max_snr_amp,max_priority,max_priority_tag,max_priority_bcut_deg,max_priority_snr,max_z1p00_snr,max_z1p00_snr_bcut_deg,max_z1p00_priority,max_z1p00_priority_bcut_deg
0,10.515142857844562,z1p00_1p50,10.0,0.005302211944724082,0.10094841661008648,z1p00_1p50,10.0,10.515142857844562,10.515142857844562,10.0,0.10094841661008648,10.0
1,10.82350390657586,z1p50_2p50,15.0,0.009667276089860889,0.09587131360912429,z1p50_2p50,15.0,10.82350390657586,9.211707626062095,10.0,0.08843506091144475,10.0
2,10.780675180857616,z1p50_2p50,15.0,0.009460513057086473,0.09549194975151822,z1p50_2p50,15.0,10.780675180857616,9.094164206943335,10.0,0.08730661004744888,10.0
3,10.318963812125705,z1p50_2p50,15.0,0.00915897712882848,0.09511864715523714,z1p00_1p50,10.0,9.907893524922244,9.907893524922244,10.0,0.09511864715523714,10.0
4,11.349248195207098,z1p50_2p50,15.0,0.010827679390339063,0.10052819699999628,z1p50_2p50,15.0,11.349248195207098,10.447118136630374,10.0,0.10029535958653954,10.0
5,9.698521465489998,z1p50_2p50,15.0,0.009009041951293562,0.08590656048065043,z1p50_2p50,15.0,9.698521465489998,8.643083976092344,10.0,0.08297610919889893,10.0
6,11.96312937396573,z1p50_2p50,15.0,0.01029951716623252,0.10596577022170972,z1p50_2p50,15.0,11.96312937396573,9.841379687100822,10.0,0.09448009504981107,10.0
7,10.976209007127212,z1p00_1p50,10.0,0.005656554579223577,0.10537478516749227,z1p00_1p50,10.0,10.976209007127212,10.976209007127212,10.0,0.10537478516749227,10.0
8,10.536515997869554,z1p00_1p50,10.0,0.0053325345650129625,0.10115360494396622,z1p00_1p50,10.0,10.536515997869554,10.536515997869554,10.0,0.10115360494396622,10.0
9,10.764089090077034,z1p50_2p50,15.0,0.009998313768247488,0.0953450351918248,z1p50_2p50,15.0,10.764089090077034,7.255329178965263,10.0,0.06965326125408773,10.0
10,9.139685426755362,z1p50_2p50,15.0,0.007931089152562569,0.08729786946830202,z1p00_1p50,10.0,9.093253757414002,9.093253757414002,10.0,0.08729786946830202,10.0
11,10.00558515157404,z1p50_2p50,15.0,0.009224927561150818,0.08862643744476843,z1p50_2p50,15.0,10.00558515157404,8.332897893289742,10.0,0.07999823297441686,10.0
12,9.524431508689084,z1p00_1p50,10.0,0.004685345879116632,0.09143730074918521,z1p00_1p50,10.0,9.524431508689084,9.524431508689084,10.0,0.09143730074918521,10.0
13,9.949592753565286,z1p00_1p50,10.0,0.005094604024816537,0.09551897182626495,z1p00_1p50,10.0,9.949592753565286,9.949592753565286,10.0,0.09551897182626495,10.0
14,10.23503696900976,z1p50_2p50,15.0,0.009292759377607693,0.09359237019657782,z1p00_1p50,10.0,9.748911137680562,9.748911137680562,10.0,0.09359237019657782,10.0
15,9.839596235113069,z1p50_2p50,15.0,0.008914389095821504,0.08715615798600644,z1p50_2p50,15.0,9.839596235113069,7.9936318670035815,10.0,0.07674118087097029,10.0
16,10.865021553871824,z1p50_2p50,15.0,0.010166530388993882,0.09919420145347646,z1p00_1p50,10.0,10.332417624556381,10.332417624556381,10.0,0.09919420145347646,10.0
17,11.07886598197454,z1p50_2p50,15.0,0.010048198549740303,0.09813323339274903,z1p50_2p50,15.0,11.07886598197454,9.43445024662154,10.0,0.09057345457485393,10.0
18,10.099030205842825,z1p50_2p50,15.0,0.008829312065937603,0.09079847712317908,z1p00_1p50,10.0,9.457889388327093,9.457889388327093,10.0,0.09079847712317908,10.0
19,11.459710987588487,z1p50_2p50,15.0,0.010126387776686207,0.10150664289902735,z1p50_2p50,15.0,11.459710987588487,10.182197946109039,10.0,0.09775204903691442,10.0
20,10.422065487186906,z1p50_2p50,10.0,0.009185725450420092,0.09231549389194314,z1p50_2p50,10.0,10.422065487186906,9.476851691642358,10.0,0.09098052072646955,10.0
21,9.867609523456949,z1p50_2p50,10.0,0.008512772057362275,0.08740429119455154,z1p50_2p50,10.0,9.867609523456949,9.081199183653208,10.0,0.08718214206920598,10.0
22,11.122596105330201,z1p50_2p50,15.0,0.009947442652866638,0.09852058155713128,z1p50_2p50,15.0,11.122596105330201,9.38163277817759,10.0,0.09006639158190637,10.0
23,10.344829109948368,z1p50_2p50,15.0,0.00900765651498232,0.09163135749691032,z1p50_2p50,15.0,10.344829109948368,8.376323872727642,10.0,0.0804151349531406,10.0
24,10.23803509045622,z1p50_2p50,10.0,0.008856124061688998,0.09068540847497758,z1p50_2p50,10.0,10.23803509045622,8.837853737302371,15.0,0.08484595531164184,15.0
25,11.799199589277576,z1p00_1p50,10.0,0.006267308539824372,0.11327573309337927,z1p00_1p50,10.0,11.799199589277576,11.799199589277576,10.0,0.11327573309337927,10.0
26,9.092658457150618,z1p50_2p50,10.0,0.008024956381103397,0.08683932263502284,z1p00_1p50,15.0,9.045489903152012,9.045489903152012,15.0,0.08683932263502284,15.0
27,9.966893669996018,z1p00_1p50,10.0,0.005403730271473497,0.09568506563432796,z1p00_1p50,10.0,9.966893669996018,9.966893669996018,10.0,0.09568506563432796,10.0
28,10.726957908541127,z1p50_2p50,15.0,0.009270834456903769,0.09501613845187505,z1p50_2p50,15.0,10.726957908541127,8.844270136553465,10.0,0.08490755460263509,10.0
29,9.586060167344813,z1p50_2p50,10.0,0.00832502147068833,0.08491041242393695,z1p50_2p50,10.0,9.586060167344813,8.764878377084072,10.0,0.08414537071995536,10.0
30,9.803599782010004,z1p50_2p50,15.0,0.008678728905886375,0.08683731232622308,z1p50_2p50,15.0,9.803599782010004,8.84127189202055,10.0,0.08487877058683052,10.0
31,11.128959182759285,z1p00_1p50,10.0,0.0058351747189796495,0.10684123108985714,z1p00_1p50,10.0,11.128959182759285,11.128959182759285,10.0,0.10684123108985714,10.0
32,10.157561618372013,z1p50_2p50,10.0,0.00854853307806408,0.08997259887597953,z1p50_2p50,10.0,10.157561618372013,8.244173606758501,10.0,0.07914645412925295,10.0
33,10.094378073592724,z1p50_2p50,10.0,0.00874861564395144,0.09248726656463174,z1p00_1p50,10.0,9.633799648537355,9.633799648537355,10.0,0.09248726656463174,10.0
34,10.061369002706854,z1p50_2p50,15.0,0.008315285104806612,0.09478844676069573,z1p00_1p50,10.0,9.873498688064815,9.873498688064815,10.0,0.09478844676069573,10.0
35,9.943660723602008,z1p50_2p50,15.0,0.008464192720570089,0.08807792965048884,z1p50_2p50,15.0,9.943660723602008,8.906662016606292,10.0,0.08550653471976784,10.0
36,11.172056752840092,z1p50_2p50,15.0,0.009783032659033335,0.0989586889657543,z1p50_2p50,15.0,11.172056752840092,7.985369376315637,10.0,0.07666185856755703,10.0
37,10.158768149270983,z1p50_2p50,15.0,0.009305278409088614,0.08998328596060505,z1p50_2p50,15.0,10.158768149270983,8.72946910780255,10.0,0.08380543148036404,10.0
38,9.708726458844554,z1p50_2p50,15.0,0.008588758492685223,0.08842774497414377,z1p00_1p50,10.0,9.210945572248454,9.210945572248454,10.0,0.08842774497414377,10.0
39,10.419193474921085,z1p50_2p50,15.0,0.009562358637956268,0.0974322057503501,z1p00_1p50,10.0,10.148881942121212,10.148881942121212,10.0,0.0974322057503501,10.0
40,10.457069976819287,z1p00_1p50,10.0,0.0054864961507845745,0.100390900134396,z1p00_1p50,10.0,10.457069976819287,10.457069976819287,10.0,0.100390900134396,10.0
41,10.020342234998099,z1p50_2p50,15.0,0.008790690479035987,0.09354948914931063,z1p00_1p50,10.0,9.744444496666766,9.744444496666766,10.0,0.09354948914931063,10.0
42,10.343722571011096,z1p50_2p50,15.0,0.008732072212469435,0.09162155611074262,z1p50_2p50,15.0,10.343722571011096,9.104953820451692,10.0,0.08741019346179033,10.0
43,10.511522858644174,z1p50_2p50,15.0,0.009619962879194404,0.09310788014575297,z1p50_2p50,15.0,10.511522858644174,8.587384148628441,10.0,0.08244137472463155,10.0
44,10.407629232099877,z1p50_2p50,10.0,0.008809908791141472,0.0946499454610662,z1p00_1p50,10.0,9.859071904559862,9.859071904559862,10.0,0.0946499454610662,10.0
45,10.147255779891848,z1p00_1p50,10.0,0.005172350297916168,0.09741659412201326,z1p00_1p50,10.0,10.147255779891848,10.147255779891848,10.0,0.09741659412201326,10.0
46,9.673762600299662,z1p50_2p50,20.0,0.008731137835004475,0.08568725396496407,z1p50_2p50,20.0,9.673762600299662,8.915556919003254,10.0,0.08559192835873346,10.0
47,10.320892559784344,z1p00_1p50,10.0,0.0051836625714860056,0.09908355749401775,z1p00_1p50,10.0,10.320892559784344,10.320892559784344,10.0,0.09908355749401775,10.0
48,10.44729165633218,z1p50_2p50,15.0,0.009393327366730703,0.09253893964427608,z1p50_2p50,15.0,10.44729165633218,9.046613400302524,10.0,0.0868501085330314,10.0
49,11.63030747216934,z1p00_1p50,10.0,0.005989120762175131,0.11165431985815323,z1p00_1p50,10.0,11.63030747216934,11.63030747216934,10.0,0.11165431985815323,10.0
50,9.866100583921506,z1p50_2p50,15.0,0.008835526448553215,0.08872591024414449,z1p00_1p50,10.0,9.242003517628769,9.242003517628769,10.0,0.08872591024414449,10.0
51,10.598225912840572,z1p50_2p50,15.0,0.009778011243995776,0.09387586949296257,z1p50_2p50,15.0,10.598225912840572,9.272413445429038,10.0,0.08901785435771153,10.0
52,10.28325709567737,z1p50_2p50,15.0,0.009400890265965032,0.0910859712762675,z1p50_2p50,15.0,10.28325709567737,9.143056287102423,15.0,0.0877759881760733,15.0
53,10.47752563273121,z1p50_2p50,20.0,0.009614036811100072,0.09808586126855286,z1p00_1p50,10.0,10.216969004648092,10.216969004648092,10.0,0.09808586126855286,10.0
54,11.551100952339517,z1p50_2p50,15.0,0.010441808735230226,0.10231614747785875,z1p50_2p50,15.0,11.551100952339517,9.98484593957708,10.0,0.09585741262126533,10.0
55,10.1477408477287,z1p50_2p50,10.0,0.00897412175982426,0.09501449219676136,z1p00_1p50,10.0,9.897044377362496,9.897044377362496,10.0,0.09501449219676136,10.0
56,9.68206783887836,z1p00_1p50,10.0,0.005165276994751696,0.09295065517032469,z1p00_1p50,10.0,9.68206783887836,9.68206783887836,10.0,0.09295065517032469,10.0
57,10.574983858218117,z1p50_2p50,10.0,0.009228530817207864,0.09366999842506597,z1p50_2p50,10.0,10.574983858218117,8.23072109392025,10.0,0.07901730611017158,10.0
58,10.439438067592464,z1p50_2p50,10.0,0.009193372184887558,0.09246937493810316,z1p50_2p50,10.0,10.439438067592464,9.538542870987268,10.0,0.09157277391388408,10.0
59,9.934366758902499,z1p50_2p50,15.0,0.008618254565324232,0.08799560653109334,z1p50_2p50,15.0,9.934366758902499,8.44863435889277,15.0,0.08110933656136977,15.0
60,9.901451146190519,z1p00_1p50,10.0,0.004879274375524141,0.0950567984537062,z1p00_1p50,10.0,9.901451146190519,9.901451146190519,10.0,0.0950567984537062,10.0
61,10.533238893594751,z1p50_2p50,15.0,0.009305311311876788,0.09330023419441077,z1p50_2p50,15.0,10.533238893594751,9.159139675785921,10.0,0.08793039336516803,10.0
62,9.935998816925668,z1p50_2p50,20.0,0.008922516956502353,0.08801006280587442,z1p50_2p50,20.0,9.935998816925668,7.069264646476901,10.0,0.06786698785809829,10.0
63,9.917265967530932,z1p50_2p50,15.0,0.008962932099402013,0.09280633288005574,z1p00_1p50,10.0,9.66703472047284,9.66703472047284,10.0,0.09280633288005574,10.0
64,9.45138173716984,z1p00_1p50,10.0,0.004795850491068255,0.09073600178746022,z1p00_1p50,10.0,9.45138173716984,9.45138173716984,10.0,0.09073600178746022,10.0
65,12.162211452897926,z1p50_2p50,15.0,0.01066132056991229,0.10772917887273531,z1p50_2p50,15.0,12.162211452897926,9.376485934902151,10.0,0.09001698039594153,10.0
66,9.712398120776822,z1p50_2p50,15.0,0.008874043095166827,0.08602947568281896,z1p50_2p50,15.0,9.712398120776822,8.354608227886782,10.0,0.08020665847383947,10.0
67,9.582108152997057,z1p00_1p50,10.0,0.005041581047577506,0.09199101323763983,z1p00_1p50,10.0,9.582108152997057,9.582108152997057,10.0,0.09199101323763983,10.0
68,11.390757445496275,z1p50_2p50,15.0,0.01024256068026546,0.10089587334459811,z1p50_2p50,15.0,11.390757445496275,8.609162516496319,10.0,0.08265045336315657,10.0
69,9.637391974112939,z1p50_2p50,10.0,0.008680487996714456,0.09186903079992458,z1p00_1p50,10.0,9.569402032368355,9.569402032368355,10.0,0.09186903079992458,10.0
