window_index,tag,bcut_deg,z_lo,z_hi,z_center,scan_N,N,n_controls,control_names,n_strata,min_stratum_N,raw_amp,raw_formal_snr,raw_priority,raw_l_deg,raw_b_deg,raw_sep_cmb_deg,residual_amp,residual_formal_snr,residual_priority,residual_l_deg,residual_b_deg,residual_sep_cmb_deg,residual_amp_par_cmb,residual_frac_par_cmb,residual_rms,amp_ratio_residual_vs_raw,snr_delta_residual_minus_raw,max_abs_su2_delta_mu,control_r2,control_rms_resid,control_k,control_beta_intercept,control_betas,control_centers,control_scales
1,z0p10_0p30,10.0,0.1,0.3,0.2,13225,13225,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,1322,0.0016156450561384,2.1618897148463443,0.0010383386851087,174.87200237992204,11.250168906486936,81.06831183538553,0.0015821671350690313,2.131185561576889,0.0010235917209530949,168.18158784267098,11.241455100909322,85.46875692909227,0.00012499547161551198,0.07900269753110396,0.04532111304636891,0.9792789134332602,-0.030704153269455414,0.0004802921619813,0.015430734791851974,0.04533575586389861,8,0.23376370003960367,0.0002538550531;0.0002234085945;-2.000352596e-06;-0.0003502937958;-0.00768360056;0.00498390223;-0.005343112732,3.871201011;0.136206594;0.007005060219;0.2671325509;1.824992897;-1.263988335;-1.810613847,0.3736842019;0.2239973957;0.2269568148;0.173585116;1.085309117;0.6818256288;1.909044329
2,z0p30_0p40,10.0,0.3,0.4,0.35,18463,18463,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,1846,0.0007876368584136,2.0881374689716905,0.0068619851401532,208.54282921288456,-27.570564176133374,90.62031377213094,0.0007193745600880591,2.0548265192059674,0.0067525195299175216,177.3799495073161,-43.99496275791778,119.35152025428994,-0.0003526132504568742,-0.49016641680199335,0.027909129111845867,0.9133327781751736,-0.03331094976572313,0.0032861749966741,0.020949626389253018,0.027915345638901138,8,0.35335170451479503,0.0003436690968;-0.0001006613999;0.0002796446572;0.0001471329479;-0.002726246115;-0.001113166494;0.002143687695,3.871201011;0.1288272695;0.002334863699;0.2672185856;1.34465227;-1.165369028;-1.19772148,0.370466325;0.2254034174;0.228287395;0.1751858821;1.088574609;0.7155256649;1.690341012
3,z0p30_0p50,10.0,0.3,0.5,0.4,39665,39665,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,3966,0.0014937152979339,2.8222389554368155,0.0119246836820189,238.02429106872324,-11.755101868063788,64.28340811371488,0.0004649329262472059,0.9832495609927053,0.004154481665251922,215.7222780235039,-34.9981871563378,93.73089064801131,-3.025333363057832e-05,-0.06507031858288427,0.053772141016297015,0.311259399224403,-1.83898939444411,0.004225256567679,0.10106300705292393,0.05377550821523511,8,0.4080603949020292,-0.0002456030665;0.0004731756963;0.0003589478923;2.850855194e-05;-0.0132891641;0.0001815886907;0.005880659659,3.871201011;0.1287619347;0.004368843397;0.2665827584;0.9852261112;-1.060124824;-0.7386697566,0.3706187741;0.2247490634;0.2277827176;0.1748965341;1.126760541;0.7433469588;1.576894824
4,z0p40_0p50,10.0,0.4,0.5,0.45,21202,21202,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,2120,0.0007243431320955,1.912925221869004,0.0096674548448921,340.5985846740829,-14.5908008622677,92.199248548553,0.000799532317786052,2.0797682523206267,0.010510638595431082,353.0590171355314,-1.8525198934439082,90.74176631192626,-1.035066765693814e-05,-0.01294590278176584,0.028687781447577602,1.103803269968243,0.16684303045162263,0.005053754707383,0.03226025880819916,0.028693415467522233,8,0.4518588401926724,6.955385878e-05;0.0004477563984;-0.0001328186153;5.151037442e-05;-0.003784769264;-0.0001740933205;0.001941533372,3.871201011;0.1285659552;0.006470660752;0.2659786826;0.6649745904;-0.9595232844;-0.4018928792,0.3707284736;0.2241771426;0.2273304891;0.174642937;1.082617638;0.7555672189;1.376230993
5,z0p50_0p60,10.0,0.5,0.6,0.55,23827,23827,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,2382,0.0005961156958058,1.8278925366601615,0.01173141989288,266.858673384332,25.90699390205089,22.45642180578785,0.0001118923259799422,0.41318300713664247,0.0026518098039720393,223.64367363997,80.69684796632313,35.08726807898309,9.155896957281448e-05,0.8182774714078902,0.028019192576465284,0.18770236510664534,-1.414709529523519,0.0064180030595863,0.02260998395131497,0.028021645557221586,8,0.5503121162648238,-0.0002314028434;5.683117679e-05;0.0002565135507;0.000174803831;-0.002887522157;6.513520849e-05;0.001722224756,3.871201011;0.1272827738;0.008498013511;0.268600238;0.0734146463;-0.885594154;-0.01885036998,0.3710154301;0.224971342;0.2295906227;0.1754184181;1.053009045;0.7722587633;1.087119559
6,z0p50_0p75,10.0,0.5,0.75,0.625,62022,62022,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,6202,0.0010378324304686,1.897184951105948,0.0136984927826422,274.27900556715934,-12.213039071686218,61.14875214007562,0.00034962456096071477,0.6831596389601909,0.004932706944693636,334.9469963341873,-29.69693956334351,100.40540078479451,-6.314634132955106e-05,-0.1806118573478779,0.07184429404346117,0.33687958739432816,-1.2140253121457572,0.0072204308676688,0.0515315615952916,0.07184688137567181,8,0.6316005836296911,-0.001853727202;-0.0006218011096;-5.622960167e-05;0.0004092254644;-0.01237481385;0.005444914281;0.003587310205,3.871201011;0.1273987163;0.007660581507;0.2671862947;-0.2064526336;-0.7935735576;0.0487207216,0.3732945113;0.2243529208;0.2290508302;0.1749952995;1.065707653;0.802739412;1.049076379
7,z0p60_0p70,10.0,0.6,0.7,0.6499999999999999,23898,23898,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,2389,0.0009571038513561,3.226347378939701,0.0240406695880846,359.7439909817676,-53.95876186125722,129.96738480948312,0.0008093339118959247,2.562598358711278,0.019094837967817142,338.13022652966026,-39.81741409728363,109.73828803936146,-0.00027333174748763654,-0.33772432301438676,0.028953565581615565,0.8456072042226105,-0.6637490202284231,0.0074513580729131,0.004321592506608463,0.028959968174911567,8,0.6515451718348214,-0.0002546477239;0.0001393528935;-0.0003840326589;-0.0002330558993;-0.001528413209;0.0008734764923;1.472970861e-06,3.871201011;0.1272807745;0.007328527098;0.2669998987;-0.3740788481;-0.7639107804;0.1069078024,0.3741783067;0.2243750318;0.228654888;0.1753849572;1.039191358;0.8082670553;1.039240508
8,z0p70_0p80,10.0,0.7,0.7999999999999999,0.75,29621,29621,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,2962,0.0007021946559813,2.4688426991313706,0.0202859839669732,319.60135323405785,45.085952153369455,37.43059611178194,0.0006945562681236684,2.45624074915871,0.0201824362783383,323.57314850877987,46.2068990484302,39.45946763548349,0.0005362490908981172,0.7720743667705782,0.028864563084371485,0.9891221219179499,-0.01260194997266062,0.008216798896953,0.004925787856861263,0.028869452441403952,8,0.7518483801319954,0.0007201388461;0.0004481322199;3.809168335e-05;-0.0004772981583;-0.0005880240152;0.001810230906;0.0001349330964,3.871201011;0.1296511783;0.006103824691;0.2673112263;-0.4401167497;-0.6284434326;0.1070911082,0.3747433654;0.2234509261;0.2287145737;0.1732336107;1.02306298;0.8332620046;0.9146808168
9,z0p75_1p00,10.0,0.75,1.0,0.875,83848,83848,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,8384,0.0008652710817858,1.8392380735088385,0.0163275515130021,228.88644434764575,-9.779679860647574,65.80246930054734,0.0008165671410060934,1.7979964675767217,0.015961435535394468,232.77628627139381,-17.754052683933725,71.66033767004973,0.00025693253189398234,0.314649609311263,0.07104791237028599,0.943712506051643,-0.04124160593211679,0.0088773453247696,0.033129834111252476,0.0710509769196652,8,0.8815632192037043,-0.0008653819254;4.609090002e-05;0.0003010007474;-6.058918963e-05;-0.002375608235;0.01297063373;-0.0004982293723,3.871201011;0.1292153091;0.006033347526;0.2666196282;-0.4634657503;-0.3827723735;0.06915618452,0.3750643689;0.2238138747;0.2278973257;0.1737040663;0.9663775087;0.8278700054;0.8006234542
10,z0p80_0p90,10.0,0.7999999999999999,0.8999999999999999,0.8499999999999999,32152,32152,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,3215,0.0004920780655321,1.6333692383318803,0.0143209527075547,275.1042847719908,-13.491083682048268,62.52674389765632,0.00045083625522498083,1.6462104367120283,0.014433540964021541,276.22951163667267,-38.18665951635899,87.1188829661188,2.26607386158675e-05,0.050263789465111036,0.029116814353539973,0.9161884806579967,0.012841198380147967,0.0087677374909915,0.007711853974584848,0.029119853239267537,8,0.8508823640299116,0.0002140389438;0.0002856022867;0.0002830042789;-0.0003710404435;0.0004206335378;0.00244918986;-0.0001971587738,3.871201011;0.1266957229;0.005713180326;0.2665530103;-0.4463480371;-0.432754991;0.07461005484,0.3749627308;0.2249744299;0.2284811766;0.1742820587;0.9969595158;0.8254917607;0.8299036299
11,z0p90_1p00,10.0,0.8999999999999999,1.0,0.95,36372,36372,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,3637,0.000711590207115,2.915492646379791,0.0266726164678949,175.9274283572592,43.56865913132208,57.976063774497376,0.0005989969671078182,2.3221784900634264,0.021244634697455658,155.58773218308158,32.49382953182156,77.1012999378904,0.0001337128952012912,0.22322800038021423,0.02824038554665591,0.8417723587517195,-0.5933141563163646,0.0091485795723116,0.008732315275598257,0.028244032437276325,8,0.9512826318657615,-0.0001054977417;-6.525252429e-05;0.0002758283403;0.0001106604515;-0.001054241751;0.002512700797;0.0001098547125,3.871201011;0.1307298711;0.006499670126;0.2653003689;-0.4785720406;-0.2471322023;0.0537628788,0.3754606255;0.2228579086;0.2270682818;0.1735429142;0.91781936;0.8001848978;0.7270880884
12,z1p00_1p10,10.0,1.0,1.1,1.0499999999999998,35898,35898,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,3589,0.0004985440261866,2.178247606749109,0.020466094215451,255.41100767294336,73.6755476505964,25.702609723880062,0.00048032048008470946,2.089203579193667,0.019629465977400017,253.81526552565765,68.31085250879033,20.698488583779575,0.00044931740451485685,0.9354533548842537,0.02892777251066932,0.9634464658191096,-0.08904402755544183,0.0093956693224583,0.011061095238160012,0.028931143367626828,8,1.0503779117061063,0.0005972051606;-0.0001122338569;0.0001203228737;-0.0001138220494;0.0004303109225;0.002860524978;-0.0004075284855,3.871201011;0.1276996097;0.009078089187;0.2678977736;-0.4244972945;0.0787446183;0.002289360352,0.3756063394;0.2237054499;0.2306457715;0.1742705724;0.8762703355;0.7585788421;0.6348633426
13,z1p00_1p50,10.0,1.0,1.5,1.25,194552,194552,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,19455,0.0020920732573586,3.4795472766175406,0.0334046615289144,159.01838267740072,-32.12160537617276,122.8668001717104,0.0033533625581392743,5.7535877126322825,0.05523610827447532,222.65742012015247,-4.640678889168112,64.04063321952802,0.0014678795543071168,0.43773362672768046,0.13459784770675948,1.6028896437274607,2.274040436014742,0.0096002895989926,0.13597441029795798,0.13461068246315686,8,1.256695776945447,0.001689270161;-0.001091038378;0.0003808997508;0.0006396106792;0.03856086314;0.03771617146;-0.01166190671,3.871201011;0.12836202;0.006727310792;0.2668639702;-0.1349348645;0.4714909959;-0.0005206681101,0.3740642313;0.2234190028;0.2299883744;0.1744610826;0.8704935834;0.7831449621;0.6996301197
