role,window_index,tag,bcut_deg,z_center,N,raw_formal_snr,raw_priority,control_r2,residual_amp,residual_formal_snr,residual_priority,residual_l_deg,residual_b_deg,residual_sep_cmb_deg,residual_amp_par_cmb,max_abs_su2_delta_mu,global_p_any_window_snr_ge_observed,global_p_any_window_priority_ge_observed,global_p_any_window_abs_par_cmb_ge_observed,z1p00_family_p_any_bcut_snr_ge_observed,z1p00_family_p_any_bcut_priority_ge_observed
observed_max_residual_snr,13,z1p00_1p50,10.0,1.25,194552,3.4795472766175406,0.0334046615289144,0.13597441029795798,0.0033533625581392743,5.7535877126322825,0.05523610827447532,222.65742012015247,-4.640678889168112,64.04063321952802,0.0014678795543071168,0.0096002895989926,0.000999000999000999,0.000999000999000999,0.7592407592407593,0.000999000999000999,0.000999000999000999
observed_max_residual_priority,13,z1p00_1p50,10.0,1.25,194552,3.4795472766175406,0.0334046615289144,0.13597441029795798,0.0033533625581392743,5.7535877126322825,0.05523610827447532,222.65742012015247,-4.640678889168112,64.04063321952802,0.0014678795543071168,0.0096002895989926,0.000999000999000999,0.000999000999000999,0.7592407592407593,0.000999000999000999,0.000999000999000999
z1p00_1p50_family_max_residual_snr,13,z1p00_1p50,10.0,1.25,194552,3.4795472766175406,0.0334046615289144,0.13597441029795798,0.0033533625581392743,5.7535877126322825,0.05523610827447532,222.65742012015247,-4.640678889168112,64.04063321952802,0.0014678795543071168,0.0096002895989926,0.000999000999000999,0.000999000999000999,0.7592407592407593,0.000999000999000999,0.000999000999000999
z1p00_1p50_family_max_residual_priority,13,z1p00_1p50,10.0,1.25,194552,3.4795472766175406,0.0334046615289144,0.13597441029795798,0.0033533625581392743,5.7535877126322825,0.05523610827447532,222.65742012015247,-4.640678889168112,64.04063321952802,0.0014678795543071168,0.0096002895989926,0.000999000999000999,0.000999000999000999,0.7592407592407593,0.000999000999000999,0.000999000999000999
z1p00_1p50_bcut_10,13,z1p00_1p50,10.0,1.25,194552,3.4795472766175406,0.0334046615289144,0.13597441029795798,0.0033533625581392743,5.7535877126322825,0.05523610827447532,222.65742012015247,-4.640678889168112,64.04063321952802,0.0014678795543071168,0.0096002895989926,0.000999000999000999,0.000999000999000999,0.7592407592407593,0.000999000999000999,0.000999000999000999
z1p00_1p50_bcut_15,41,z1p00_1p50,15.0,1.25,185739,3.597784382649293,0.034539771988166,0.1384967760982413,0.003460277993996473,5.682284132621599,0.054551573256927825,219.60173057289515,-4.551705888540782,65.48944738444318,0.001435533801883616,0.0096002895989926,0.000999000999000999,0.000999000999000999,0.7832167832167832,0.000999000999000999,0.000999000999000999
z1p00_1p50_bcut_20,69,z1p00_1p50,20.0,1.25,172054,3.020826423753449,0.0290008084963223,0.1398573207024637,0.0029722226104243053,4.582772820750117,0.043995946245593325,223.91051430340917,-5.612698314904682,64.28932689313595,0.0012894302117286342,0.0096002895989926,0.03196803196803197,0.002997002997002997,0.916083916083916,0.000999000999000999,0.000999000999000999
z1p00_1p50_bcut_25,97,z1p00_1p50,25.0,1.25,155609,3.498565996535912,0.0335872467479329,0.14113621399852083,0.0030501380401162753,4.291844819853375,0.04120295318452862,227.50004624748635,-3.9567867829824417,61.16176253371702,0.0014711986632766963,0.0096002895989926,0.08591408591408592,0.02197802197802198,0.7572427572427572,0.002997002997002997,0.002997002997002997
z1p00_1p50_bcut_30,125,z1p00_1p50,30.0,1.25,137850,3.3837647977601657,0.0324851219933742,0.14178566589177855,0.002367865931170656,2.982098636254352,0.02862901052080267,233.61708113692026,-3.701005877587929,58.33730953423139,0.0012429342967684742,0.0096002895989926,0.999000999000999,0.9440559440559441,0.939060939060939,0.18981018981018982,0.18981018981018982
z1p00_1p50_bcut_35,153,z1p00_1p50,35.0,1.25,119719,3.705935958477851,0.0355780584367076,0.14245173792374843,0.002526493337999754,2.790859836961064,0.026793062665023487,233.02084137368723,-4.165999671719294,59.000630236420456,0.0013012164437439101,0.0096002895989926,1.0,0.997002997002997,0.906093906093906,0.2937062937062937,0.2937062937062937
