scan_bin,N,scan_count_q,scan_resultant_q,scan_phase_q,mean_scan_count_log1p,mean_scan_resultant
1,3276,1,1,1,3.2916993466021873,0.12085533653682184
2,328,1,1,2,3.3341182053277003,0.1067859470252658
3,311,1,1,3,3.3297929376386377,0.10471137560800126
4,3029,1,1,4,3.2933538657933363,0.12012354875289888
5,10552,1,2,1,3.2654616173768884,0.21166368616754191
6,538,1,2,2,3.292295722422387,0.2091123387781712
7,474,1,2,3,3.342928649802028,0.20474253378156954
8,9769,1,2,4,3.2740041276555685,0.2105605221514344
9,7032,1,3,1,3.3796896721581815,0.3437746873885177
10,324,1,3,2,3.286480152147784,0.32221896486855534
11,188,1,3,3,3.391594391207658,0.3169505137298295
12,6254,1,3,4,3.3942215514309493,0.34234057493238196
13,1503,1,4,1,3.458720004859237,0.47348560216500085
14,14,1,4,2,3.4600077514838605,0.44325302521963444
16,1299,1,4,4,3.454258323112346,0.47422410032053647
17,4000,2,1,1,3.7515726068708246,0.08778075747389477
18,3765,2,1,2,3.7674338045445475,0.08104403486716272
19,3481,2,1,3,3.773820241524371,0.08095187127786511
20,4150,2,1,4,3.7546067089805355,0.08688165518510652
21,2112,2,2,1,3.697406599429067,0.21532081854642457
22,723,2,2,2,3.723247514789867,0.2011325006277084
23,617,2,2,3,3.725035048833589,0.1991125205417443
24,2155,2,2,4,3.697627154744018,0.21737812100700832
25,5688,2,3,1,3.6854400463725474,0.3569844917034258
26,360,2,3,2,3.7024144494383076,0.3473594230641955
27,422,2,3,3,3.7122762888737264,0.3423865008393879
28,5344,2,3,4,3.687858112351553,0.3534753485947226
29,5668,2,4,1,3.717184998372227,0.5112911047190636
30,126,2,4,2,3.750796811867028,0.49126035358503206
31,112,2,4,3,3.7364085163200818,0.48183056160410215
32,5048,2,4,4,3.711931323501117,0.5106260755318817
33,2938,3,1,1,3.9321829164920237,0.0922243117637664
34,5024,3,1,2,3.9538083058916995,0.09524997738273284
35,5202,3,1,3,3.9514095488078143,0.09357295660870352
36,2947,3,1,4,3.9348912387000494,0.08594942026031485
37,1554,3,2,1,3.9593194338356614,0.21786330677131815
38,2251,3,2,2,3.9870275050319957,0.20056217904539603
39,2226,3,2,3,3.986658948518245,0.20236872208511664
40,1715,3,2,4,3.9515667236556373,0.21222444594812945
41,2876,3,3,1,3.9545174848222575,0.35482971127395463
42,485,3,3,2,3.983724075059764,0.32703405805601676
43,540,3,3,3,3.9914288966254885,0.3259406056327981
44,2878,3,3,4,3.951957468447348,0.3544879453380046
45,7877,3,4,1,3.96492583374091,0.5621736671118617
46,166,3,4,2,3.9409829426063725,0.4944401274384225
47,143,3,4,3,3.9525132309714883,0.498840946898465
48,7333,3,4,4,3.9643980732908553,0.5584993414638346
49,1272,4,1,1,4.220502928063004,0.09256295528846872
50,2368,4,1,2,4.221041419243996,0.10541900219569002
51,2632,4,1,3,4.217954768825563,0.10801912448459536
52,1156,4,1,4,4.216632595509124,0.0970695508294059
53,1166,4,2,1,4.215615612434493,0.2148107803909841
54,4578,4,2,2,4.209820462772473,0.2169481091089595
55,4374,4,2,3,4.214156646984779,0.21602685167228994
56,1074,4,2,4,4.214413612073651,0.21618232064089996
57,1966,4,3,1,4.248278864226223,0.35813949897152597
58,4878,4,3,2,4.334284511742391,0.33817062577449775
59,4600,4,3,3,4.329402355445876,0.33779136052926867
60,2050,4,3,4,4.265648772258731,0.3569200476063782
61,6439,4,4,1,4.230682669168527,0.5897189600390408
62,2161,4,4,2,4.551488953548657,0.5122223287950594
63,2151,4,4,3,4.556051781062269,0.508615331412757
64,5845,4,4,4,4.230199424250869,0.5895092178346552
