delta_k,lrt_stat,lrt_p,partial_r2,delta_aic_full_minus_restricted,delta_bic_full_minus_restricted,comparison,bcut_deg,N,restricted_model,full_model,restricted_bic,full_bic,full_dipole_amp,full_dipole_snr,raw_dipole_amp,raw_dipole_snr,amp_ratio_vs_raw_dipole,direction_sep_vs_raw_dipole_deg
3,17.937390597275225,0.00045312271094621225,9.773229035447972e-05,-11.937390597275225,18.422960626601707,dipole_only_vs_null,15.0,183527,null_intercept,dipole_only,-185030.01009081354,-185011.58713018693,0.0025486913348822748,4.235313002897956,0.0025486913348822748,4.235313002897956,1.0,0.0
3,27.993331347417552,3.6437612878464244e-06,0.00015251813928018887,-21.993331347417552,8.367019876430277,dipole_added_to_scanlaw_colour,15.0,183527,scanlaw_colour,scanlaw_colour_plus_dipole,-217597.22235967944,-217588.855339803,0.0034519315503786273,5.290915649374015,0.0025486913348822748,4.235313002897956,1.3543937247850664,86.99007826742191
3,18.669662494270597,0.00031994216204751883,0.00010172188790469328,-12.669662494270597,17.690688729577232,dipole_added_to_scanlaw_colour_quality,15.0,183527,scanlaw_colour_quality,scanlaw_colour_quality_plus_dipole,-301866.14740901033,-301848.45672028075,0.0021406785315028366,4.320750245429476,0.0025486913348822748,4.235313002897956,0.8399128220058533,119.28928617671771
3,18.179905890283408,0.0004038232771450958,9.905357513073643e-05,-12.179905890283408,18.18044533356442,dipole_added_to_all_external_colour,15.0,183527,all_external_colour,all_external_colour_plus_dipole,-219259.90480372342,-219241.72435838985,0.002318994246412194,4.263709809870461,0.0025486913348822748,4.235313002897956,0.9098764588216837,101.62520889298068
3,17.679510604357347,0.0005121225665120007,0.00010402781558260799,-11.679510604357347,18.450109186553163,dipole_only_vs_null,20.0,169941,null_intercept,dipole_only,-171287.1443156481,-171268.69420646154,0.0026031162285140705,4.2047608861833385,0.0026031162285140705,4.2047608861833385,1.0,0.0
3,22.963942736765603,4.1087923301345435e-05,0.0001351197842797136,-16.963942736765603,13.165677054144908,dipole_added_to_scanlaw_colour,20.0,169941,scanlaw_colour,scanlaw_colour_plus_dipole,-201708.35863894137,-201695.19296188722,0.0033496441518146816,4.792077611493598,0.0026031162285140705,4.2047608861833385,1.286782401463015,84.76028554727013
3,18.15920400863979,0.00040781467504889606,0.00010685022351208939,-12.15920400863979,17.970415782241616,dipole_added_to_scanlaw_colour_quality,20.0,169941,scanlaw_colour_quality,scanlaw_colour_quality_plus_dipole,-279670.9343834367,-279652.96396765445,0.0023507333268566644,4.2612624425886505,0.0026031162285140705,4.2047608861833385,0.9030458575407242,118.4084123366072
3,17.43798272375716,0.000574284378153823,0.0001026067169278555,-11.437982723757159,18.69163706715335,dipole_added_to_all_external_colour,20.0,169941,all_external_colour,all_external_colour_plus_dipole,-202841.8516765434,-202823.16003947624,0.0024444311230502743,4.175791607763787,0.0026031162285140705,4.2047608861833385,0.9390403303065811,102.64891451200907
3,22.734530642366735,4.5869050441950575e-05,0.00014795119329147344,-16.734530642366735,13.092786585155409,dipole_only_vs_null,25.0,153651,null_intercept,dipole_only,-154892.64416245685,-154879.5513758717,0.0031974930004776666,4.7681884146799955,0.0031974930004776666,4.7681884146799955,1.0,0.0
3,20.093781532137655,0.0001623129353229474,0.00013076691790214756,-14.093781532137655,15.733535695355386,dipole_added_to_scanlaw_colour,25.0,153651,scanlaw_colour,scanlaw_colour_plus_dipole,-182599.4407770884,-182583.70724139304,0.0035340832067247735,4.482594879334003,0.0031974930004776666,4.7681884146799955,1.105266909480904,83.40598347936584
3,14.08416485512862,0.002792799827478289,9.165914555775423e-05,-8.08416485512862,21.74315237236442,dipole_added_to_scanlaw_colour_quality,25.0,153651,scanlaw_colour_quality,scanlaw_colour_quality_plus_dipole,-252541.01971495117,-252519.2765625788,0.0023182578013189667,3.752765916951354,0.0031974930004776666,4.7681884146799955,0.7250235734597846,110.95994214759371
3,15.394628655951237,0.0015086595480129212,0.00010018716097481839,-9.394628655951237,20.432688571570907,dipole_added_to_all_external_colour,25.0,153651,all_external_colour,all_external_colour_plus_dipole,-183290.33055233644,-183269.89786376487,0.002663478490151682,3.9234929255830933,0.0031974930004776666,4.7681884146799955,0.8329896233561077,99.68666329658093
3,20.119872568029677,0.0001603041482419244,0.00014787276145034056,-14.119872568029677,15.34250476572197,dipole_only_vs_null,30.0,136052,null_intercept,dipole_only,-137164.49344104688,-137149.15093628116,0.003244344543832828,4.485617991249961,0.003244344543832828,4.485617991249961,1.0,0.0
3,10.761511226650327,0.01308791377100446,7.909538726458276e-05,-4.761511226650327,24.70086610710132,dipole_added_to_scanlaw_colour,30.0,136052,scanlaw_colour,scanlaw_colour_plus_dipole,-161817.84230263566,-161793.14143652856,0.003004673547776408,3.2804064884762254,0.003244344543832828,4.485617991249961,0.9261265279262616,94.68029968183035
3,9.709721468534553,0.021201825069692794,7.136517652372998e-05,-3.7097214685345534,25.752655865217093,dipole_added_to_scanlaw_colour_quality,30.0,136052,scanlaw_colour_quality,scanlaw_colour_quality_plus_dipole,-223624.08043061505,-223598.32777474984,0.002249241398767182,3.115903506613932,0.003244344543832828,4.485617991249961,0.6932806822391177,119.67577138214322
3,10.082448004657635,0.017878142847429064,7.41045660652695e-05,-4.0824480046576355,25.37992932909401,dipole_added_to_all_external_colour,30.0,136052,all_external_colour,all_external_colour_plus_dipole,-162231.78228556394,-162206.40235623484,0.0024978056239752353,3.175159184119149,0.003244344543832828,4.485617991249961,0.7698953024959424,110.64199406939879
3,22.89669149654219,4.2435578946418715e-05,0.00019370414350161624,-16.89669149654219,12.143530985093093,dipole_only_vs_null,35.0,118193,null_intercept,dipole_only,-119296.15332102265,-119284.00979003755,0.004064814465565032,4.785199523524725,0.004064814465565032,4.785199523524725,1.0,0.0
3,13.391973635792965,0.0038612492002814175,0.00011329956062633428,-7.391973635792965,21.648248845827766,dipole_added_to_scanlaw_colour,35.0,118193,scanlaw_colour,scanlaw_colour_plus_dipole,-140787.1542651022,-140765.50601625638,0.003962308816840411,3.659437924514063,0.004064814465565032,4.785199523524725,0.9747822072586597,90.58543862466777
3,6.869853055279236,0.07616374199625814,5.8122337256549805e-05,-0.8698530552792363,28.170369426341495,dipole_added_to_scanlaw_colour_quality,35.0,118193,scanlaw_colour_quality,scanlaw_colour_quality_plus_dipole,-194262.20104016256,-194234.03067073622,0.0022277745557070226,2.6208900346400066,0.004064814465565032,4.785199523524725,0.5480630357374379,103.3968687135526
3,9.122598193876911,0.027704513092927215,7.718093409969651e-05,-3.122598193876911,25.91762428774382,dipole_added_to_all_external_colour,35.0,118193,all_external_colour,all_external_colour_plus_dipole,-141064.22606925076,-141038.308444963,0.002943923453983869,3.020217752338265,0.004064814465565032,4.785199523524725,0.7242454677632247,95.37410416661416
