N,k,rss,r2,aic,bic,loglike,rms_resid,columns,dipole_amp,dipole_l_deg,dipole_b_deg,dipole_snr,model,bcut_deg
183527,1,3920.538840160083,8.881784197001252e-16,-185040.13020788814,-185030.01009081354,92521.06510394407,0.146158501178838,intercept,nan,nan,nan,nan,null_intercept,15.0
183527,4,3920.1556769198105,9.77322903553679e-05,-185052.06759848542,-185011.58713018693,92530.03379924271,0.14615255334493482,intercept;n_x;n_y;n_z,0.0025486913348822748,138.990621778655,-36.60410263510536,4.235313002897956,dipole_only,15.0
183527,8,3281.546935462085,0.16298573506082392,-217678.18329627637,-217597.22235967944,108847.09164813819,0.13372074671944154,intercept;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,nan,nan,nan,nan,scanlaw_colour,15.0
183527,11,3281.0464400295277,0.1631133949190634,-217700.1766276238,-217588.855339803,108861.0883138119,0.13371164181285405,intercept;n_x;n_y;n_z;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,0.0034519315503786273,225.60739676573724,-0.49347782656335226,5.290915649374015,scanlaw_colour_plus_dipole,15.0
183527,14,2072.4988637166234,0.47137397479985244,-302007.829048055,-301866.14740901033,151017.9145240275,0.1062707469363738,intercept;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z;zerr;g;w1;w2;pmra_error;pmdec_error,nan,nan,nan,nan,scanlaw_colour_quality,15.0
183527,17,2072.288045219526,0.47142774763713136,-302020.49871054926,-301848.45672028075,151027.24935527463,0.10626621037154507,intercept;n_x;n_y;n_z;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z;zerr;g;w1;w2;pmra_error;pmdec_error,0.0021406785315028366,279.8162485402479,-11.640639511760398,4.320750245429476,scanlaw_colour_quality_plus_dipole,15.0
183527,13,3250.8780572570886,0.1708083531894442,-219391.46632569344,-219259.90480372342,109708.73316284672,0.13309622531193566,intercept;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z;ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p,nan,nan,nan,nan,all_external_colour,15.0
183527,16,3250.556046163203,0.17089048758652936,-219403.64623158373,-219241.72435838985,109717.82311579186,0.1330907211767143,intercept;n_x;n_y;n_z;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z;ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p,0.002318994246412194,277.3179750934603,-31.375099303335826,4.263709809870461,all_external_colour_plus_dipole,15.0
169941,1,3631.2688747828306,0.0,-171297.18752224508,-171287.1443156481,85649.59376112254,0.14617779165815356,intercept,nan,nan,nan,nan,null_intercept,20.0
169941,4,3630.891121813994,0.00010402781558260799,-171308.86703284943,-171268.69420646154,85658.43351642472,0.14617147839162764,intercept;n_x;n_y;n_z,0.0026031162285140705,139.59239537836882,-37.760148733138635,4.2047608861833385,dipole_only,20.0
