control_group,b_cut_deg,N,n_templates,template_names,amp,l_deg,b_deg,formal_snr,rms_resid
baseline_no_template,15.0,183527,0,,0.0025486913348822748,138.990621778655,-36.60410263510536,4.235313002897956,0.14615255334493482
baseline_no_template,20.0,169941,0,,0.0026031162285140705,139.59239537836882,-37.760148733138635,4.2047608861833385,0.14617147839162764
baseline_no_template,25.0,153651,0,,0.0031974930004776666,145.52360713987235,-33.94563056339685,4.7681884146799955,0.14615627855544722
baseline_no_template,30.0,136052,0,,0.003244344543832828,139.38458928677687,-32.43057730587111,4.485617991249961,0.14614884315333537
baseline_no_template,35.0,118193,0,,0.004064814465565032,145.84992410320453,-25.377758637536193,4.785199523524725,0.14606046057021163
wise_depth_external,15.0,183527,8,wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio,0.002450239910589573,136.9776420783736,-38.90040479423977,4.125082877060212,0.14615277493604825
wise_depth_external,20.0,169941,8,wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio,0.002520501634870597,138.01247478607087,-39.4014439400899,4.116339485240314,0.14617280083782344
wise_depth_external,25.0,153651,8,wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio,0.0031253749628670498,144.09459240191717,-34.88235501297932,4.693859886931171,0.1461577863422683
wise_depth_external,30.0,136052,8,wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio,0.0031934493225555583,139.19266662915146,-32.974810518403324,4.436129124386632,0.1461498053815599
wise_depth_external,35.0,118193,8,wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio,0.004027048274299873,147.28222113874887,-25.711995083500838,4.755548811331864,0.14606103211894772
gaia_stellar_density_external,15.0,183527,1,gaia_dr3_density_hpx4_log1p,0.002566970597803704,139.43042786153538,-36.26027338400345,4.183230127746968,0.14615294715567317
gaia_stellar_density_external,20.0,169941,1,gaia_dr3_density_hpx4_log1p,0.002801495558076409,143.6772679363657,-34.30592952237627,4.3160522933278305,0.1461714876857757
gaia_stellar_density_external,25.0,153651,1,gaia_dr3_density_hpx4_log1p,0.0036070347178744754,149.9904145909383,-29.211066359711396,5.00262762106997,0.14615556810196811
gaia_stellar_density_external,30.0,136052,1,gaia_dr3_density_hpx4_log1p,0.003752865938255611,145.6692803691336,-27.099032890664343,4.769219954408139,0.14614761155353212
gaia_stellar_density_external,35.0,118193,1,gaia_dr3_density_hpx4_log1p,0.004493347026282185,149.07657993632964,-22.551294847223712,4.949095925655467,0.1460600879878837
wise_plus_stellar_external,15.0,183527,9,wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio;gaia_dr3_density_hpx4_log1p,0.002484555443177695,137.85843345670946,-38.20904193303709,4.097154056729484,0.14615315655956235
wise_plus_stellar_external,20.0,169941,9,wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio;gaia_dr3_density_hpx4_log1p,0.002710749059611612,142.1659050864857,-35.86651380300473,4.2245847380752535,0.14617282584957636
