gate,case_label,frame,offset_mode,prior_config,model,offset_label,offset_type,prior_sigma_mag,offset_mag,pull_sigma,case_datasets,case_z_min,case_max_z
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_1,survey,0.01,-0.077550953130671,-7.755095313067109,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_10,survey,0.01,-0.0603811267266611,-6.038112672666109,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_15,survey,0.01,-0.0571431735173107,-5.71431735173107,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_150,survey,0.01,-0.0685130406740723,-6.851304067407235,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_4,survey,0.01,-0.0282765873023707,-2.8276587302370744,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_5,survey,0.01,-0.0320815353222051,-3.208153532220517,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_50,survey,0.01,-0.0121096346501318,-1.210963465013183,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_51,survey,0.01,-0.0159940920043437,-1.5994092004343787,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_56,survey,0.01,-0.0116982937032394,-1.1698293703239406,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_57,survey,0.01,-0.0320733174143624,-3.207331741436245,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_63,survey,0.01,-0.0131971058120321,-1.3197105812032186,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_64,survey,0.01,-0.0312689536929327,-3.126895369293277,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_65,survey,0.01,-0.0175454620018081,-1.7545462001808163,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.01,-0.0384975246826921,-3.849752468269215,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_1,survey,0.01,-0.1193464272541023,-11.934642725410232,pantheon,0.01,
