gate,case_label,run_date,frame,datasets,offset_mode,offset_design_note,prior_config,dataset_sigma_mag,survey_sigma_mag,model,family,H0,param_name,param_value,k_base,N,raw_chi2,data_chi2_map,prior_chi2,posterior_objective,logdet_random_effect,marginal_score,AIC_base,BIC_base,chi2_dof_base,profiled_rms_mag,max_abs_offset_pull_sigma,method,success,case_datasets,case_z_min,case_max_z
dataset_combo,pantheon_only,2026-07-16T20:47:04,HD,PantheonPlusSH0ES,none,no nuisance offsets,none,0.0,0.0,FR_C1PZ_ALPHA0_H0fixed675,fr_c1pz_alpha0,67.5,,,0,1580,2498.0713839535338,2498.0713839535338,0.0,2498.0713839535338,0.0,2498.0713839535338,2498.0713839535338,2498.0713839535338,1.5810578379452744,0.1945176391867707,,fixed,True,pantheon,0.01,
dataset_combo,pantheon_only,2026-07-16T20:47:04,HD,PantheonPlusSH0ES,none,no nuisance offsets,none,0.0,0.0,LCDM_Om03_H0fixed675,lcdm,67.5,Om,0.3,0,1580,3864.748375883984,3864.748375883984,0.0,3864.748375883984,0.0,3864.748375883984,3864.748375883984,3864.748375883984,2.446043275875939,0.2368045114909098,,fixed,True,pantheon,0.01,
dataset_combo,pantheon_only,2026-07-16T20:47:04,HD,PantheonPlusSH0ES,none,no nuisance offsets,none,0.0,0.0,LCDM_Omfree_H0fixed675,lcdm,67.5,Om,0.5999999302136376,1,1580,2236.7646363571694,2236.7646363571694,0.0,2236.7646363571694,0.0,2236.7646363571694,2238.7646363571694,2244.1298164831906,1.4165703840134067,0.1873260484219845,,minimize_Om,True,pantheon,0.01,
dataset_combo,pantheon_only,2026-07-16T20:47:04,HD,PantheonPlusSH0ES,dataset+idsurvey,14 nuisance offset columns,budget_010mmag_ds020,0.02,0.01,FR_C1PZ_ALPHA0_H0fixed675,fr_c1pz_alpha0,67.5,,,0,1580,2498.0713839535338,1809.2398939754785,239.58015822740637,2048.8200522028847,4.387238003587271,2053.207290206472,2053.207290206472,2053.207290206472,1.145088540490809,0.1733549379697077,7.755095313067109,fixed,True,pantheon,0.01,
dataset_combo,pantheon_only,2026-07-16T20:47:04,HD,PantheonPlusSH0ES,dataset+idsurvey,14 nuisance offset columns,budget_010mmag_ds020,0.02,0.01,LCDM_Om03_H0fixed675,lcdm,67.5,Om,0.3,0,1580,3864.748375883984,2179.6042956028296,574.1313205755434,2753.7356161783728,4.387238003587271,2758.12285418196,2758.12285418196,2758.12285418196,1.379496389622044,0.18591031179487,11.934642725410232,fixed,True,pantheon,0.01,
dataset_combo,pantheon_only,2026-07-16T20:47:05,HD,PantheonPlusSH0ES,dataset+idsurvey,14 nuisance offset columns,budget_010mmag_ds020,0.02,0.01,LCDM_Omfree_H0fixed675,lcdm,67.5,Om,0.5999999302136376,1,1580,2236.7646363571694,1757.5491326710066,166.2146815790607,1923.7638142500675,4.387238003587271,1928.1510522536544,1930.1510522536544,1935.516232379676,1.1130773481133671,0.1732845875381798,7.23914694226526,minimize_Om,True,pantheon,0.01,
dataset_combo,pantheon_only,2026-07-16T20:47:05,HD,PantheonPlusSH0ES,dataset+idsurvey,14 nuisance offset columns,budget_016mmag_ds032,0.032,0.016,FR_C1PZ_ALPHA0_H0fixed675,fr_c1pz_alpha0,67.5,,,0,1580,2498.0713839535338,1599.4045820440886,225.19857396706945,1824.603156011158,8.827577866880688,1833.4307338780384,1833.4307338780384,1833.4307338780384,1.0122813810405624,0.1661771243153346,6.690010882184941,fixed,True,pantheon,0.01,
dataset_combo,pantheon_only,2026-07-16T20:47:05,HD,PantheonPlusSH0ES,dataset+idsurvey,14 nuisance offset columns,budget_016mmag_ds032,0.032,0.016,LCDM_Om03_H0fixed675,lcdm,67.5,Om,0.3,0,1580,3864.748375883984,1722.7745144336018,507.9251941586783,2230.6997085922803,8.827577866880688,2239.527286459161,2239.527286459161,2239.527286459161,1.0903636167301276,0.1699577258730911,10.059641424451115,fixed,True,pantheon,0.01,
dataset_combo,pantheon_only,2026-07-16T20:47:05,HD,PantheonPlusSH0ES,dataset+idsurvey,14 nuisance offset columns,budget_016mmag_ds032,0.032,0.016,LCDM_Omfree_H0fixed675,lcdm,67.5,Om,0.5999999302136376,1,1580,2236.7646363571694,1609.927786380556,157.79714258536188,1767.7249289659178,8.827577866880688,1776.5525068327984,1778.5525068327984,1783.917686958819,1.0195869451428474,0.168544482773642,6.1072156208933706,minimize_Om,True,pantheon,0.01,
dataset_combo,pantheon_only,2026-07-16T20:47:05,HD,PantheonPlusSH0ES,dataset+idsurvey,14 nuisance offset columns,budget_025mmag_ds050,0.05,0.025,FR_C1PZ_ALPHA0_H0fixed675,fr_c1pz_alpha0,67.5,,,0,1580,2498.0713839535338,1482.6211142131708,165.90295058456385,1648.5240647977346,15.366463672342832,1663.8905284700777,1663.8905284700777,1663.8905284700777,0.9383677938058044,0.1611666562400973,5.450038805468702,fixed,True,pantheon,0.01,
