gate,case_label,frame,prior_config,offset_dataset,offset_type,n_offsets,max_abs_pull_sigma,n_abs_pull_ge_3,n_abs_pull_ge_5,median_abs_pull_sigma
dataset_combo,all_three,CMB_PANTHEON_ONLY,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,7.381294185479334,6,4,2.7293357965577565
dataset_combo,all_three,CMB_PANTHEON_ONLY,budget_010mmag_ds020,DES_Dovekie_raw,survey,5,1.2864991256177587,0,0,0.6019407677364785
dataset_combo,all_three,CMB_PANTHEON_ONLY,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.711768662277998,0,0,0.711768662277998
dataset_combo,all_three,CMB_PANTHEON_ONLY,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.243815508716168,8,3,3.2050274780720542
dataset_combo,all_three,CMB_PANTHEON_ONLY,budget_016mmag_ds032,DES_Dovekie_raw,survey,5,0.910288651004708,0,0,0.8266465586612756
dataset_combo,all_three,CMB_PANTHEON_ONLY,budget_016mmag_ds032,Union3p1_UNITY1p8,dataset,1,0.4555884154537369,0,0,0.4555884154537369
dataset_combo,all_three,CMB_PANTHEON_ONLY,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.072527139222865,7,1,3.084713862148117
dataset_combo,all_three,CMB_PANTHEON_ONLY,budget_025mmag_ds050,DES_Dovekie_raw,survey,5,0.9633259546691044,0,0,0.7659166930449518
dataset_combo,all_three,CMB_PANTHEON_ONLY,budget_025mmag_ds050,Union3p1_UNITY1p8,dataset,1,0.2942635416699057,0,0,0.2942635416699057
dataset_combo,all_three,CMB_PANTHEON_ONLY,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,2.906149036761797,0,0,2.0573878121338813
dataset_combo,all_three,CMB_PANTHEON_ONLY,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,5,0.8342483474821135,0,0,0.5089785537872862
dataset_combo,all_three,CMB_PANTHEON_ONLY,budget_050mmag_ds100_stress,Union3p1_UNITY1p8,dataset,1,0.1478406571944247,0,0,0.1478406571944247
dataset_combo,all_three,HD,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,7.755095313067109,8,4,3.167113555364761
dataset_combo,all_three,HD,budget_010mmag_ds020,DES_Dovekie_raw,survey,5,1.2864991256177587,0,0,0.6019407677364785
dataset_combo,all_three,HD,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.711768662277998,0,0,0.711768662277998
dataset_combo,all_three,HD,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.690010882184941,8,3,3.576565269916118
dataset_combo,all_three,HD,budget_016mmag_ds032,DES_Dovekie_raw,survey,5,0.910288651004708,0,0,0.8266465586612756
dataset_combo,all_three,HD,budget_016mmag_ds032,Union3p1_UNITY1p8,dataset,1,0.4555884154537369,0,0,0.4555884154537369
dataset_combo,all_three,HD,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.450038805468702,8,1,3.4452237718438994
dataset_combo,all_three,HD,budget_025mmag_ds050,DES_Dovekie_raw,survey,5,0.9633259546691044,0,0,0.7659166930449518
dataset_combo,all_three,HD,budget_025mmag_ds050,Union3p1_UNITY1p8,dataset,1,0.2942635416699057,0,0,0.2942635416699057
dataset_combo,all_three,HD,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,3.137134678972725,1,0,2.2590582156667445
dataset_combo,all_three,HD,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,5,0.8342483474821135,0,0,0.5089785537872862
dataset_combo,all_three,HD,budget_050mmag_ds100_stress,Union3p1_UNITY1p8,dataset,1,0.1478406571944247,0,0,0.1478406571944247
dataset_combo,all_three,HEL,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,8.204487686531156,7,4,2.9431513360473844
dataset_combo,all_three,HEL,budget_010mmag_ds020,DES_Dovekie_raw,survey,5,0.7972288721017278,0,0,0.2684070164030005
dataset_combo,all_three,HEL,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.711768662277998,0,0,0.711768662277998
dataset_combo,all_three,HEL,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.951667635108402,9,3,3.3011280439651594
dataset_combo,all_three,HEL,budget_016mmag_ds032,DES_Dovekie_raw,survey,5,0.5663516886441647,0,0,0.2952778295953764
dataset_combo,all_three,HEL,budget_016mmag_ds032,Union3p1_UNITY1p8,dataset,1,0.4555884154537369,0,0,0.4555884154537369
dataset_combo,all_three,HEL,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.045631076905052,8,1,3.2137487098338187
dataset_combo,all_three,HEL,budget_025mmag_ds050,DES_Dovekie_raw,survey,5,0.6237577987851748,0,0,0.2707126954353716
dataset_combo,all_three,HEL,budget_025mmag_ds050,Union3p1_UNITY1p8,dataset,1,0.2942635416699057,0,0,0.2942635416699057
dataset_combo,all_three,HEL,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,2.7003886105323325,0,0,2.0992351056112875
dataset_combo,all_three,HEL,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,5,0.5257120188445065,0,0,0.1931411268179682
dataset_combo,all_three,HEL,budget_050mmag_ds100_stress,Union3p1_UNITY1p8,dataset,1,0.1478406571944247,0,0,0.1478406571944247
dataset_combo,des_only,HD,budget_010mmag_ds020,DES_Dovekie_raw,survey,5,1.286499125617759,0,0,0.6019407677364788
dataset_combo,des_only,HD,budget_016mmag_ds032,DES_Dovekie_raw,survey,5,0.910288651004708,0,0,0.8266465586612758
dataset_combo,des_only,HD,budget_025mmag_ds050,DES_Dovekie_raw,survey,5,0.9633259546691044,0,0,0.7659166930449518
dataset_combo,des_only,HD,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,5,0.8342483474821135,0,0,0.5089785537872862
dataset_combo,des_only,HEL,budget_010mmag_ds020,DES_Dovekie_raw,survey,5,0.7972288721017278,0,0,0.2684070164030005
dataset_combo,des_only,HEL,budget_016mmag_ds032,DES_Dovekie_raw,survey,5,0.5663516886441647,0,0,0.2952778295953764
dataset_combo,des_only,HEL,budget_025mmag_ds050,DES_Dovekie_raw,survey,5,0.6237577987851752,0,0,0.2707126954353716
dataset_combo,des_only,HEL,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,5,0.5257120188445067,0,0,0.1931411268179682
dataset_combo,des_union31,HD,budget_010mmag_ds020,DES_Dovekie_raw,survey,5,1.286499125617759,0,0,0.6019407677364774
dataset_combo,des_union31,HD,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.711768662277998,0,0,0.711768662277998
dataset_combo,des_union31,HD,budget_016mmag_ds032,DES_Dovekie_raw,survey,5,0.910288651004708,0,0,0.826646558661274
dataset_combo,des_union31,HD,budget_016mmag_ds032,Union3p1_UNITY1p8,dataset,1,0.4555884154537369,0,0,0.4555884154537369
dataset_combo,des_union31,HD,budget_025mmag_ds050,DES_Dovekie_raw,survey,5,0.9633259546691028,0,0,0.7659166930449518
dataset_combo,des_union31,HD,budget_025mmag_ds050,Union3p1_UNITY1p8,dataset,1,0.2942635416699057,0,0,0.2942635416699057
dataset_combo,des_union31,HD,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,5,0.8342483474821122,0,0,0.5089785537872862
dataset_combo,des_union31,HD,budget_050mmag_ds100_stress,Union3p1_UNITY1p8,dataset,1,0.1478406571944247,0,0,0.1478406571944247
dataset_combo,des_union31,HEL,budget_010mmag_ds020,DES_Dovekie_raw,survey,5,0.7972288721017278,0,0,0.2684070164030005
dataset_combo,des_union31,HEL,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.711768662277998,0,0,0.711768662277998
dataset_combo,des_union31,HEL,budget_016mmag_ds032,DES_Dovekie_raw,survey,5,0.5663516886441647,0,0,0.2952778295953765
dataset_combo,des_union31,HEL,budget_016mmag_ds032,Union3p1_UNITY1p8,dataset,1,0.4555884154537369,0,0,0.4555884154537369
dataset_combo,des_union31,HEL,budget_025mmag_ds050,DES_Dovekie_raw,survey,5,0.623757798785175,0,0,0.2707126954353716
dataset_combo,des_union31,HEL,budget_025mmag_ds050,Union3p1_UNITY1p8,dataset,1,0.2942635416699057,0,0,0.2942635416699057
dataset_combo,des_union31,HEL,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,5,0.5257120188445066,0,0,0.1931411268179682
dataset_combo,des_union31,HEL,budget_050mmag_ds100_stress,Union3p1_UNITY1p8,dataset,1,0.1478406571944247,0,0,0.1478406571944247
dataset_combo,pantheon_des,CMB_PANTHEON_ONLY,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,7.381294185479334,6,4,2.7293357965577565
dataset_combo,pantheon_des,CMB_PANTHEON_ONLY,budget_010mmag_ds020,DES_Dovekie_raw,survey,5,1.2864991256177587,0,0,0.6019407677364783
dataset_combo,pantheon_des,CMB_PANTHEON_ONLY,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.243815508716168,8,3,3.2050274780720542
dataset_combo,pantheon_des,CMB_PANTHEON_ONLY,budget_016mmag_ds032,DES_Dovekie_raw,survey,5,0.910288651004708,0,0,0.8266465586612751
dataset_combo,pantheon_des,CMB_PANTHEON_ONLY,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.072527139222866,7,1,3.084713862148117
dataset_combo,pantheon_des,CMB_PANTHEON_ONLY,budget_025mmag_ds050,DES_Dovekie_raw,survey,5,0.963325954669104,0,0,0.7659166930449518
dataset_combo,pantheon_des,CMB_PANTHEON_ONLY,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,2.906149036761797,0,0,2.0573878121338813
dataset_combo,pantheon_des,CMB_PANTHEON_ONLY,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,5,0.8342483474821133,0,0,0.5089785537872861
dataset_combo,pantheon_des,HD,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,7.755095313067111,8,4,3.167113555364761
dataset_combo,pantheon_des,HD,budget_010mmag_ds020,DES_Dovekie_raw,survey,5,1.2864991256177587,0,0,0.6019407677364783
dataset_combo,pantheon_des,HD,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.690010882184941,8,3,3.5765652699161192
dataset_combo,pantheon_des,HD,budget_016mmag_ds032,DES_Dovekie_raw,survey,5,0.910288651004708,0,0,0.8266465586612751
dataset_combo,pantheon_des,HD,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.4500388054687,8,1,3.4452237718438985
dataset_combo,pantheon_des,HD,budget_025mmag_ds050,DES_Dovekie_raw,survey,5,0.963325954669104,0,0,0.7659166930449518
dataset_combo,pantheon_des,HD,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,3.137134678972725,1,0,2.2590582156667436
dataset_combo,pantheon_des,HD,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,5,0.8342483474821133,0,0,0.5089785537872861
dataset_combo,pantheon_des,HEL,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,8.204487686531156,7,4,2.943151336047385
dataset_combo,pantheon_des,HEL,budget_010mmag_ds020,DES_Dovekie_raw,survey,5,0.7972288721017278,0,0,0.2684070164030005
dataset_combo,pantheon_des,HEL,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.951667635108403,9,3,3.30112804396516
dataset_combo,pantheon_des,HEL,budget_016mmag_ds032,DES_Dovekie_raw,survey,5,0.5663516886441647,0,0,0.2952778295953764
dataset_combo,pantheon_des,HEL,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.045631076905052,8,1,3.213748709833819
dataset_combo,pantheon_des,HEL,budget_025mmag_ds050,DES_Dovekie_raw,survey,5,0.6237577987851748,0,0,0.2707126954353716
dataset_combo,pantheon_des,HEL,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,2.700388610532333,0,0,2.0992351056112875
dataset_combo,pantheon_des,HEL,budget_050mmag_ds100_stress,DES_Dovekie_raw,survey,5,0.5257120188445065,0,0,0.1931411268179683
dataset_combo,pantheon_only,CMB_PANTHEON_ONLY,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,7.381294185479334,6,4,2.729335796557756
dataset_combo,pantheon_only,CMB_PANTHEON_ONLY,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.243815508716168,8,3,3.2050274780720542
dataset_combo,pantheon_only,CMB_PANTHEON_ONLY,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.072527139222866,7,1,3.084713862148117
dataset_combo,pantheon_only,CMB_PANTHEON_ONLY,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,2.9061490367617964,0,0,2.0573878121338818
dataset_combo,pantheon_only,HD,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,7.755095313067109,8,4,3.167113555364761
dataset_combo,pantheon_only,HD,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.690010882184941,8,3,3.576565269916118
dataset_combo,pantheon_only,HD,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.450038805468702,8,1,3.4452237718438994
dataset_combo,pantheon_only,HD,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,3.137134678972725,1,0,2.2590582156667436
dataset_combo,pantheon_only,HEL,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,8.204487686531158,7,4,2.943151336047385
dataset_combo,pantheon_only,HEL,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.951667635108403,9,3,3.301128043965159
dataset_combo,pantheon_only,HEL,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.045631076905051,8,1,3.213748709833819
dataset_combo,pantheon_only,HEL,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,2.7003886105323325,0,0,2.0992351056112875
dataset_combo,pantheon_union31,CMB_PANTHEON_ONLY,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,7.381294185479334,6,4,2.7293357965577565
dataset_combo,pantheon_union31,CMB_PANTHEON_ONLY,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.711768662277998,0,0,0.711768662277998
dataset_combo,pantheon_union31,CMB_PANTHEON_ONLY,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.243815508716168,8,3,3.2050274780720542
dataset_combo,pantheon_union31,CMB_PANTHEON_ONLY,budget_016mmag_ds032,Union3p1_UNITY1p8,dataset,1,0.4555884154537369,0,0,0.4555884154537369
