gate,case_label,frame,offset_mode,prior_config,N,FR_BIC_base,FR_posterior,FR_max_pull,LCDMfree_Om,LCDMfree_BIC_base,delta_BIC_FR_minus_LCDMfree,delta_posterior_FR_minus_LCDMfree,LCDM03_BIC_base,delta_BIC_FR_minus_LCDM03,case_datasets,case_z_min,case_max_z
redshift_band,all_z,CMB_PANTHEON_ONLY,dataset+idsurvey,budget_010mmag_ds020,3420,3704.2716265522135,3694.197242597165,7.381294185479334,0.5222079917733223,3829.7173172778566,-125.44569072564308,-117.30829489558664,4437.908392251616,-733.6367656994021,"pantheon,des_raw,union31",0.01,
redshift_band,all_z,CMB_PANTHEON_ONLY,dataset+idsurvey,budget_016mmag_ds032,3420,3512.098599256728,3494.844434231524,6.243815508716168,0.4856475704857633,3615.760736901252,-103.66213764452368,-95.52474181446723,3910.285772267804,-398.1871730110756,"pantheon,des_raw,union31",0.01,
redshift_band,all_z,CMB_PANTHEON_ONLY,dataset+idsurvey,budget_025mmag_ds050,3420,3367.9519434213357,3340.77325969668,5.072527139222865,0.4291735833825129,3435.715197989629,-67.76325456829363,-59.625858738237184,3544.500955585545,-176.54901216420967,"pantheon,des_raw,union31",0.01,
redshift_band,all_z,CMB_PANTHEON_ONLY,dataset+idsurvey,budget_050mmag_ds100_stress,3420,3248.8804800164035,3200.677665913855,2.906149036761797,0.3577473865971274,3248.6668352271167,0.2136447892867181,8.351040619343166,3260.856345960364,-11.975865943959889,"pantheon,des_raw,union31",0.01,
redshift_band,all_z,CMB_PANTHEON_ONLY,none,none,3420,4115.907365821276,4115.907365821276,,0.4615893678540625,4493.006463647133,-377.0990978258578,-368.9617019958014,6112.16812889892,-1996.2607630776447,"pantheon,des_raw,union31",0.01,
redshift_band,all_z,HD,dataset+idsurvey,budget_010mmag_ds020,3422,3765.781661459356,3755.7022025636793,7.755095313067109,0.5290114974886245,3887.988962371377,-122.20730091202086,-114.06932045756868,4529.2779058131,-763.4962443537438,"pantheon,des_raw,union31",0.01,
redshift_band,all_z,HD,dataset+idsurvey,budget_016mmag_ds032,3422,3545.6984402769504,3528.4350426554283,6.690010882184941,0.4914267780204444,3650.466532337688,-104.76809206073722,-96.63011160628504,3961.465585764056,-415.7671454871056,"pantheon,des_raw,union31",0.01,
redshift_band,all_z,HD,dataset+idsurvey,budget_025mmag_ds050,3422,3376.8990954617634,3349.706647940667,5.450038805468702,0.4326418312588249,3448.0520364686186,-71.15294100685514,-63.01496055240296,3562.413162339258,-185.5140668774952,"pantheon,des_raw,union31",0.01,
redshift_band,all_z,HD,dataset+idsurvey,budget_050mmag_ds100_stress,3422,3232.22844356271,3184.007030027045,3.137134678972725,0.3580690562909316,3233.991207939602,-1.7627643768923915,6.375216077559799,3246.381477035844,-14.1530334731342,"pantheon,des_raw,union31",0.01,
redshift_band,all_z,HD,none,none,3422,4227.901691317376,4227.901691317376,,0.4641198297281972,4616.454995238515,-388.55330392113865,-380.41532346668646,6281.802859923864,-2053.901168606488,"pantheon,des_raw,union31",0.01,
redshift_band,all_z,HEL,dataset+idsurvey,budget_010mmag_ds020,3418,3733.496339883253,3723.424420275582,8.204487686531156,0.5283670330914357,3864.161729426869,-130.66538954361658,-122.52857867994088,4501.697506870149,-768.2011669868962,"pantheon,des_raw,union31",0.01,
redshift_band,all_z,HEL,dataset+idsurvey,budget_016mmag_ds032,3418,3528.7244623495385,3511.475119880125,6.951667635108402,0.4895741308562001,3641.5765161912864,-112.85205384174787,-104.71524297807218,3946.7043750375374,-417.9799126879989,"pantheon,des_raw,union31",0.01,
redshift_band,all_z,HEL,dataset+idsurvey,budget_025mmag_ds050,3418,3377.4322089451143,3350.2619712200435,5.045631076905052,0.4305494471999804,3455.092242465684,-77.66003352056987,-69.52322265689418,3565.737309778964,-188.3051008338498,"pantheon,des_raw,union31",0.01,
redshift_band,all_z,HEL,dataset+idsurvey,budget_050mmag_ds100_stress,3418,3255.432514605651,3207.2456331671983,2.7003886105323325,0.3567438766994025,3263.2138223372767,-7.78130773162593,0.3555031320497619,3274.664690652528,-19.23217604687716,"pantheon,des_raw,union31",0.01,
redshift_band,all_z,HEL,none,none,3418,4173.705514868556,4173.705514868556,,0.465842674822967,4569.949049361286,-396.24353449272985,-388.1067236290546,6267.4337241877465,-2093.7282093191907,"pantheon,des_raw,union31",0.01,
redshift_band,low_z_0p01_0p10,CMB_PANTHEON_ONLY,dataset+idsurvey,budget_010mmag_ds020,821,1060.3383391616985,1056.974716473253,4.63374240094211,0.5999999302136376,1078.4581596378769,-18.11982047617857,-11.40929736672615,1157.8468481463876,-97.50850898468934,"pantheon,des_raw,union31",0.01,0.1
redshift_band,low_z_0p01_0p10,CMB_PANTHEON_ONLY,dataset+idsurvey,budget_016mmag_ds032,821,1007.3805747411828,1000.1477023118676,5.001747952106972,0.5999999302136376,1023.0815903711324,-15.70101562994978,-8.990492520497355,1083.5168663595105,-76.13629161832773,"pantheon,des_raw,union31",0.01,0.1
redshift_band,low_z_0p01_0p10,CMB_PANTHEON_ONLY,dataset+idsurvey,budget_025mmag_ds050,821,947.5159265587326,934.0994168706673,4.416440181646062,0.5999999302136376,960.3667625487776,-12.85083599004497,-6.14031288059266,998.793977159024,-51.27805060029141,"pantheon,des_raw,union31",0.01,0.1
redshift_band,low_z_0p01_0p10,CMB_PANTHEON_ONLY,dataset+idsurvey,budget_050mmag_ds100_stress,821,876.6370794469128,848.6992422791138,2.7196238659352314,0.5999999302136376,885.7649338530935,-9.127854406180631,-2.4173312967282072,895.8715056151626,-19.2344261682498,"pantheon,des_raw,union31",0.01,0.1
redshift_band,low_z_0p01_0p10,CMB_PANTHEON_ONLY,none,none,821,1120.5651349391826,1120.5651349391826,,0.5999999302136376,1141.3522995595715,-20.78716462038915,-14.076641510936724,1242.076712486687,-121.51157754750444,"pantheon,des_raw,union31",0.01,0.1
redshift_band,low_z_0p01_0p10,HD,dataset+idsurvey,budget_010mmag_ds020,823,1086.981107153314,1083.6138761687253,4.944752159446868,0.5999999302136376,1106.2456225943522,-19.26451544103816,-12.55155924036103,1192.6226527937088,-105.64154564039472,"pantheon,des_raw,union31",0.01,0.1
redshift_band,low_z_0p01_0p10,HD,dataset+idsurvey,budget_016mmag_ds032,823,1022.128638060929,1014.8887570950176,5.352895943744096,0.5999999302136376,1038.7304576779477,-16.601819617018464,-9.888863416341223,1104.4696602837607,-82.34102222283173,"pantheon,des_raw,union31",0.01,0.1
redshift_band,low_z_0p01_0p10,HD,dataset+idsurvey,budget_025mmag_ds050,823,947.6708683387284,934.2434303286034,4.74513556772772,0.5999999302136376,961.1204310818624,-13.449562743134038,-6.736606542456912,1002.7716885703776,-55.100820231649095,"pantheon,des_raw,union31",0.01,0.1
redshift_band,low_z_0p01_0p10,HD,dataset+idsurvey,budget_050mmag_ds100_stress,823,857.5006620762857,829.5475228585186,2.941825678599578,0.5999999302136376,866.8233212645937,-9.322659188307966,-2.60970298763084,877.3826077564338,-19.88194568014808,"pantheon,des_raw,union31",0.01,0.1
redshift_band,low_z_0p01_0p10,HD,none,none,823,1159.632471194459,1159.632471194459,,0.5999999302136376,1181.8168933553484,-22.184422160889422,-15.4714659602123,1291.2782675866283,-131.64579639216936,"pantheon,des_raw,union31",0.01,0.1
redshift_band,low_z_0p01_0p10,HEL,dataset+idsurvey,budget_010mmag_ds020,819,1046.7664824035635,1043.4045012616168,4.14967473809635,0.5999999302136376,1064.3629057077944,-17.59642330423094,-10.88833922037793,1141.8808429617372,-95.11436055817376,"pantheon,des_raw,union31",0.01,0.1
redshift_band,low_z_0p01_0p10,HEL,dataset+idsurvey,budget_016mmag_ds032,819,997.984057252718,990.7548884285192,4.496625675594618,0.5999999302136376,1013.3463537069985,-15.362296454280454,-8.65421237042733,1073.203547548229,-75.21949029551104,"pantheon,des_raw,union31",0.01,0.1
redshift_band,low_z_0p01_0p10,HEL,dataset+idsurvey,budget_025mmag_ds050,819,942.3223298858788,928.9129839595844,3.987426944095952,0.5999999302136376,955.0433467689847,-12.721016883106016,-6.012932799252894,994.342037322004,-52.01970743612526,"pantheon,des_raw,union31",0.01,0.1
redshift_band,low_z_0p01_0p10,HEL,dataset+idsurvey,budget_050mmag_ds100_stress,819,876.5881097073344,848.6647242029956,2.4672246512223004,0.5999999302136376,885.8612758945179,-9.273166187183506,-2.565082103330383,898.7266547093336,-22.138545001999205,"pantheon,des_raw,union31",0.01,0.1
redshift_band,low_z_0p01_0p10,HEL,none,none,819,1101.360574081771,1101.360574081771,,0.5999999302136376,1121.404222032069,-20.04364795029824,-13.335563866445227,1218.706633728424,-117.34605964665344,"pantheon,des_raw,union31",0.01,0.1
redshift_band,mid_z_0p10_0p50,CMB_PANTHEON_ONLY,dataset+idsurvey,budget_010mmag_ds020,1515,1469.4903159853616,1466.085533528112,4.138973152471768,0.5585753528909263,1534.4545476702642,-64.96423168490264,-57.64106096695923,1850.13135541944,-380.6410394340785,"pantheon,des_raw,union31",0.1,0.5
redshift_band,mid_z_0p10_0p50,CMB_PANTHEON_ONLY,dataset+idsurvey,budget_016mmag_ds032,1515,1431.7615977016098,1425.4600850592417,4.107753131285286,0.5290376827650227,1493.3909926559966,-61.629394954386726,-54.30622423644331,1665.0918662040426,-233.3302685024328,"pantheon,des_raw,union31",0.1,0.5
