frame,offset_mode,prior_config,alpha,offset_label,offset_type,prior_sigma_mag,offset_mag,pull_sigma
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,DES_Dovekie_raw:IDSURVEY_10,survey,0.025,0.015190141760608651,0.607605670424346
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,DES_Dovekie_raw:IDSURVEY_150,survey,0.025,-0.019532764416947797,-0.7813105766779118
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,DES_Dovekie_raw:IDSURVEY_64,survey,0.025,-0.01222933759548876,-0.4891735038195504
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,DES_Dovekie_raw:IDSURVEY_65,survey,0.025,-0.019147917326123795,-0.7659166930449518
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,PantheonPlusSH0ES:IDSURVEY_1,survey,0.025,-0.11606939069201054,-4.642775627680422
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,PantheonPlusSH0ES:IDSURVEY_10,survey,0.025,-0.10173581381918456,-4.069432552767382
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,PantheonPlusSH0ES:IDSURVEY_15,survey,0.025,-0.08733920109617863,-3.493568043847145
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,PantheonPlusSH0ES:IDSURVEY_150,survey,0.025,-0.13625097013671753,-5.450038805468701
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,PantheonPlusSH0ES:IDSURVEY_4,survey,0.025,-0.06326477062224753,-2.530590824889901
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,PantheonPlusSH0ES:IDSURVEY_5,survey,0.025,-0.08522803435722248,-3.4091213742888993
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,PantheonPlusSH0ES:IDSURVEY_50,survey,0.025,-0.04341566434877888,-1.736626573951155
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,PantheonPlusSH0ES:IDSURVEY_51,survey,0.025,-0.062347878863429594,-2.493915154537184
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,PantheonPlusSH0ES:IDSURVEY_56,survey,0.025,-0.04216390869452788,-1.6865563477811152
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,PantheonPlusSH0ES:IDSURVEY_57,survey,0.025,-0.08703315423497249,-3.4813261693988995
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,PantheonPlusSH0ES:IDSURVEY_63,survey,0.025,-0.05307617657310187,-2.1230470629240745
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,PantheonPlusSH0ES:IDSURVEY_64,survey,0.025,-0.097294268882519,-3.89177075530076
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,PantheonPlusSH0ES:IDSURVEY_65,survey,0.025,-0.06846963836737138,-2.738785534694855
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,Union3p1_UNITY1p8,dataset,0.05,-0.014713177083495284,-0.29426354166990565
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,DES_Dovekie_raw:IDSURVEY_OTHER,survey,0.025,-0.024083148866727615,-0.9633259546691045
HD,dataset+idsurvey,budget_025mmag_ds050,0.0,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.025,-0.10154931410612193,-4.061972564244877
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,DES_Dovekie_raw:IDSURVEY_10,survey,0.025,-0.3886823174697681,-15.547292698790724
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,DES_Dovekie_raw:IDSURVEY_150,survey,0.025,-0.08893231339128992,-3.5572925356515963
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,DES_Dovekie_raw:IDSURVEY_64,survey,0.025,-0.057934129284617365,-2.3173651713846946
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,DES_Dovekie_raw:IDSURVEY_65,survey,0.025,-0.06252057098222412,-2.5008228392889644
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,PantheonPlusSH0ES:IDSURVEY_1,survey,0.025,-0.2754657224847595,-11.018628899390379
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,PantheonPlusSH0ES:IDSURVEY_10,survey,0.025,-0.377177912549175,-15.087116501967
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,PantheonPlusSH0ES:IDSURVEY_15,survey,0.025,-0.3249163839314027,-12.996655357256108
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,PantheonPlusSH0ES:IDSURVEY_150,survey,0.025,-0.2400966929580685,-9.60386771832274
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,PantheonPlusSH0ES:IDSURVEY_4,survey,0.025,-0.39024967526716897,-15.609987010686758
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,PantheonPlusSH0ES:IDSURVEY_5,survey,0.025,-0.13106617639564336,-5.242647055825734
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,PantheonPlusSH0ES:IDSURVEY_50,survey,0.025,-0.05808394520557915,-2.323357808223166
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,PantheonPlusSH0ES:IDSURVEY_51,survey,0.025,-0.11039665195617075,-4.41586607824683
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,PantheonPlusSH0ES:IDSURVEY_56,survey,0.025,-0.05068541791887397,-2.0274167167549586
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,PantheonPlusSH0ES:IDSURVEY_57,survey,0.025,-0.13466758494937137,-5.386703397974855
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,PantheonPlusSH0ES:IDSURVEY_63,survey,0.025,-0.08480344263591544,-3.3921377054366175
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,PantheonPlusSH0ES:IDSURVEY_64,survey,0.025,-0.13447469848647958,-5.378987939459183
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,PantheonPlusSH0ES:IDSURVEY_65,survey,0.025,-0.09972473250758211,-3.988989300303284
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,Union3p1_UNITY1p8,dataset,0.05,-0.5051125042119248,-10.102250084238495
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,DES_Dovekie_raw:IDSURVEY_OTHER,survey,0.025,-0.062048717352601666,-2.4819486941040667
HD,dataset+idsurvey,budget_025mmag_ds050,0.5,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.025,-0.23800193983693502,-9.5200775934774
HD,dataset+idsurvey,budget_025mmag_ds050,1.0,DES_Dovekie_raw:IDSURVEY_10,survey,0.025,-0.7925547767001451,-31.702191068005803
HD,dataset+idsurvey,budget_025mmag_ds050,1.0,DES_Dovekie_raw:IDSURVEY_150,survey,0.025,-0.15833186236563196,-6.333274494625278
HD,dataset+idsurvey,budget_025mmag_ds050,1.0,DES_Dovekie_raw:IDSURVEY_64,survey,0.025,-0.10363892097374658,-4.1455568389498625
HD,dataset+idsurvey,budget_025mmag_ds050,1.0,DES_Dovekie_raw:IDSURVEY_65,survey,0.025,-0.10589322463832439,-4.235728985532975
HD,dataset+idsurvey,budget_025mmag_ds050,1.0,PantheonPlusSH0ES:IDSURVEY_1,survey,0.025,-0.43486205427750924,-17.394482171100368
HD,dataset+idsurvey,budget_025mmag_ds050,1.0,PantheonPlusSH0ES:IDSURVEY_10,survey,0.025,-0.6526200112791641,-26.104800451166565
