frame,offset_mode,prior_config,N,FR_BIC_base,FR_posterior,FR_max_pull,LCDMfree_Om,LCDMfree_BIC_base,delta_BIC_FR_minus_LCDMfree,delta_posterior_FR_minus_LCDMfree,LCDM03_BIC_base,delta_BIC_FR_minus_LCDM03
CMB_PANTHEON_ONLY,dataset+idsurvey,budget_010mmag_ds020,3420,3704.2716265522135,3694.1972425971653,7.381294185479334,0.5222079917733223,3829.7173172778566,-125.44569072564309,-117.30829489558664,4437.908392251616,-733.6367656994021
CMB_PANTHEON_ONLY,dataset+idsurvey,budget_016mmag_ds032,3420,3512.098599256728,3494.8444342315233,6.2438155087161675,0.48564757048576335,3615.7607369012517,-103.66213764452368,-95.52474181446723,3910.2857722678036,-398.18717301107563
CMB_PANTHEON_ONLY,dataset+idsurvey,budget_025mmag_ds050,3420,3367.9519434213353,3340.77325969668,5.072527139222865,0.42917358338251294,3435.715197989629,-67.76325456829363,-59.625858738237184,3544.500955585545,-176.54901216420967
CMB_PANTHEON_ONLY,dataset+idsurvey,budget_050mmag_ds100_stress,3420,3248.8804800164035,3200.677665913855,2.906149036761797,0.35774738659712746,3248.6668352271167,0.21364478928671815,8.351040619343166,3260.8563459603633,-11.975865943959889
CMB_PANTHEON_ONLY,none,none,3420,4115.907365821276,4115.907365821276,,0.4615893678540625,4493.006463647133,-377.0990978258578,-368.9617019958014,6112.16812889892,-1996.2607630776447
HD,dataset+idsurvey,budget_010mmag_ds020,3422,3765.781661459356,3755.7022025636793,7.755095313067109,0.5290114974886245,3887.988962371377,-122.20730091202086,-114.06932045756867,4529.2779058131,-763.4962443537438
HD,dataset+idsurvey,budget_016mmag_ds032,3422,3545.6984402769504,3528.4350426554283,6.690010882184941,0.49142677802044443,3650.4665323376876,-104.76809206073722,-96.63011160628503,3961.465585764056,-415.7671454871056
HD,dataset+idsurvey,budget_025mmag_ds050,3422,3376.8990954617634,3349.706647940667,5.450038805468702,0.4326418312588249,3448.0520364686186,-71.15294100685514,-63.014960552402954,3562.4131623392586,-185.51406687749522
HD,dataset+idsurvey,budget_050mmag_ds100_stress,3422,3232.22844356271,3184.007030027045,3.137134678972725,0.3580690562909316,3233.991207939602,-1.7627643768923917,6.375216077559799,3246.381477035844,-14.153033473134201
HD,none,none,3422,4227.901691317376,4227.901691317376,,0.46411982972819726,4616.454995238515,-388.55330392113865,-380.41532346668646,6281.802859923864,-2053.9011686064878
HEL,dataset+idsurvey,budget_010mmag_ds020,3418,3733.4963398832524,3723.424420275582,8.204487686531156,0.5283670330914357,3864.161729426869,-130.66538954361658,-122.52857867994089,4501.697506870149,-768.2011669868962
HEL,dataset+idsurvey,budget_016mmag_ds032,3418,3528.7244623495385,3511.475119880125,6.951667635108402,0.4895741308562001,3641.5765161912864,-112.85205384174787,-104.71524297807218,3946.7043750375374,-417.9799126879989
HEL,dataset+idsurvey,budget_025mmag_ds050,3418,3377.4322089451143,3350.2619712200435,5.045631076905052,0.43054944719998045,3455.092242465684,-77.66003352056987,-69.52322265689418,3565.737309778964,-188.3051008338498
HEL,dataset+idsurvey,budget_050mmag_ds100_stress,3418,3255.432514605651,3207.2456331671983,2.7003886105323325,0.3567438766994025,3263.2138223372767,-7.78130773162593,0.3555031320497619,3274.664690652528,-19.232176046877157
HEL,none,none,3418,4173.705514868556,4173.705514868556,,0.465842674822967,4569.949049361286,-396.24353449272985,-388.1067236290546,6267.4337241877465,-2093.7282093191907
