parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_ydisk,-0.5866222757805588,0.025702119202666664,-0.6351420865779001,-0.5388620233896496,0.0007269768500568193,0.0003513798143529539,1251.052471131229,2182.383868403833,1.0014075469264727
log_ybul,-0.5065997928185952,0.028638309090042703,-0.5626163134289212,-0.4550455495872669,0.00085046442166298,0.00041834397535538376,1133.814549402837,2510.9526552308866,1.0011591005505986
logd[0],-0.2702369743389028,0.03203421022460016,-0.3095200357123367,-0.21100162188182872,0.00034943387095483767,0.00044422841149990475,6146.362093409904,3511.616422335613,1.0003572140422468
logd[1],-0.15662546848896203,0.15959617918896057,-0.4656187600634338,0.1309146305924307,0.0015263788525009465,0.0019473062715816556,10946.448268302582,5605.430868402308,1.0013588047782278
logd[2],-0.024865863846241266,0.030465405844244738,-0.08264912593883783,0.03156043982243396,0.00031729286020951825,0.0004251882038036733,9197.01948798967,4306.919983397036,1.0012039535929869
logd[3],-0.04409861089483477,0.024842286433565598,-0.0921689146037483,0.0015380282108865906,0.00027302908098617555,0.0003124161673464129,8246.451000625617,4849.7114125360695,1.0007178227786213
logd[4],0.0048004307098426,0.10310541313764854,-0.1903696661945786,0.19733884784059394,0.0010342925783065682,0.0011273655274806685,10088.13378594629,5881.841070752215,1.0010497253134991
logd[5],-0.01193441804842004,0.03503042056016176,-0.07587720172398911,0.05423707023288263,0.0003809339512072638,0.00043820721073485977,8431.662420007153,5535.122820447776,0.9997277206420033
logd[6],-0.40583444983646483,0.02933741059142636,-0.46140868457425127,-0.35097767989973716,0.0003137259823686167,0.00032080133481956715,8735.72602740921,6388.541690957119,0.9998022817625023
logd[7],-0.05810685148094386,0.03742373376687622,-0.12952208574303176,0.010428889737728108,0.00037744837088845754,0.00043490201666590935,9778.009866441043,5464.15703400273,1.0007722441380464
logd[8],-0.3427926542334958,0.053555048621769664,-0.44353632145853145,-0.242046496839134,0.0005268303368059403,0.0006350013663446865,10478.2405158409,6207.129288366663,0.9999063859228765
logd[9],0.16448505709668054,0.11012185729998888,-0.04077201942002148,0.36920855329586744,0.0014394617494721013,0.0012428024119163677,5864.435763477871,4933.501249910207,1.000203182825331
logd[10],0.4081591941362377,0.065715035227686,0.2833217509413636,0.5288682239440923,0.0006219720311173848,0.0008890164542543184,11095.397474428259,5015.010460070547,1.0013248108612565
logd[11],0.3264087162978833,0.04773626184754624,0.244541509041789,0.39749213252840093,0.0005346270770583599,0.0005373170655216732,6620.267977541955,4108.842342538336,1.000245921624752
logd[12],0.3719804162953766,0.07109266947511497,0.2318093786283059,0.49689772209723565,0.0010804149626745588,0.0008341991775051668,4322.008157504104,4243.246337837371,1.0005390224229997
logd[13],0.3320811468011054,0.07752248818425785,0.18884579930864173,0.4812078864941254,0.0007373852606942852,0.0009200677724873226,11203.823991639281,5854.458815627989,1.0006971163310538
logd[14],0.46848494909807575,0.11147062492349834,0.2635554815639298,0.6828685769015438,0.0010277704962644144,0.0013838021720957731,11768.925034062853,5589.559901741943,1.0006300981628997
logd[15],0.26923870851802145,0.085894852302518,0.10967975194438172,0.4321026841750309,0.0009310986732444305,0.0009700165023307323,8591.811868422285,5624.963832437362,1.000268400056285
logd[16],0.33428740454140765,0.07828729522684379,0.18621989268047193,0.48008817423036654,0.0007653061440764094,0.0008852397436649025,10282.803891848711,5016.719006681672,1.0004090476850171
logd[17],0.08188142615377504,0.07418891073289571,-0.06314326337499983,0.21231863116989308,0.000591087718708745,0.0009269249638253883,15940.800221251686,5793.096580543292,1.000235883381849
logd[18],0.3059332735680908,0.07123044032414765,0.17612132970524416,0.4405717065354803,0.0006652128870770063,0.0008410064199847514,11331.21173002567,5458.496293733036,1.0001213823423678
logd[19],0.6481482716369766,0.04290456464756497,0.568691377131742,0.7272171494699345,0.0005669209566630249,0.0004761847887072542,5560.481873912418,5333.3832206032275,1.0001275985877278
logd[20],0.03704145644849792,0.06665805845396634,-0.08845880874073114,0.1603100612847269,0.0006845843755898468,0.0007606445322081414,9509.121208599247,6003.632931437455,1.000117984109494
logd[21],0.08432942090541755,0.07363075772415169,-0.061113567059973,0.21727005647929135,0.0006470006901310914,0.0010524954806597786,13316.787174658333,4726.30579308859,0.9999595160300203
logd[22],0.11828679040354259,0.08085193230269774,-0.03669198712654944,0.2662361476110461,0.0006923131763245746,0.0010645236440152968,13603.444830707343,5703.170909477789,1.0003179608711097
