model,latent,galaxy,fraction_abs_ge_3p8,fraction_abs_ge_3p8_divergent,fraction_abs_ge_3p8_nondivergent,posterior_mean,posterior_sd,posterior_q01,posterior_q99
RAR,z_logd,CamB,0.2705,0.0,0.2706014755533325,-3.492293206841201,0.4139805629025248,-3.9936427821493834,-2.2040859439166827
RAR,z_logd,D512-2,0.0,0.0,0.0,-0.9089921324723869,0.5319872639632025,-2.1504176908818162,0.3124493052081449
RAR,z_logd,D564-8,0.0,0.0,0.0,-0.7806105114587901,0.9563961334675396,-2.97085325238791,1.4330194142946309
RAR,z_logd,D631-7,0.001125,0.0,0.0011254220332624733,-1.4699536964944946,0.8280762144521866,-3.388293827931259,0.42891080116935215
RAR,z_logd,DDO064,0.0,0.0,0.0,-0.37090580180970484,0.34368471045882787,-1.1871610818737357,0.37464030672102955
RAR,z_logd,DDO154,0.0,0.0,0.0,-0.24107524457808427,0.707614495315268,-1.896821578719444,1.408648968050208
RAR,z_logd,DDO161,0.0,0.0,0.0,-1.7396887369640643,0.09779136863808793,-1.9743475597413196,-1.5206702251973843
RAR,z_logd,DDO168,0.000125,0.0,0.00012504689258471927,-1.1759719942571971,0.7573850881391613,-2.928890765990619,0.6120717956432528
RAR,z_logd,DDO170,0.0,0.0,0.0,-1.529549418287494,0.17851682873923203,-1.9817790646448592,-1.134499375610001
RAR,z_logd,ESO079-G014,0.0,0.0,0.0,0.19378658629298037,0.4407946031394256,-0.8551216039497337,1.1714289704911047
RAR,z_logd,ESO116-G012,0.0,0.0,0.0,0.9736234096116152,0.2190501174256203,0.4339316101023298,1.4711490140546875
RAR,z_logd,ESO444-G084,0.143875,0.0,0.14392897336501187,3.2844877077474437,0.48034613484093397,1.9636566615710014,3.9878068651610494
RAR,z_logd,ESO563-G021,0.0,0.0,0.0,1.7098045383067608,0.47499278066890016,0.5805018889803322,2.802079459198583
RAR,z_logd,F563-1,0.0,0.0,0.0,1.0778407045218723,0.38682139512349106,0.12441504175508548,1.9422165782967502
RAR,z_logd,F563-V2,0.0,0.0,0.0,1.767986793055951,0.5592265804985592,0.4270269594724061,3.0540405168511215
RAR,z_logd,F565-V2,0.0,0.0,0.0,0.7628871759943097,0.4278224374298498,-0.24450946312599958,1.7033274805308158
RAR,z_logd,F568-1,0.0045,0.0,0.004501688133049893,2.0404249133279175,0.7320265646468801,0.37184990028086123,3.6824837189468287
RAR,z_logd,F568-3,0.0,0.0,0.0,-0.3419074509897911,0.7418891073289579,-2.108513274955932,1.3925117089981567
RAR,z_logd,F568-V1,0.003375,0.0,0.0033762660997874202,1.8986110231533706,0.7123044032414753,0.35922037282897473,3.578075521204615
RAR,z_logd,F571-8,0.0,0.0,0.0,2.6504351542503666,0.21372086875843155,2.097058304277612,3.10230104245465
RAR,z_logd,F571-V1,0.0,0.0,0.0,-0.7912950319776149,0.6674138102703383,-2.362958483982011,0.7286935195301755
RAR,z_logd,F574-1,0.0,0.0,0.0,-0.3174275034733687,0.7363075772415193,-2.0596214221160456,1.410954270837013
RAR,z_logd,F579-V1,0.0,0.0,0.0,0.022146191507890288,0.8085193230269775,-1.825940893578062,1.917064875163452
RAR,z_logd,F583-1,0.0,0.0,0.0,-0.3304189721515368,0.30398062167526385,-1.0352231390147264,0.3704645575892311
RAR,z_logd,F583-4,0.0,0.0,0.0,-0.7382481556070684,0.5367957888844788,-2.005525097450413,0.47833263703277096
RAR,z_logd,IC2574,0.0305,0.0,0.0305114417906715,-2.8011019680434637,0.552971700505188,-3.9337371843416857,-1.4653349013419932
RAR,z_logd,IC4202,0.01225,0.0,0.01225459547330249,2.686451078613211,0.5327271666635138,1.460858025268155,3.826791109728358
RAR,z_logd,KK98-251,0.0,0.0,0.0,-2.2935216088352637,0.2646815442596466,-2.934185222100864,-1.7052769603499087
RAR,z_logd,NGC0024,0.001125,0.0,0.0011254220332624733,1.1741639033956586,0.8997087467412145,-0.7727916914504407,3.3361472339582776
RAR,z_logd,NGC0055,0.015375,0.0,0.01538076778792047,-2.5924458606563743,0.5710669029683061,-3.8593553865294448,-1.285470440197627
RAR,z_logd,NGC0100,0.0,0.0,0.0,0.3378686251893614,0.3583328274286349,-0.5353439568903061,1.085266417484361
RAR,z_logd,NGC0247,0.0,0.0,0.0,-0.5664214313975796,0.8407206253261967,-2.498336615524256,1.3877338954387315
RAR,z_logd,NGC0289,0.0,0.0,0.0,-1.5967488043444507,0.18823185278552687,-2.0388588380085424,-1.171886099204643
RAR,z_logd,NGC0300,0.001,0.0,0.0010003751406777541,1.3623383365574462,0.8746880448397419,-0.6398616324641409,3.3356797895839474
RAR,z_logd,NGC0801,0.826875,0.6666666666666666,0.8269351006627486,-3.8879797587022105,0.10545762369415544,-3.998889426824549,-3.535224235881568
RAR,z_logd,NGC0891,0.126125,0.0,0.12617231461798176,3.1777043400256177,0.5642162838263763,1.6240356175840662,3.983556429876335
RAR,z_logd,NGC1003,0.0,0.0,0.0,0.037688161285058815,0.10234115409306449,-0.2111400914319676,0.2719954856133532
RAR,z_logd,NGC1090,0.0,0.0,0.0,-1.596991282408881,0.24868371878799625,-2.190412144766812,-1.0397384685454147
RAR,z_logd,NGC2403,0.882375,1.0,0.8823308740777792,3.9061269029861103,0.09124986005960795,3.5799693383073725,3.9992245167282254
RAR,z_logd,NGC2683,0.0,0.0,0.0,-0.42151160204633253,0.9335227363413747,-2.5696393897671066,1.7318094943862268
RAR,z_logd,NGC2841,0.044,0.0,0.04401650618982118,3.377309201747866,0.25161287572476737,2.7780744133133517,3.9057736310012383
RAR,z_logd,NGC2915,0.198,0.3333333333333333,0.1979492309616106,3.380730537194089,0.45713424501921723,2.0199675611962213,3.988750182885471
RAR,z_logd,NGC2955,0.026125,0.0,0.026134800550206328,-2.708715992551052,0.6136494395284261,-3.8970952423319347,-1.2096428676146764
RAR,z_logd,NGC2976,0.0,0.0,0.0,0.026703617043607332,0.9675676542918235,-2.2224700856383857,2.25459672644392
RAR,z_logd,NGC2998,0.0,0.0,0.0,-2.0315222912623305,0.45913612558258277,-3.1212984524047815,-0.9943428964953812
RAR,z_logd,NGC3109,0.057375,0.0,0.05739652369638615,2.8421995806410303,0.6643272302932902,1.0973421188609882,3.9554807304344908
RAR,z_logd,NGC3198,0.0,0.0,0.0,-1.4392937557465988,0.32599398847984606,-2.203081933389836,-0.6879191803766046
RAR,z_logd,NGC3521,0.0,0.0,0.0,0.5336348769144444,0.31024835867106243,-0.17946746524702661,1.252116078246494
RAR,z_logd,NGC3726,0.0,0.0,0.0,-1.014504061029797,0.59873867113566,-2.4367649818370523,0.3558913453456058
RAR,z_logd,NGC3741,0.005625,0.0,0.005627110166312367,2.1458204310185547,0.6950534856926672,0.5119477693819157,3.6854051621444692
RAR,z_logd,NGC3769,0.0,0.0,0.0,-0.22074719104172186,0.5690109887190535,-1.5953646652999103,1.087793608941467
RAR,z_logd,NGC3877,0.0,0.0,0.0,-0.5727930292304382,0.7559753680151542,-2.3657069076683146,1.2773672868554762
RAR,z_logd,NGC3893,0.0,0.0,0.0,0.9974725940107014,0.6587887730695883,-0.595344068069994,2.504579769252631
RAR,z_logd,NGC3917,0.0,0.0,0.0,-0.12499667088061867,0.6624238833914774,-1.7191336152826966,1.358556926035393
RAR,z_logd,NGC3949,0.0,0.0,0.0,-0.19121648233823524,0.7834093628560579,-2.0183681558968427,1.6340294430464246
RAR,z_logd,NGC3953,0.0,0.0,0.0,-0.5492832265378307,0.7802210997476575,-2.360075211464291,1.2048477165092293
RAR,z_logd,NGC3972,0.0,0.0,0.0,0.5902517336637104,0.7167663044259236,-1.0848181674136173,2.1920669408703084
RAR,z_logd,NGC3992,0.0,0.0,0.0,-0.5571689233920192,0.7594070240222377,-2.32090011287548,1.1415779750939359
RAR,z_logd,NGC4010,0.0,0.0,0.0,0.30963030439877604,0.6982549326386066,-1.3568137488138081,1.9339779340733692
RAR,z_logd,NGC4013,0.0,0.0,0.0,1.3376109956710989,0.47025461020996623,0.21930888601289258,2.4220106998319912
RAR,z_logd,NGC4051,0.000125,0.0,0.00012504689258471927,-0.974088502808333,0.7501237198303093,-2.7130476702957247,0.7467440568304642
RAR,z_logd,NGC4068,0.00325,0.0,0.003251219207202701,-1.4800907272420836,0.9171162653389412,-3.5504391018015977,0.6958185422290172
RAR,z_logd,NGC4085,0.0,0.0,0.0,-0.35655495519334424,0.7788680467168616,-2.1855806855800335,1.4493282519379354
RAR,z_logd,NGC4088,0.0,0.0,0.0,-1.2988087455113735,0.6317305047827887,-2.7659767579375365,0.11403759675889925
RAR,z_logd,NGC4100,0.0,0.0,0.0,-0.48596972692324314,0.5984301094612112,-1.8770236213457545,0.8653021541836385
RAR,z_logd,NGC4138,0.0,0.0,0.0,0.18527785591154322,0.7678668376653538,-1.615604835338026,1.9348110427120213
RAR,z_logd,NGC4157,0.0,0.0,0.0,-0.1956035039950532,0.581117920316212,-1.5676487395814205,1.141037993932078
RAR,z_logd,NGC4183,0.0,0.0,0.0,-1.4481340570773902,0.5242247517402355,-2.693768074462638,-0.29373147534975447
RAR,z_logd,NGC4214,0.0015,0.0,0.0015005627110166312,1.0811220315089445,0.9498894996459544,-1.1705312865450104,3.292807515006003
RAR,z_logd,NGC4217,0.0,0.0,0.0,2.456347242810648,0.2931593613584243,1.6188063153400185,3.0317876009279985
RAR,z_logd,NGC4559,0.0,0.0,0.0,-0.9760755964246074,0.18918333723636999,-1.4292637452816943,-0.5437975990972088
RAR,z_logd,NGC5005,0.0,0.0,0.0,0.21029117323559254,0.9022558710550221,-1.892860508714456,2.304308449775598
RAR,z_logd,NGC5033,0.0,0.0,0.0,0.12560990287691837,0.14070407319732117,-0.20537639107785893,0.4536050381934629
RAR,z_logd,NGC5055,0.008625,0.0,0.008628235588345629,-2.1611650707888717,0.7350113750834435,-3.777120591800759,-0.39533061053362145
RAR,z_logd,NGC5371,0.980625,1.0,0.9806177316493685,-3.946577592069497,0.05081734907793581,-3.9993908916013545,-3.768842347337207
RAR,z_logd,NGC5585,0.0,0.0,0.0,0.30999588224999447,0.1383326191382614,-0.03977449864610959,0.6109602483463408
RAR,z_logd,NGC5907,0.30275,0.0,0.3028635738401901,-3.5615441525671603,0.3498750514785127,-3.995308457236261,-2.505474407243312
RAR,z_logd,NGC6015,0.0,0.0,0.0,-0.6925666373206579,0.14745075106478364,-1.040821268099391,-0.35404618597298665
RAR,z_logd,NGC6195,0.59725,0.6666666666666666,0.5972239589846192,-3.789105354081674,0.18988073438539396,-3.9975549515724715,-3.1655271774220752
RAR,z_logd,NGC6503,0.00925,0.0,0.009253470051269226,2.3633997231888393,0.6609996829472264,0.7664550564905925,3.783547532316261
RAR,z_logd,NGC6674,0.0,0.0,0.0,-1.5462238299310638,0.310843168273338,-2.2743886944659852,-0.8277642460247769
RAR,z_logd,NGC6789,0.0005,0.0,0.0005001875703388771,0.7479858188788084,0.964919771310592,-1.4744685051430944,2.96979358103016
RAR,z_logd,NGC6946,0.0,0.0,0.0,-0.34635472793054295,0.19985213830448165,-0.8172164201181767,0.11556992473448732
RAR,z_logd,NGC7331,0.0,0.0,0.0,2.319028598331708,0.3311211780650662,1.54183385983788,3.1064992679334753
RAR,z_logd,NGC7793,0.0,0.0,0.0,-0.10280864284017999,0.9075685957872289,-2.1737658102689568,1.9723145855313498
RAR,z_logd,NGC7814,0.303625,0.3333333333333333,0.3036138551956984,3.518944499687036,0.40608412326738874,2.254273523966726,3.9928153345658517
RAR,z_logd,UGC00128,0.0,0.0,0.0,-2.365420355112513,0.14925706395616412,-2.6732145759398835,-1.9697588727409263
RAR,z_logd,UGC00191,0.0,0.0,0.0,-0.7685585982801493,0.2562375871151813,-1.3969716984721965,-0.17670255563226384
RAR,z_logd,UGC00634,0.0,0.0,0.0,0.10118278161906878,0.2227045349213512,-0.45755673295645566,0.6008845406656507
RAR,z_logd,UGC00731,0.0,0.0,0.0,-0.4954126792278032,0.14080736113316095,-0.8223789800290283,-0.16575053002837042
RAR,z_logd,UGC00891,0.0,0.0,0.0,-0.557179412614632,0.21715114525842438,-1.078828747484306,-0.07489444783319947
RAR,z_logd,UGC01230,0.0,0.0,0.0,-1.2809460229420986,0.4416866763150455,-2.328357195983917,-0.27993392219771773
RAR,z_logd,UGC01281,0.0,0.0,0.0,0.494351186024881,0.8826898206863727,-1.6099551348096637,2.5192711197533457
RAR,z_logd,UGC02023,0.0,0.0,0.0,-1.28232607340119,0.5788828063960213,-2.6918845809211396,-0.0012328376726508836
RAR,z_logd,UGC02259,0.0,0.0,0.0,0.2225838611687814,0.3004158613594912,-0.4730690734770454,0.88963982185593
RAR,z_logd,UGC02885,0.0,0.0,0.0,-1.3747080785688153,0.5541520321188684,-2.6938935403017386,-0.08690957915482429
RAR,z_logd,UGC02916,0.0,0.0,0.0,0.6908653830660292,0.2976336407652863,-0.015029733088979437,1.370178326810677
RAR,z_logd,UGC02953,0.0,0.0,0.0,1.0079094748125166,0.07823566094326799,0.8199410589734695,1.1853536765927755
RAR,z_logd,UGC03205,0.0,0.0,0.0,-1.3360073918448334,0.236803304112154,-1.8844411983783484,-0.7857401728549951
RAR,z_logd,UGC03546,0.0,0.0,0.0,0.6023182988148045,0.2411389241795138,0.03443838953843011,1.1545960660681271
RAR,z_logd,UGC04278,0.0,0.0,0.0,0.2662434983108103,0.2868120061081185,-0.4419477114541466,0.8999799385236715
RAR,z_logd,UGC04325,0.0,0.0,0.0,0.3759880174427408,0.3371189109642534,-0.40227884279269643,1.1274846514055787
RAR,z_logd,UGC04483,0.001625,0.0,0.0016256096036013504,-1.4120050617661608,0.7734954576354462,-3.2854368701603085,0.32562417298170854
