galaxy,stratum,distance_method,median_inclination_deg,n_points,selection_hash,stratum_population,stratum_pilot_allocation,selected
CamB,non_hubble__high_inc,2,65.0,9,f9522dbfbb7c95a4380f6ef5c97ed996b355b15247a22a6c2cdd99a899ac711c,47,7,False
D512-2,hubble__low_inc,1,56.0,4,e2a7a3d2135a643e0671bea3bb5160da65bf727ebae038463ba2a4749ae53af5,50,8,False
D564-8,non_hubble__high_inc,2,63.0,6,6fecaecbb5ee20d72e732ad853d51d1d76e8b510c44a7dd934e537dea5a9ebd5,47,7,False
D631-7,non_hubble__low_inc,2,59.0,16,8a24653849a11085747a102a6b0daf297935a45a8cb76dc3432b3d9defec8213,24,4,False
DDO064,hubble__high_inc,1,60.0,14,92bb7c117630fb1f9d091eee02c3dd299e0946802d7dcd2cd52e8a16808a92b2,36,5,False
DDO154,non_hubble__high_inc,2,64.0,12,1b298a0037087bb814fde1abdd7ffb4566694170d759ff83fbbc697b2d56b0ec,47,7,True
DDO161,hubble__high_inc,1,70.0,31,1911354c71cb1448cf7e08c0f70b4c21a2ccf0d40b80e868762b7f56906f81c3,36,5,True
DDO168,non_hubble__high_inc,2,63.0,10,5ab400d44969c7cf6b9233b4ce97e39ca1795a487eb47d864dd53669f433050f,47,7,False
DDO170,hubble__high_inc,1,66.0,8,cf37d3f6f24e5b0cb81336e060d63a884eceda899382dd1d0c8024c3de8b4ca0,36,5,False
ESO079-G014,hubble__high_inc,1,79.0,15,43f1dd20737dbc977621c40863a11dd5433bf44d040e0f74f1ef54ad456f1036,36,5,False
ESO116-G012,hubble__high_inc,1,74.0,15,7d0512d31adbd181724150398a5649f1ac2b1748b9c3819a5cf912d1e599df69,36,5,False
ESO444-G084,non_hubble__low_inc,2,32.0,7,16e57fd415dfc2a00e0c681dbbcca9efb0d709d0e529749f5622e700f0eb97e3,24,4,True
ESO563-G021,hubble__high_inc,1,83.0,30,2192998bbf89c7e34c2417c1cfb52df882c2272da8bd044861190f5f804d3ca1,36,5,True
F563-1,hubble__low_inc,1,25.0,17,5bf7a11c5c80a70cf1c38b02c963ac2316dff41a89c00102caeff62264a2a1df,50,8,False
F563-V2,hubble__low_inc,1,29.0,10,28f1df7a95a67c3471d4dee9d4011b7d6310089d94e240a0683483e63801610c,50,8,False
F565-V2,hubble__high_inc,1,60.0,7,7b01effb9bfcfb7e1c21a573b2094b22b3aaf7b6760b576d55e1a89d69925508,36,5,False
F568-1,hubble__low_inc,1,26.0,12,0239826f94cf99a439454b97980badbc09f149435a4ba1b8703242220b8fb098,50,8,True
F568-3,hubble__low_inc,1,40.0,18,aa9a5dab8acc36402e420a83666e0f1fe49e5eca3848c692e00480eaed8c1907,50,8,False
F568-V1,hubble__low_inc,1,40.0,15,01ad89d69d65e3b93dea68f5ce0256eb60c550e9b87cf1c1dc06cfeb5d22e240,50,8,True
F571-8,hubble__high_inc,1,85.0,13,0c663db15bbe50a77e90eedda0609a8770db40ad7136d9680c559d24180fcad0,36,5,True
F571-V1,hubble__low_inc,1,30.0,7,e37ed96d94c9df2e370e55b8ca9dc773e72606235a06e07ed12798ce16d2fc93,50,8,False
F574-1,hubble__high_inc,1,65.0,14,2bca416974c5d8a6a7529cb955e92002014629ad2a4ca84e9a844aaa0219b5ca,36,5,False
F579-V1,hubble__low_inc,1,26.0,14,2417b19c8664bea9100b826db9ca939f987c812ffeef7a3dfa070e7b284d05a1,50,8,False
