score_case,model,galaxy,N_points,posterior_fit_log_density
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,CamB,9,-46.42979771901285
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,D512-2,4,-10.462019610809785
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,D564-8,6,-17.95784859856417
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,D631-7,16,-67.79326395098849
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,DDO064,14,-39.33754102297017
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,DDO154,12,-27.45658752032992
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,DDO161,31,-77.99849467069032
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,DDO168,10,-34.24189003998883
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,DDO170,8,-19.457554136073824
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,ESO079-G014,15,-58.17879493498551
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,ESO116-G012,15,-43.019950757286665
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,ESO444-G084,7,-21.82741307242451
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,ESO563-G021,30,-266.2062318378245
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F563-1,17,-67.8799895804691
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F563-V2,10,-39.09940970698519
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F565-V2,7,-21.994011893741295
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F568-1,12,-45.681506707177846
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F568-3,18,-68.6399089297983
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F568-V1,15,-57.44148980203157
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F571-8,13,-174.69850043082866
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F571-V1,7,-21.595420894512653
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F574-1,14,-45.93856408317098
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F579-V1,14,-61.87350180993195
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F583-1,25,-87.86443251408139
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,F583-4,12,-32.79552830612891
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,IC2574,34,-88.10573179701505
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,IC4202,32,-418.3669533923958
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,KK98-251,15,-35.595197300654554
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC0024,29,-93.17719862356695
paired_posterior_fit_baseline_all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC0055,21,-57.509056174928304
