category,amp_scale,n_trials,raw_pass_rate,matched_pass_rate,scanlaw_strict_physical_rate,scanlaw_loose_physical_rate,scanlaw_bic_accept_rate,scanlaw_colour_pass_rate,strict_physical_bic_rejected_rate,matched_to_strict_physical_loss_rate,high_snr_rate,amp_too_high_rate,amp_too_low_rate,sep_too_high_rate,delta_bic_p05,delta_bic_p50,delta_bic_p95,scanlaw_snr_p50,scanlaw_sep_deg_p50,scanlaw_amp_ratio_p50
cmb_or_anti,0.25,4000.0,0.0,0.0,0.0,0.0,0.00275,0.0,0.0,0.0,0.6835,0.97325,0.00025,0.7865,5.120343483090256,23.158290416882664,32.95013837059669,3.5751736512720864,71.74999417413179,3.559155478527363
cmb_or_anti,0.5,4000.0,0.00025,0.0325,0.00075,0.182,0.0135,0.0,0.00075,0.0325,0.629,0.65825,0.01275,0.7155,-2.438674130417348,22.60673887901794,34.091856919041305,3.663787275139353,55.619337845611966,1.902219393586983
cmb_or_anti,1.0,4000.0,0.0165,0.56425,0.096,0.515,0.19675,0.0,0.096,0.47975,0.6065,0.37475,0.1095,0.54325,-25.218941485225514,17.035062031915004,34.24754025096481,4.353022594706432,33.019995250912245,1.268850807424614
cmb_or_anti,1.5,4000.0,0.247,0.91,0.42275,0.7495,0.44375,0.23575,0.187,0.497,0.782,0.19275,0.07825,0.30025,-54.658439506209106,4.011955759924604,32.246050082813596,5.642375292963171,21.530136747459423,1.125606698409381
cmb_or_anti,2.0,4000.0,0.698,0.98925,0.80625,0.95625,0.51175,0.434,0.37225,0.186,0.95875,0.0675,0.03025,0.09075,-90.6585011301009,-14.917253277191776,25.697065441851006,7.145528044769991,16.254991171485933,1.0756935266465477
locked,0.25,4000.0,0.0,0.0,0.0,0.0,0.26075,0.0,0.0,0.0,0.9675,0.99975,0.0,0.9585,-35.09485696158517,4.195597715843178,24.520599734817328,5.633841788867832,55.13989442879705,5.356061709593941
locked,0.5,4000.0,0.0,0.00175,0.0,0.0775,0.37075,0.0,0.0,0.00175,0.98675,0.99125,0.0,0.91325,-46.26042055184225,-2.5383217318740208,21.62330979559845,6.209019394783692,47.472359006206645,2.986498597524716
locked,1.0,4000.0,0.011,0.12275,0.0335,0.798,0.656,0.0,0.0335,0.09875,0.99925,0.85,0.0,0.719,-69.39871077322168,-19.463320783121162,10.850790743115788,7.452386468265316,35.87289399877542,1.8821847126548605
locked,1.5,4000.0,0.1285,0.39275,0.25975,0.97525,0.896,0.1935,0.06625,0.194,1.0,0.554,0.0,0.40925,-102.65953567571995,-43.42169740612735,-3.270489735779134,8.916932147049243,28.131999589763907,1.534209595255657
locked,2.0,4000.0,0.412,0.63325,0.6355,0.9965,0.9835,0.6215,0.014,0.127,1.0,0.24075,0.0,0.167,-143.38496353408266,-71.42721673712367,-20.84615298083809,10.372961932440486,23.610225802015236,1.376632139207534
random,0.25,12000.0,0.0,0.0,0.0,0.0,0.0004166666666666667,0.0,0.0,0.0,0.30366666666666664,0.8296666666666667,0.009,0.787,13.507012474467047,30.573987148702145,35.454206835312654,2.301928343107763,54.36181722510617,2.588606643971402
random,0.5,12000.0,0.014,0.028166666666666666,0.008333333333333333,0.245,0.004916666666666666,0.0,0.008333333333333333,0.025833333333333333,0.47658333333333336,0.564,0.025666666666666667,0.6214166666666666,4.71809034439939,27.39212478747504,34.81016327149991,2.906097055456143,36.951542818289894,1.6162421644727574
random,1.0,12000.0,0.4805,0.6063333333333333,0.4290833333333333,0.7864166666666667,0.10425,0.0018333333333333333,0.42725,0.22233333333333333,0.8488333333333333,0.22958333333333333,0.015583333333333333,0.30533333333333335,-17.41278422209434,15.4707922138914,30.7407423065415,4.529108561443334,21.93001658500133,1.2222439155656104
random,1.5,12000.0,0.864,0.9135,0.8188333333333333,0.9715833333333334,0.40575,0.30591666666666667,0.5129166666666667,0.11825,0.9813333333333333,0.06625,0.002916666666666667,0.10433333333333333,-48.505421900455254,-4.110047445239616,22.468725505792804,6.336062452876297,15.245273844782782,1.1200255764734237
random,2.0,12000.0,0.9773333333333334,0.9816666666666667,0.952,0.9965,0.7764166666666666,0.7378333333333333,0.21416666666666667,0.036333333333333336,0.9981666666666666,0.018166666666666668,0.0003333333333333333,0.0285,-87.7809568649085,-32.191607947752345,11.163044565520975,8.268909413563595,11.866744698223487,1.0816799249517346
