direction_label,category,bcut_deg,n_trials,raw_pass_rate,matched_pass_rate,scanlaw_strict_physical_rate,scanlaw_loose_physical_rate,scanlaw_bic_accept_rate,scanlaw_colour_pass_rate,strict_physical_bic_rejected_rate,matched_to_strict_physical_loss_rate,high_snr_rate,amp_too_high_rate,amp_too_low_rate,sep_too_high_rate,delta_bic_p05,delta_bic_p50,delta_bic_p95,scanlaw_snr_p50,scanlaw_sep_deg_p50,scanlaw_amp_ratio_p50
anti_cmb,cmb_or_anti,10.0,500.0,0.01,0.67,0.202,0.992,0.516,0.0,0.202,0.494,1.0,0.742,0.0,0.11,-35.639479593539725,-10.634571055314154,8.034347567662175,6.865782171722473,18.70228458241408,1.6630304604941561
anti_cmb,cmb_or_anti,15.0,500.0,0.022,0.658,0.202,0.996,0.532,0.0,0.202,0.488,1.0,0.742,0.0,0.11,-34.527110487836765,-10.880074005995994,10.507008454823515,6.873401966213624,19.685425662306386,1.704734553605823
anti_cmb,cmb_or_anti,25.0,500.0,0.032,0.716,0.18,0.974,0.33,0.0,0.18,0.548,1.0,0.716,0.0,0.17,-26.760891942476153,-3.381612679499085,13.201772478294144,6.261878742344262,17.87745816881079,1.6958616297040008
anti_cmb,cmb_or_anti,35.0,500.0,0.056,0.506,0.138,0.886,0.196,0.0,0.138,0.39,1.0,0.706,0.0,0.302,-22.97476149674694,0.3976978292412241,15.616873441271304,5.885943809218931,22.509229328408267,1.67506039771178
cmb,cmb_or_anti,10.0,500.0,0.0,0.52,0.026,0.106,0.0,0.0,0.026,0.494,0.322,0.002,0.232,0.906,19.45056752137025,29.6699999243574,34.724869114591264,2.6136255590786255,53.43528899064455,0.6948857883767583
cmb,cmb_or_anti,15.0,500.0,0.006,0.524,0.008,0.082,0.0,0.0,0.008,0.516,0.26,0.002,0.208,0.934,20.700347591128953,30.053598531798343,35.125392651899894,2.5112711825568588,54.7386424747084,0.7046047731403802
cmb,cmb_or_anti,25.0,500.0,0.006,0.564,0.012,0.044,0.0,0.0,0.012,0.552,0.136,0.008,0.234,0.884,23.31370723969012,31.182418220560066,34.8379090764487,2.155141881619535,51.894795639306814,0.7252024058188534
cmb,cmb_or_anti,35.0,500.0,0.0,0.356,0.0,0.04,0.0,0.0,0.0,0.356,0.134,0.08,0.202,0.93,22.51884814205769,30.9514314196349,34.531081154511774,2.021991113451916,55.14124676642555,0.8347300282154364
locked_b15,locked,10.0,500.0,0.0,0.0,0.002,0.766,0.994,0.0,0.002,0.0,1.0,0.998,0.0,0.882,-76.8259695892746,-47.237686072898214,-22.016434054590363,9.15163652220313,37.629149793188134,2.1413123946683887
locked_b15,locked,15.0,500.0,0.0,0.042,0.014,0.902,0.83,0.0,0.014,0.042,1.0,0.936,0.0,0.656,-50.896279602014694,-22.402047349809436,-2.2814840219463854,7.666047173667696,33.40156224464005,1.8541206222355202
locked_b15,locked,25.0,500.0,0.004,0.17,0.032,0.866,0.626,0.0,0.032,0.146,1.0,0.848,0.0,0.616,-38.66474651834869,-13.517888626520289,5.936142354732143,7.0249262821544916,32.72045007184606,1.787970270011746
locked_b15,locked,35.0,500.0,0.018,0.296,0.07,0.792,0.238,0.0,0.07,0.238,0.998,0.702,0.0,0.584,-23.08534423159144,-0.45573640675866045,16.64938948580674,5.958017718707693,32.87600723854967,1.67005902655468
locked_b25,locked,10.0,500.0,0.0,0.0,0.0,0.592,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.978,-91.69473035001137,-57.70901781486464,-30.524822398202392,9.70711222778947,41.47538080517191,2.2473832111183016
locked_b25,locked,15.0,500.0,0.0,0.016,0.002,0.85,0.908,0.0,0.002,0.016,1.0,0.948,0.0,0.822,-56.27575116321532,-27.786205670927302,-4.668961516812852,8.009611872910611,36.96604018190214,1.9033705136764107
locked_b25,locked,25.0,500.0,0.004,0.178,0.052,0.866,0.518,0.0,0.052,0.14,1.0,0.788,0.0,0.594,-35.460939835505265,-10.515643079081201,9.360538929805625,6.807836040433705,32.286300429538784,1.7309351135010727
locked_b25,locked,35.0,500.0,0.062,0.28,0.096,0.75,0.134,0.0,0.096,0.208,0.996,0.58,0.0,0.62,-18.924590579847425,2.95868744168547,17.84957850105782,5.664177119051391,34.05273023170082,1.5669908104060526
random_01,random,10.0,500.0,0.826,0.828,0.756,0.914,0.008,0.0,0.756,0.092,0.924,0.082,0.008,0.12,0.7957510944106623,18.0366114165663,28.715008818331984,4.297038924699134,16.370457804279383,1.1378661182987906
random_01,random,15.0,500.0,0.778,0.768,0.686,0.798,0.004,0.0,0.686,0.118,0.804,0.042,0.024,0.122,7.832634018108366,21.95711593946908,31.384875329809436,3.79511504930529,17.521194896520576,1.0488336403580902
random_01,random,25.0,500.0,0.558,0.568,0.41,0.594,0.0,0.0,0.41,0.206,0.616,0.1,0.03,0.264,11.77458735797991,24.764564474287905,32.43902685552312,3.3260087902903592,20.97800246096218,1.0631135461687986
random_01,random,35.0,500.0,0.284,0.278,0.118,0.602,0.002,0.0,0.118,0.206,0.646,0.42,0.006,0.342,12.189175336749031,24.138754259125562,31.280544907444703,3.3016594092808784,24.690123661061,1.3958708768587933
random_02,random,10.0,500.0,0.672,0.888,0.704,0.99,0.132,0.002,0.702,0.214,0.992,0.244,0.0,0.05,-15.477373900447855,3.7714876222453313,20.87384660239331,5.721079402940601,13.69480066021631,1.3238056104054596
random_02,random,15.0,500.0,0.428,0.848,0.544,0.994,0.246,0.0,0.544,0.328,1.0,0.416,0.0,0.05,-22.74605519168399,-1.1205413616262376,15.030984333003282,6.122290478681844,13.38753024956373,1.4543651382837308
random_02,random,25.0,500.0,0.266,0.784,0.342,0.984,0.318,0.0,0.342,0.464,1.0,0.588,0.0,0.098,-28.718364859746362,-3.5219751493277727,14.108929509748114,6.273078321639899,15.0774994822676,1.562195943627695
random_02,random,35.0,500.0,0.112,0.586,0.16,0.964,0.398,0.0,0.16,0.448,1.0,0.778,0.0,0.142,-28.67168070398329,-6.22339097630902,11.288730440528887,6.423934870930745,17.60319092728151,1.7325580445429047
random_03,random,10.0,500.0,0.29,0.618,0.262,0.882,0.398,0.03,0.232,0.378,1.0,0.308,0.0,0.582,-29.632644622522637,-6.421733526149183,11.438506408785164,6.55174664872189,31.840624671286356,1.3896463221713466
random_03,random,15.0,500.0,0.288,0.416,0.188,0.834,0.49,0.012,0.176,0.304,1.0,0.432,0.0,0.634,-32.295258452973215,-9.533994900353719,9.068139247268842,6.7747568316958535,33.821761559470154,1.4615156629096724
random_03,random,25.0,500.0,0.236,0.172,0.182,0.796,0.334,0.0,0.182,0.116,0.998,0.456,0.0,0.582,-28.24426594012766,-5.015326425724197,13.964488178108864,6.391019370230949,32.540420551871826,1.4698454485603123
random_03,random,35.0,500.0,0.418,0.352,0.33,0.684,0.01,0.0,0.33,0.162,0.892,0.204,0.002,0.434,1.5193510540055286,18.071210739333765,28.499943694716784,4.119302057475236,26.26262850229253,1.2179231188685042
random_04,random,10.0,500.0,0.2,0.51,0.26,0.624,0.0,0.0,0.26,0.282,0.806,0.02,0.026,0.694,6.467830679473992,21.878402966540307,31.326891549104758,3.8239561017465515,36.9299039853023,0.9522887226100586
random_04,random,15.0,500.0,0.274,0.566,0.298,0.654,0.002,0.0,0.298,0.304,0.754,0.034,0.038,0.614,7.23451397845347,22.741202621575212,32.155098528314554,3.6903707828112235,32.988545188315584,0.952956678971637
random_04,random,25.0,500.0,0.72,0.732,0.624,0.878,0.008,0.0,0.624,0.136,0.904,0.102,0.006,0.252,-0.3214106602274111,17.02536368886649,28.267366144100375,4.33609857902785,22.126813612654928,1.098145578189047
random_04,random,35.0,500.0,0.514,0.522,0.402,0.87,0.042,0.0,0.402,0.22,0.976,0.302,0.0,0.36,-9.140418444159877,10.665585755450593,23.943431307545687,4.937090012008357,24.931525303510277,1.3369702127860728
random_05,random,10.0,500.0,0.588,0.776,0.606,0.77,0.004,0.0,0.606,0.19,0.81,0.004,0.034,0.28,6.94443399727461,21.379861459019594,30.987730717842343,3.888597081705016,22.542109417169648,0.9170576985015098
random_05,random,15.0,500.0,0.784,0.808,0.72,0.864,0.004,0.0,0.72,0.106,0.884,0.016,0.016,0.208,3.317459936454543,18.03466456741444,29.190491786068012,4.280829090622707,19.495882550934887,1.0098262949681112
random_05,random,25.0,500.0,0.76,0.728,0.654,0.928,0.022,0.0,0.654,0.12,0.96,0.118,0.0,0.224,-4.367315860572852,13.491872230559238,26.207436989193955,4.726041392519441,20.475999005485303,1.1967667589189528
random_05,random,35.0,500.0,0.4,0.514,0.32,0.91,0.076,0.0,0.32,0.248,0.988,0.496,0.0,0.296,-11.71765788525663,7.104443178475776,21.597147535103428,5.285497148187698,21.189025948070537,1.4973448494805108
random_06,random,10.0,500.0,0.614,0.726,0.602,0.726,0.002,0.0,0.602,0.154,0.734,0.02,0.042,0.22,9.26021856952284,23.85908671640209,32.39001810180925,3.555548953679562,19.079316745601304,0.9354203130173122
random_06,random,15.0,500.0,0.712,0.742,0.592,0.732,0.002,0.0,0.592,0.178,0.744,0.052,0.026,0.142,7.71276948817249,22.61831704385986,31.86424442016432,3.7069830606643293,16.9368469630113,1.0253673851122445
random_06,random,25.0,500.0,0.622,0.616,0.432,0.624,0.0,0.0,0.432,0.212,0.638,0.134,0.028,0.19,10.7823927394129,24.68174308660673,32.56316226616619,3.3384398123043986,17.955877438232164,1.11498947783689
random_06,random,35.0,500.0,0.188,0.206,0.106,0.258,0.0,0.0,0.106,0.15,0.302,0.142,0.088,0.428,17.580508090044894,28.51346999949601,33.83348727131742,2.554667148679451,26.929589040959875,1.0527365675942797
