direction_label,category,bcut_deg,n_trials,raw_pass_rate,matched_pass_rate,scanlaw_strict_physical_rate,scanlaw_loose_physical_rate,scanlaw_bic_accept_rate,scanlaw_colour_pass_rate,strict_physical_bic_rejected_rate,matched_to_strict_physical_loss_rate,high_snr_rate,amp_too_high_rate,amp_too_low_rate,sep_too_high_rate,delta_bic_p05,delta_bic_p50,delta_bic_p95,scanlaw_snr_p50,scanlaw_sep_deg_p50,scanlaw_amp_ratio_p50
random_01,random,10.0,500.0,0.826,0.828,0.756,0.914,0.008,0.0,0.756,0.092,0.924,0.082,0.008,0.12,0.7957510944106623,18.0366114165663,28.715008818331984,4.297038924699134,16.370457804279383,1.1378661182987906
random_05,random,15.0,500.0,0.784,0.808,0.72,0.864,0.004,0.0,0.72,0.106,0.884,0.016,0.016,0.208,3.317459936454543,18.03466456741444,29.190491786068012,4.280829090622707,19.495882550934887,1.0098262949681112
random_02,random,10.0,500.0,0.672,0.888,0.704,0.99,0.132,0.002,0.702,0.214,0.992,0.244,0.0,0.05,-15.477373900447855,3.7714876222453313,20.87384660239331,5.721079402940601,13.69480066021631,1.3238056104054596
random_01,random,15.0,500.0,0.778,0.768,0.686,0.798,0.004,0.0,0.686,0.118,0.804,0.042,0.024,0.122,7.832634018108366,21.95711593946908,31.384875329809436,3.79511504930529,17.521194896520576,1.0488336403580902
random_05,random,25.0,500.0,0.76,0.728,0.654,0.928,0.022,0.0,0.654,0.12,0.96,0.118,0.0,0.224,-4.367315860572852,13.491872230559238,26.207436989193955,4.726041392519441,20.475999005485303,1.1967667589189528
random_04,random,25.0,500.0,0.72,0.732,0.624,0.878,0.008,0.0,0.624,0.136,0.904,0.102,0.006,0.252,-0.3214106602274111,17.02536368886649,28.267366144100375,4.33609857902785,22.126813612654928,1.098145578189047
random_05,random,10.0,500.0,0.588,0.776,0.606,0.77,0.004,0.0,0.606,0.19,0.81,0.004,0.034,0.28,6.94443399727461,21.379861459019594,30.987730717842343,3.888597081705016,22.542109417169648,0.9170576985015098
random_06,random,10.0,500.0,0.614,0.726,0.602,0.726,0.002,0.0,0.602,0.154,0.734,0.02,0.042,0.22,9.26021856952284,23.85908671640209,32.39001810180925,3.555548953679562,19.079316745601304,0.9354203130173122
random_06,random,15.0,500.0,0.712,0.742,0.592,0.732,0.002,0.0,0.592,0.178,0.744,0.052,0.026,0.142,7.71276948817249,22.61831704385986,31.86424442016432,3.7069830606643293,16.9368469630113,1.0253673851122445
random_02,random,15.0,500.0,0.428,0.848,0.544,0.994,0.246,0.0,0.544,0.328,1.0,0.416,0.0,0.05,-22.74605519168399,-1.1205413616262376,15.030984333003282,6.122290478681844,13.38753024956373,1.4543651382837308
random_06,random,25.0,500.0,0.622,0.616,0.432,0.624,0.0,0.0,0.432,0.212,0.638,0.134,0.028,0.19,10.7823927394129,24.68174308660673,32.56316226616619,3.3384398123043986,17.955877438232164,1.11498947783689
random_01,random,25.0,500.0,0.558,0.568,0.41,0.594,0.0,0.0,0.41,0.206,0.616,0.1,0.03,0.264,11.77458735797991,24.764564474287905,32.43902685552312,3.3260087902903592,20.97800246096218,1.0631135461687986
