direction_label,bcut_deg,N,projection_control_r2,projection_vif,max_abs_control_corr,max_corr_control,max_corr_signed,dipole_control_canonical_corr,full_design_condition_number,control_only_r2_z
locked_b15,10.0,194552,0.14273250446706576,1.1664970446340484,0.37762800373427474,gaia_scan_angle_sin2_mean_dr3,-0.37762800373427474,0.6102024680913366,2.6727386385242666,0.1359744102979582
locked_b25,10.0,194552,0.11251779149696872,1.1267831517284828,0.33519975959951404,gaia_scan_angle_sin2_mean_dr3,-0.33519975959951404,0.6102024680913366,2.6727386385242666,0.1359744102979582
cmb,10.0,194552,0.37765202032887457,1.6068181028376465,0.6140986698081818,gaia_scan_angle_sin2_mean_dr3,0.6140986698081818,0.6102024680913366,2.6727386385242666,0.1359744102979582
anti_cmb,10.0,194552,0.37765202032887457,1.6068181028376465,0.6140986698081818,gaia_scan_angle_sin2_mean_dr3,-0.6140986698081818,0.6102024680913366,2.6727386385242666,0.1359744102979582
locked_b15,15.0,185739,0.16363210569126807,1.1956460868533363,0.40437613093899955,gaia_scan_angle_sin2_mean_dr3,-0.40437613093899955,0.6378515398170741,2.7347606254199754,0.13849677609824151
locked_b25,15.0,185739,0.12824013723833583,1.1471048883027049,0.3579060773015392,gaia_scan_angle_sin2_mean_dr3,-0.3579060773015392,0.6378515398170741,2.7347606254199754,0.13849677609824151
cmb,15.0,185739,0.4109723089671723,1.6977130536028873,0.640690233655579,gaia_scan_angle_sin2_mean_dr3,0.640690233655579,0.6378515398170741,2.7347606254199754,0.13849677609824151
anti_cmb,15.0,185739,0.4109723089671723,1.6977130536028873,0.640690233655579,gaia_scan_angle_sin2_mean_dr3,-0.640690233655579,0.6378515398170741,2.7347606254199754,0.13849677609824151
locked_b15,20.0,172054,0.19089450575406886,1.2359327765188128,0.4367009124666361,gaia_scan_angle_sin2_mean_dr3,-0.4367009124666361,0.6642913771051835,2.8111519995043626,0.13985732070246393
locked_b25,20.0,172054,0.1493132725100581,1.1755208676531557,0.3861520359820168,gaia_scan_angle_sin2_mean_dr3,-0.3861520359820168,0.6642913771051835,2.8111519995043626,0.13985732070246393
cmb,20.0,172054,0.44001909946164763,1.7857751916871158,0.6630490763057967,gaia_scan_angle_sin2_mean_dr3,0.6630490763057967,0.6642913771051835,2.8111519995043626,0.13985732070246393
anti_cmb,20.0,172054,0.44001909946164763,1.7857751916871158,0.6630490763057967,gaia_scan_angle_sin2_mean_dr3,-0.6630490763057967,0.6642913771051835,2.8111519995043626,0.13985732070246393
locked_b15,25.0,155609,0.20589166391799807,1.2592740241637976,0.4534305617174072,gaia_scan_angle_sin2_mean_dr3,-0.4534305617174072,0.6844383457856974,2.9227971897238323,0.14113621399852117
locked_b25,25.0,155609,0.1605664032081935,1.1912794577460981,0.40039262084292826,gaia_scan_angle_sin2_mean_dr3,-0.40039262084292826,0.6844383457856974,2.9227971897238323,0.14113621399852117
cmb,25.0,155609,0.453890883779565,1.8311358852987056,0.6734859101173764,gaia_scan_angle_sin2_mean_dr3,0.6734859101173764,0.6844383457856974,2.9227971897238323,0.14113621399852117
anti_cmb,25.0,155609,0.453890883779565,1.8311358852987056,0.6734859101173764,gaia_scan_angle_sin2_mean_dr3,-0.6734859101173764,0.6844383457856974,2.9227971897238323,0.14113621399852117
locked_b15,30.0,137850,0.2150504989320381,1.2739673044437272,0.46336124711321813,gaia_scan_angle_sin2_mean_dr3,-0.46336124711321813,0.6975058135819372,3.0889191849241096,0.14178566589177832
locked_b25,30.0,137850,0.16834283272800254,1.202418543785537,0.4099214070784986,gaia_scan_angle_sin2_mean_dr3,-0.4099214070784986,0.6975058135819372,3.0889191849241096,0.14178566589177832
cmb,30.0,137850,0.4534533374065788,1.8296699411810424,0.6731954603862426,gaia_scan_angle_sin2_mean_dr3,0.6731954603862426,0.6975058135819372,3.0889191849241096,0.14178566589177832
anti_cmb,30.0,137850,0.4534533374065788,1.8296699411810424,0.6731954603862426,gaia_scan_angle_sin2_mean_dr3,-0.6731954603862426,0.6975058135819372,3.0889191849241096,0.14178566589177832
locked_b15,35.0,119719,0.22522666126882895,1.2907000667287771,0.4742162392388668,gaia_scan_angle_sin2_mean_dr3,-0.4742162392388668,0.7006065660134532,3.218768394135576,0.1424517379237481
locked_b25,35.0,119719,0.17845194663072161,1.21721425289594,0.42207644388604104,gaia_scan_angle_sin2_mean_dr3,-0.42207644388604104,0.7006065660134532,3.218768394135576,0.1424517379237481
cmb,35.0,119719,0.4454889661907977,1.8033906253055423,0.6672537543957129,gaia_scan_angle_sin2_mean_dr3,0.6672537543957129,0.7006065660134532,3.218768394135576,0.1424517379237481
anti_cmb,35.0,119719,0.4454889661907977,1.8033906253055423,0.6672537543957129,gaia_scan_angle_sin2_mean_dr3,-0.6672537543957129,0.7006065660134532,3.218768394135576,0.1424517379237481
