direction_label,bcut_deg,control,projection_correlation
locked_b15,10.0,gaia_scan_count_log1p_dr3,0.003189746264154184
locked_b15,10.0,gaia_scan_angle_cos2_mean_dr3,-0.0061549355113025
locked_b15,10.0,gaia_scan_angle_sin2_mean_dr3,-0.37762800373427474
locked_b15,10.0,gaia_scan_angle_resultant_dr3,-0.004268614142253464
locked_b15,10.0,bp_rp_z,0.01005192102714825
locked_b15,10.0,w1_w2_z,0.009407254645624145
locked_b15,10.0,bp_rp_x_w1_w2_z,0.0012819437313025775
locked_b25,10.0,gaia_scan_count_log1p_dr3,0.0034853108884910057
locked_b25,10.0,gaia_scan_angle_cos2_mean_dr3,-0.004330700623108175
locked_b25,10.0,gaia_scan_angle_sin2_mean_dr3,-0.33519975959951404
locked_b25,10.0,gaia_scan_angle_resultant_dr3,-0.0014123222390816027
locked_b25,10.0,bp_rp_z,0.004740508890260811
locked_b25,10.0,w1_w2_z,0.008281617046468615
locked_b25,10.0,bp_rp_x_w1_w2_z,0.001221794319270332
cmb,10.0,gaia_scan_count_log1p_dr3,-0.010978261219250076
cmb,10.0,gaia_scan_angle_cos2_mean_dr3,0.01962594379626368
cmb,10.0,gaia_scan_angle_sin2_mean_dr3,0.6140986698081818
cmb,10.0,gaia_scan_angle_resultant_dr3,0.015068467190142227
cmb,10.0,bp_rp_z,-0.03588872879218955
cmb,10.0,w1_w2_z,-0.0095057295532197
cmb,10.0,bp_rp_x_w1_w2_z,0.004227200897175529
anti_cmb,10.0,gaia_scan_count_log1p_dr3,0.010978261219250076
anti_cmb,10.0,gaia_scan_angle_cos2_mean_dr3,-0.01962594379626368
anti_cmb,10.0,gaia_scan_angle_sin2_mean_dr3,-0.6140986698081818
anti_cmb,10.0,gaia_scan_angle_resultant_dr3,-0.015068467190142227
anti_cmb,10.0,bp_rp_z,0.03588872879218955
anti_cmb,10.0,w1_w2_z,0.0095057295532197
anti_cmb,10.0,bp_rp_x_w1_w2_z,-0.004227200897175529
locked_b15,15.0,gaia_scan_count_log1p_dr3,0.011059346250724699
locked_b15,15.0,gaia_scan_angle_cos2_mean_dr3,-0.010912258132205773
locked_b15,15.0,gaia_scan_angle_sin2_mean_dr3,-0.40437613093899955
locked_b15,15.0,gaia_scan_angle_resultant_dr3,-0.006513139967337543
locked_b15,15.0,bp_rp_z,0.009945326739704429
locked_b15,15.0,w1_w2_z,0.00864073419607937
locked_b15,15.0,bp_rp_x_w1_w2_z,-0.00015487237549062247
locked_b25,15.0,gaia_scan_count_log1p_dr3,0.010977662880145693
locked_b25,15.0,gaia_scan_angle_cos2_mean_dr3,-0.008731919630499756
locked_b25,15.0,gaia_scan_angle_sin2_mean_dr3,-0.3579060773015392
locked_b25,15.0,gaia_scan_angle_resultant_dr3,-0.003421179467152976
locked_b25,15.0,bp_rp_z,0.004835365166792652
locked_b25,15.0,w1_w2_z,0.007461180581065128
locked_b25,15.0,bp_rp_x_w1_w2_z,-6.547129226513622e-05
cmb,15.0,gaia_scan_count_log1p_dr3,-0.011154668073330081
cmb,15.0,gaia_scan_angle_cos2_mean_dr3,0.020028248091419735
cmb,15.0,gaia_scan_angle_sin2_mean_dr3,0.640690233655579
cmb,15.0,gaia_scan_angle_resultant_dr3,0.015505347753182104
cmb,15.0,bp_rp_z,-0.03513857577490759
cmb,15.0,w1_w2_z,-0.009581976263644893
cmb,15.0,bp_rp_x_w1_w2_z,0.005118034503388668
anti_cmb,15.0,gaia_scan_count_log1p_dr3,0.011154668073330081
anti_cmb,15.0,gaia_scan_angle_cos2_mean_dr3,-0.020028248091419735
