anchor_set,scenario,D_mean,D_sigma,He_mean,He_sigma,tau_seconds_mean,tau_seconds_sigma,n_rows,n_D_He_2sigma,n_D_He_Li_2sigma,best_reweighted_chi2,best_point_id,minimum_Li7_H_1e10_given_D_He,minimum_li_point_id
registered,su2_expansion_only,2.508,0.029,0.245,0.003,879.4,0.6,25,16,0,273.7965141102519,eta_clock_tau_grid|eta1.000000|S1.080000|tau1.0000000|q0,5.555355006700839,eta_clock_tau_grid|eta1.000000|S1.080000|tau0.9986354|q0
registered,su2_plus_modest_rate_controls,2.508,0.029,0.245,0.003,879.4,0.6,1773,1224,0,228.03253820293284,random_targeted_li_be|eta0.995107|S1.056254|tau0.9999416|Be7nLi7p+0.93_He3aBe7g-2.82_Li7paa+0.42,5.112978223610318,random_targeted_li_be|eta0.988909|S1.062648|tau1.0002284|Be7nLi7p+0.71_He3aBe7g-2.45
registered,su2_plus_scanned_rate_controls,2.508,0.029,0.245,0.003,879.4,0.6,2211,1505,0,219.04076623330818,random_targeted_li_be|eta0.991619|S1.061054|tau1.0005478|Be7nLi7p+2.31_He3aBe7g-3.02_Li7paa+1.62,4.923829974998345,random_targeted_li_be|eta0.992982|S1.046499|tau1.0005561|Be7nLi7p+4.00_He3aBe7g-2.72
registered,all_scanned_controls,2.508,0.029,0.245,0.003,879.4,0.6,30503,4715,0,215.25629833425873,random_targeted_li_be|eta0.975073|S1.042334|tau1.0006481|Be7nLi7p+2.64_He3aBe7g-3.98,4.74103110096854,random_targeted_li_be|eta0.967389|S0.980574|tau1.0009173|Be7nLi7p+1.95_He3aBe7g-4.00_Li7paa+1.00
deuterium_2024,su2_expansion_only,2.533,0.024,0.245,0.003,879.4,0.6,25,6,0,273.7987693864561,eta_clock_tau_grid|eta1.000000|S1.080000|tau1.0000000|q0,5.555355006700839,eta_clock_tau_grid|eta1.000000|S1.080000|tau0.9986354|q0
deuterium_2024,su2_plus_modest_rate_controls,2.533,0.024,0.245,0.003,879.4,0.6,1773,619,0,226.96202816606913,random_targeted_li_be|eta0.988909|S1.062648|tau1.0002284|Be7nLi7p+0.71_He3aBe7g-2.45,5.112978223610318,random_targeted_li_be|eta0.988909|S1.062648|tau1.0002284|Be7nLi7p+0.71_He3aBe7g-2.45
deuterium_2024,su2_plus_scanned_rate_controls,2.533,0.024,0.245,0.003,879.4,0.6,2211,759,0,218.13790133072732,random_targeted_li_be|eta0.991619|S1.061054|tau1.0005478|Be7nLi7p+2.31_He3aBe7g-3.02_Li7paa+1.62,4.923829974998345,random_targeted_li_be|eta0.992982|S1.046499|tau1.0005561|Be7nLi7p+4.00_He3aBe7g-2.72
deuterium_2024,all_scanned_controls,2.533,0.024,0.245,0.003,879.4,0.6,30503,3796,0,212.90064522707212,random_targeted_li_be|eta0.975073|S1.042334|tau1.0006481|Be7nLi7p+2.64_He3aBe7g-3.98,4.74103110096854,random_targeted_li_be|eta0.967389|S0.980574|tau1.0009173|Be7nLi7p+1.95_He3aBe7g-4.00_Li7paa+1.00
helium_lbt_2026,su2_expansion_only,2.508,0.029,0.2458,0.0013,879.4,0.6,25,3,0,283.33121064478934,eta_clock_tau_grid|eta1.000000|S1.060000|tau1.0000000|q0,5.6592102595866,eta_clock_tau_grid|eta1.000000|S1.020000|tau0.9986354|q0
helium_lbt_2026,su2_plus_modest_rate_controls,2.508,0.029,0.2458,0.0013,879.4,0.6,1773,463,0,230.43764406290543,random_targeted_li_be|eta0.987714|S1.022083|tau0.9991898|Be7nLi7p+1.67_He3aBe7g-2.19_Li7paa+0.34,5.122271580059807,random_targeted_li_be|eta0.987714|S1.022083|tau0.9991898|Be7nLi7p+1.67_He3aBe7g-2.19_Li7paa+0.34
helium_lbt_2026,su2_plus_scanned_rate_controls,2.508,0.029,0.2458,0.0013,879.4,0.6,2211,569,0,223.72287455694692,random_targeted_li_be|eta0.990669|S1.043757|tau1.0005040|Be7nLi7p+0.90_He3aBe7g-3.89_Li7paa+0.40,5.00921673431056,random_targeted_li_be|eta0.987172|S1.004789|tau0.9999074|Be7nLi7p+0.87_He3aBe7g-4.00_Li7paa-1.92
helium_lbt_2026,all_scanned_controls,2.508,0.029,0.2458,0.0013,879.4,0.6,30503,3510,0,217.42974488049995,random_targeted_li_be|eta0.976702|S1.028675|tau0.9998035|Be7nLi7p+2.73_He3aBe7g-3.34_Li7paa-0.56,4.74103110096854,random_targeted_li_be|eta0.967389|S0.980574|tau1.0009173|Be7nLi7p+1.95_He3aBe7g-4.00_Li7paa+1.00
neutron_pdg_2025,su2_expansion_only,2.508,0.029,0.245,0.003,878.4,0.5,7,6,0,273.03392122765797,eta_clock_tau_grid|eta1.000000|S1.080000|tau0.9986354|q0,5.555355006700839,eta_clock_tau_grid|eta1.000000|S1.080000|tau0.9986354|q0
neutron_pdg_2025,su2_plus_modest_rate_controls,2.508,0.029,0.245,0.003,878.4,0.5,906,629,0,228.09705816125188,random_targeted_li_be|eta0.987714|S1.022083|tau0.9991898|Be7nLi7p+1.67_He3aBe7g-2.19_Li7paa+0.34,5.122271580059807,random_targeted_li_be|eta0.987714|S1.022083|tau0.9991898|Be7nLi7p+1.67_He3aBe7g-2.19_Li7paa+0.34
neutron_pdg_2025,su2_plus_scanned_rate_controls,2.508,0.029,0.245,0.003,878.4,0.5,1088,754,0,221.13598662633726,random_targeted_li_be|eta0.991691|S1.065423|tau0.9996001|Be7nLi7p+0.62_He3aBe7g-4.00_Li7paa+1.26,4.952461587285738,random_targeted_li_be|eta0.991691|S1.065423|tau0.9996001|Be7nLi7p+0.62_He3aBe7g-4.00_Li7paa+1.26
neutron_pdg_2025,all_scanned_controls,2.508,0.029,0.245,0.003,878.4,0.5,30503,4715,0,212.8788419520765,random_targeted_li_be|eta0.982265|S1.045393|tau0.9982235|Be7nLi7p+2.32_He3aBe7g-3.58_Li7paa+0.69,4.74103110096854,random_targeted_li_be|eta0.967389|S0.980574|tau1.0009173|Be7nLi7p+1.95_He3aBe7g-4.00_Li7paa+1.00
combined_current,su2_expansion_only,2.533,0.024,0.2458,0.0013,878.4,0.5,7,0,0,281.74185941452834,eta_clock_tau_grid|eta1.000000|S1.080000|tau0.9986354|q0,,
combined_current,su2_plus_modest_rate_controls,2.533,0.024,0.2458,0.0013,878.4,0.5,906,99,0,230.51943220264837,random_targeted_li_be|eta0.987714|S1.022083|tau0.9991898|Be7nLi7p+1.67_He3aBe7g-2.19_Li7paa+0.34,5.122271580059807,random_targeted_li_be|eta0.987714|S1.022083|tau0.9991898|Be7nLi7p+1.67_He3aBe7g-2.19_Li7paa+0.34
