scenario,delta_neff_low,delta_neff_high,n_rows,n_D_He_2sigma,minimum_chi2_D_He,minimum_Li7_H_1e10_given_D_He,median_Li7_H_1e10_given_D_He,minimum_q_pull_chi2_given_D_He
su2_expansion_only,0.0,0.1,7,0,6.847197909659948,,,
su2_expansion_only,0.1,0.2,0,0,,,,
su2_expansion_only,0.2,0.30000000000000004,3,3,4.16571408346971,5.6592102595866,5.662778571009049,0.0
su2_expansion_only,0.30000000000000004,0.4,1,0,12.079717207766546,,,
su2_expansion_only,0.4,0.5,1,1,5.234351857451832,5.696152768559912,5.696152768559912,0.0
su2_expansion_only,0.5,0.6000000000000001,5,4,2.5980051870451417,5.626442870428541,5.628479720071996,0.0
su2_expansion_only,0.6000000000000001,0.7000000000000001,0,0,,,,
su2_expansion_only,0.7000000000000001,0.8,5,5,2.212699406762792,5.590180253297117,5.596473983362108,0.0
su2_expansion_only,0.8,0.9,0,0,,,,
su2_expansion_only,0.9,1.0,0,0,,,,
su2_expansion_only,1.0,1.1,3,3,3.210885530959797,5.555355006700839,5.559502185840834,0.0
su2_expansion_only,1.1,1.2000000000000002,0,0,,,,
su2_plus_modest_rate_controls,0.0,0.1,257,90,0.7485540975503879,5.182561001051048,5.579283390076795,0.2354224402575642
su2_plus_modest_rate_controls,0.1,0.2,188,83,0.6906346286825849,5.25514944642007,5.58355290446311,0.2003000731215286
su2_plus_modest_rate_controls,0.2,0.30000000000000004,219,129,0.7278846474578176,5.122271580059807,5.632152359540322,0.0
su2_plus_modest_rate_controls,0.30000000000000004,0.4,192,125,0.8362322789746593,5.1959570418557695,5.610031510647175,0.1087941578604653
su2_plus_modest_rate_controls,0.4,0.5,209,156,1.0954738095493415,5.126565265479732,5.596143917205746,0.0
su2_plus_modest_rate_controls,0.5,0.6000000000000001,183,147,1.4403080612537218,5.162679194102128,5.606360829240893,0.0
su2_plus_modest_rate_controls,0.6000000000000001,0.7000000000000001,174,146,1.7398364188239663,5.212880977948272,5.593076204734693,0.0855196168672418
su2_plus_modest_rate_controls,0.7000000000000001,0.8,183,180,2.0478006655154326,5.112978223610318,5.60059757169484,0.0
su2_plus_modest_rate_controls,0.8,0.9,165,165,2.3675194897930436,5.133284405196822,5.570775704123059,0.1755245415391576
su2_plus_modest_rate_controls,0.9,1.0,0,0,,,,
su2_plus_modest_rate_controls,1.0,1.1,3,3,3.210885530959797,5.555355006700839,5.559502185840834,0.0
su2_plus_modest_rate_controls,1.1,1.2000000000000002,0,0,,,,
su2_plus_scanned_rate_controls,0.0,0.1,352,109,0.7485540975503879,5.00921673431056,5.592656461708122,0.2354224402575642
su2_plus_scanned_rate_controls,0.1,0.2,231,106,0.6906346286825849,5.041245632311507,5.578975820535188,0.2003000731215286
su2_plus_scanned_rate_controls,0.2,0.30000000000000004,277,162,0.7278846474578176,5.122271580059807,5.633629935684366,0.0
su2_plus_scanned_rate_controls,0.30000000000000004,0.4,231,151,0.8362322789746593,5.132903593542674,5.59592269795416,0.1087941578604653
su2_plus_scanned_rate_controls,0.4,0.5,250,184,1.0954738095493415,5.112448143641507,5.596143917205746,0.0
su2_plus_scanned_rate_controls,0.5,0.6000000000000001,222,180,1.4403080612537218,4.923829974998345,5.604682862663378,0.0
su2_plus_scanned_rate_controls,0.6000000000000001,0.7000000000000001,203,171,1.7398364188239663,5.134192551599188,5.5923939959095765,0.0855196168672418
su2_plus_scanned_rate_controls,0.7000000000000001,0.8,236,233,2.018666621758295,4.9531587688873335,5.599121140963169,0.0
su2_plus_scanned_rate_controls,0.8,0.9,206,206,2.3675194897930436,4.952461587285738,5.586588920201262,0.1755245415391576
su2_plus_scanned_rate_controls,0.9,1.0,0,0,,,,
su2_plus_scanned_rate_controls,1.0,1.1,3,3,3.210885530959797,5.555355006700839,5.559502185840834,0.0
su2_plus_scanned_rate_controls,1.1,1.2000000000000002,0,0,,,,
