outcome,predictor,standardised_linear_coefficient,model_r2,n_rows
D_H_1e5,eta_fac,-0.9787135732184206,0.9965700310884867,30000
D_H_1e5,clock_factor,0.19963529032294314,0.9965700310884867,30000
D_H_1e5,tau_n_fac,0.003316580210698916,0.9965700310884867,30000
D_H_1e5,q_He3aBe7g,-0.00026040598122301285,0.9965700310884867,30000
D_H_1e5,q_Be7nLi7p,-2.797347620818501e-05,0.9965700310884867,30000
D_H_1e5,q_Li7paa,0.00040289731911936124,0.9965700310884867,30000
Yp_mass,eta_fac,0.27756244742183356,0.9997808800587785,30000
Yp_mass,clock_factor,0.9567494881481836,0.9997808800587785,30000
Yp_mass,tau_n_fac,0.06733448847541099,0.9997808800587785,30000
Yp_mass,q_He3aBe7g,-4.710988797281743e-05,0.9997808800587785,30000
Yp_mass,q_Be7nLi7p,-0.00014597220173237334,0.9997808800587785,30000
Yp_mass,q_Li7paa,5.9954818816107734e-05,0.9997808800587785,30000
Li7_H_1e10,eta_fac,0.9430576218759538,0.9987466993379281,30000
Li7_H_1e10,clock_factor,-0.10400925200863423,0.9987466993379281,30000
Li7_H_1e10,tau_n_fac,0.002728049602076732,0.9987466993379281,30000
Li7_H_1e10,q_He3aBe7g,0.26903304128183386,0.9987466993379281,30000
Li7_H_1e10,q_Be7nLi7p,-0.15614015345223073,0.9987466993379281,30000
Li7_H_1e10,q_Li7paa,-0.019015690485735714,0.9987466993379281,30000
