model,time_s,scale_factor,T_gamma_MeV,T_nu_MeV,T_nu_over_T_gamma,H_s_inv,rho_gamma_MeV4,rho_extra_MeV4,neff_linx_diagnostic,a_Tgamma_over_T0
SBBN,0.00943496705156109,1.968689884708172e-11,8.534655277089476,8.53464907548479,0.9999992733620182,49.3057057387075,3491.02069437539,0.0,19.232952835237068,0.7153922297303578
SBBN,0.009641990732481585,1.9886836668970324e-11,8.448857561146173,8.448849975280899,0.9999991021430744,48.31931286724002,3352.7443555265286,0.0,19.23290514335163,0.7153928906328332
SBBN,0.009936362512547526,2.016772044743893e-11,8.331197312016867,8.331189091692144,0.9999990133081218,46.98281735364697,3169.846026913472,0.0,19.232844480902983,0.7153937763456112
SBBN,0.010360027470919884,2.056524102025703e-11,8.17017207134052,8.170163089991402,0.9999989007148148,45.18411976731821,2931.7929718843043,0.0,19.2327578513104,0.7153950513007834
SBBN,0.01098685040631615,2.1139676941398747e-11,7.9481821049763655,7.948171888102793,0.9999987145647348,42.761984465775996,2625.9093038426518,0.0,19.23262875314881,0.7153969423689545
SBBN,0.011535505927218066,2.1629962596572327e-11,7.768038738859715,7.768027747188452,0.9999985850133305,40.84547723058001,2395.8190685481313,0.0,19.232517250553567,0.7153985833072272
SBBN,0.012136630285246716,2.215468368480973e-11,7.5840761673833015,7.584064325019533,0.9999984385225692,38.93368014367885,2176.8035164212874,0.0,19.23239484584407,0.715400376502769
SBBN,0.0129015963850874,2.2804972733550384e-11,7.36783827604757,7.367824987960997,0.9999981964741794,36.74504627329705,1938.9598867370062,0.0,19.2322364655412,0.7154026861684359
SBBN,0.013746937237389721,2.3502671289064065e-11,7.149142275646759,7.149127755421101,0.9999979689555616,34.5959227009899,1718.795653063344,0.0,19.232063223579747,0.7154051978741113
SBBN,0.014592278089692042,2.4180249017244644e-11,6.948834375164085,6.948817813363486,0.9999976166073754,32.68430944574938,1534.1093896017348,0.0,19.231884158016165,0.7154077724028982
SBBN,0.015451707301593292,2.485018906816046e-11,6.761524490778166,6.761505931210486,0.9999972551208377,30.945889390373146,1375.2668921753518,0.0,19.23170187921014,0.7154103969432952
SBBN,0.016450691068133634,2.560689908971647e-11,6.561742478420725,6.561721674092477,0.9999968294506656,29.144065401536846,1219.7904103547312,0.0,19.231489697670003,0.7154134434232605
SBBN,0.017679263212394894,2.650791949675463e-11,6.338738505514435,6.338714512290946,0.9999962148267407,27.196624384420833,1062.2331004082655,0.0,19.231224403297528,0.7154172435464846
SBBN,0.019231340930218825,2.7604187324294195e-11,6.087043887051312,6.087015831029052,0.9999953908624973,25.07951285717092,903.3045926059083,0.0,19.230886931925014,0.7154220535104976
SBBN,0.02015572029808817,2.8236885132855083e-11,5.950676350523338,5.95064621610233,0.9999949359670678,23.96829042699737,825.0377248773981,0.0,19.230687485410574,0.7154248843366187
SBBN,0.021096489284573333,2.886656828801434e-11,5.820894727059625,5.820861827996935,0.9999943481089707,22.934114140389504,755.3834514187188,0.0,19.23047868930448,0.7154278245884876
SBBN,0.022374911863662177,2.970086711399944e-11,5.657417327284942,5.65738053295753,0.9999934962677697,21.663882017002564,674.0332974971406,0.0,19.230192411900774,0.7154318486382024
SBBN,0.024382802841914762,3.096588219973494e-11,5.426349016921171,5.426306204303372,0.9999921102351386,19.930176406266682,570.4786307282358,0.0,19.229740323638087,0.7154381679444358
SBBN,0.026390693820167347,3.218121866708194e-11,5.221467204113504,5.221417974234246,0.9999905716387111,18.453407988361153,489.07864978086684,0.0,19.229280962764996,0.715444526589984
SBBN,0.028398584798419932,3.335230768228553e-11,5.038173322176475,5.03811653963455,0.9999887295378118,17.180402348670032,423.93658986469336,0.0,19.2288073243874,0.7154510364429509
SBBN,0.030537437093398505,3.455616171774306e-11,4.862702518877387,4.862637960685238,0.999986723803914,16.004343703082217,367.8911106503369,0.0,19.22830052595286,0.7154579673470589
SBBN,0.033182000965149804,3.598903502377329e-11,4.669154437166998,4.669079820242877,0.9999840191783919,14.75547133695064,312.72416528277705,0.0,19.22766316966645,0.7154666018366425
SBBN,0.03595427381594879,3.7432278952978845e-11,4.489187696988894,4.489101496427118,0.999980798182746,13.639731777623554,267.22651162715,0.0,19.2269768320514,0.7154758138158984
SBBN,0.039446819851644443,3.9174904465201187e-11,4.289564501352122,4.289463170347423,0.999976377321132,12.453419049197004,222.7723554314501,0.0,19.226094831238278,0.7154875370906195
SBBN,0.043345554898077815,4.1032901387157666e-11,4.095406548106621,4.095286973650852,0.9999708027873755,11.35133423892121,185.09580144533405,0.0,19.225080037334525,0.7155008787354495
SBBN,0.047244289944511186,4.28103633409556e-11,3.925441798658848,3.9253032327857467,0.9999647005661506,10.428465273792863,156.2293610899759,0.0,19.224040161453306,0.7155144041220587
SBBN,0.05114302499094456,4.4516938097168747e-11,3.7750304490744675,3.7748724133313547,0.9999581365646596,9.64438352801635,133.62580119721397,0.0,19.222978287784496,0.7155280593550926
SBBN,0.0555017353787452,4.6350553811114693e-11,3.6257700394509924,3.625588917792936,0.9999500460161329,8.89657469128872,113.71284104065056,0.0,19.22175565827907,0.715543610831147
SBBN,0.060202334706169223,4.8249997181820606e-11,3.4831179693032195,3.4829113475063784,0.9999406790701142,8.21005912958407,96.84589598024654,0.0,19.220406628544332,0.7155605689791824
SBBN,0.06495227414047279,5.009630891645609e-11,3.3548287359631583,3.354595015957299,0.9999303332526772,7.616189015753131,83.34698680783607,0.0,19.219001919875804,0.7155780450121318
SBBN,0.07091601515402385,5.232230423404114e-11,3.2122013059036583,3.211932491777917,0.9999163146701774,6.982096595365437,70.05183299288565,0.0,19.217189557982966,0.715600344037266
SBBN,0.07789586051289253,5.481293360217468e-11,3.066356870320844,3.066045692810017,0.999898518820872,6.362175349962721,58.170028597518,0.0,19.215002714867364,0.7156269190223952
SBBN,0.0862025893286677,5.763703084167931e-11,2.916243184794296,2.9158799785771965,0.9998754540708424,5.754173648587225,47.5886553618057,0.0,19.212311012769494,0.7156592049605252
SBBN,0.09532485378541795,6.058702311919608e-11,2.7743913228040538,2.7739693079029704,0.9998478891937073,5.207661790180906,38.98336788258168,0.0,19.209249396381026,0.715695450537543
SBBN,0.10544864287120327,6.370127406329354e-11,2.63890726856913,2.6384186611941676,0.99981484481066,4.711110366689782,31.908398238391765,0.0,19.20573557874184,0.7157365120373232
SBBN,0.11615006466495895,6.683576117222946e-11,2.515302587717722,2.514742384988792,0.9997772821720672,4.279767577233411,26.337189997762078,0.0,19.201896789392137,0.7157808262915778
SBBN,0.12750230801317744,7.000777567307053e-11,2.401496717910758,2.400859377251434,0.9997346068997013,3.9009017300220052,21.884492311288813,0.0,19.197690908272946,0.7158288558338184
SBBN,0.13993391412596404,7.332429188475436e-11,2.2930466599307375,2.2923244075832314,0.9996850250105561,3.5561754278452877,18.19114579094017,0.0,19.192950244834964,0.7158824145531617
SBBN,0.15464999034254828,7.706620064783581e-11,2.181906286496539,2.181082872139829,0.9996226169923952,3.2194101852500854,14.912582546184524,0.0,19.18716282301041,0.7159471540619311
SBBN,0.16936606655913253,8.063485284972795e-11,2.0855336184659903,2.0846094100783263,0.9995568480030814,2.940923792704489,12.447360458795684,0.0,19.181216136618744,0.7160130163262649
SBBN,0.18697868579401536,8.470875792337921e-11,1.9854564041079366,1.9844121078020893,0.9994740270782644,2.6650340473032403,10.224684313306218,0.0,19.17390453756248,0.7160932727769146
SBBN,0.20581555434915969,8.885966840732562e-11,1.8929403056820504,1.8917688810137316,0.9993811613262169,2.4220437456905013,8.44804387555487,0.0,19.16588152624703,0.7161805652141456
SBBN,0.22154927450456782,9.218383782574682e-11,1.8248691164023678,1.8235924825838346,0.9993004244484941,2.2506525578161387,7.2968492127348465,0.0,19.159030198071182,0.7162546110316291
SBBN,0.23728299465997596,9.539243230180451e-11,1.7636726582937752,1.7622921224360184,0.9992172380451301,2.101922783512882,6.36620200754472,0.0,19.152062790960052,0.7163294878667362
SBBN,0.25322115097273756,9.853644015372287e-11,1.7075815522128737,1.7060972879464587,0.9991307798655406,1.970051907994075,5.594152527083786,0.0,19.144900941442796,0.7164060541340848
SBBN,0.2709511489137434,1.019202382432221e-10,1.6510873115488198,1.6494892825119472,0.9990321353536575,1.8415362972257712,4.889772412107348,0.0,19.136817115478713,0.7164920809589616
