model,eta_fac,omega_b_h2,post_eann_baryon_density_factor,Yp_mass,D_H_1e5,He3_H_1e5,Li7_H_1e10,Li6_H_1e14,z_D_H_1e5,chi2_D_H_1e5,z_Yp_mass,chi2_Yp_mass,z_Li7_H_1e10,chi2_Li7_H_1e10,chi2_abundances_measurement,chi2_D_He,D_He_each_2sigma,D_He_Li_each_2sigma,stellar_depletion_to_plateau
SBBN,1.0,0.02242,1.0,0.24698584498871037,2.433742611728278,1.0354710440656854,5.69727051991149,0.0,-2.5605995955766248,6.556670288867174,0.661948329570126,0.4381755910206801,16.98908207964596,288.62890990894755,295.6237557888354,6.994845879887854,False,False,3.9291520826975797
SU2CMB_asymptotic,0.08,0.0017936,0.32,0.294753263976928,53.999496327724806,3.331502413611998,9.242488012996137,0.0,1775.5688388870622,3152644.70162675,16.584421325642676,275.0430307064316,31.16995205198455,971.5659109230157,3153891.3105683792,3152919.7446574564,False,False,6.374129664135268
SU2CMB_asymptotic,0.1,0.002242,0.4,0.2983528308017585,35.852984814007925,2.868341638219455,5.282438328508474,0.0,1149.8270625519972,1322102.2737769545,17.784276933919504,316.2805060623413,15.329753314033894,235.00133666913317,1322653.555619686,1322418.5542830168,False,False,3.6430609162127405
SU2CMB_asymptotic,0.12,0.0026904,0.48,0.30073940588667086,25.749272468211917,2.5565947874219614,3.4277688987643162,0.0,801.4231885590316,642279.1271601251,18.579801962223623,345.2090409554488,7.911075595057265,62.58511707071066,642686.9213181512,642624.3362010805,False,False,2.363978550871942
SU2CMB_asymptotic,0.13999999999999999,0.0031387999999999993,0.5599999999999999,0.30248147320895963,19.566425487777646,2.3199342029346743,2.488745560777422,0.0,588.2215685440568,346004.61370043055,19.16049106965321,367.1244180302605,4.154982243109688,17.26387744055682,346389.00199590134,346371.7381184608,False,False,1.7163762488120153
SU2CMB_asymptotic,0.15999999999999998,0.003587199999999999,0.6399999999999999,0.30383485896332496,15.497349758021993,2.128907059900034,1.994563541787415,0.0,447.908612345586,200622.12501334844,19.611619654441654,384.6156254704822,2.1782541671496602,4.74479121670486,201011.48543003562,201006.7406388189,False,False,1.3755610633016655
SU2CMB_asymptotic,0.18,0.004035599999999999,0.72,0.30493334697438795,12.662553045810077,1.969968956130462,1.7495364366268567,0.0,350.1570015796578,122609.92575525647,19.977782324795985,399.1117866169309,1.1981457465074268,1.435553229873839,123010.47309510328,123009.0375418734,False,False,1.206576852846108
SU2CMB_asymptotic,0.19999999999999998,0.004483999999999999,0.7999999999999999,0.30585420126039475,10.597985018113889,1.83578423845394,1.6651918126305056,0.0,278.9650006246169,77821.4715734925,20.28473375346492,411.470423448959,0.8607672505220227,0.7409202595712426,78233.68291720103,78232.94199694146,False,False,1.148408146641728
SU2CMB_asymptotic,0.21999999999999997,0.004932399999999999,0.8799999999999999,0.3066443445538961,9.04010614160886,1.7211968915203053,1.6983812938289178,0.0,225.24503936582272,50735.32775891103,20.548114851298703,422.2250239421623,0.9935251753156713,0.9870922739860354,51158.53987512718,51157.55278285319,False,False,1.1712974440199433
SU2CMB_asymptotic,0.24,0.0053808,0.96,0.3073350486651303,7.830502846501744,1.622319358282216,1.8256095152888296,0.0,183.53458091385323,33684.94239122374,20.77834955504343,431.73981023157353,1.5024380611553187,2.2573201276081534,34118.93952158292,34116.68220145531,False,False,1.259041045026779
SU2CMB_asymptotic,0.25,0.005605,1.0,0.3076501375768962,7.32294390734141,1.5781069189841268,1.919050636646951,0.0,166.03254852901415,27566.80717103944,20.88337919229873,436.11552648933554,1.8762025465878045,3.520135995822563,28006.442833524598,28002.922697528775,False,False,1.3234831976875525
SU2CMB_asymptotic,0.25999999999999995,0.005829199999999999,1.0399999999999998,0.3079480333230717,6.867451260622933,1.5367670191286207,2.0314733906719806,0.0,150.32590553872183,22597.877876036717,20.98267777435723,440.2727665825049,2.3258935626879227,5.409780864953118,23043.560423484174,23038.15064261922,False,False,1.4010161314979177
SU2CMB_asymptotic,0.27999999999999997,0.006277599999999999,1.1199999999999999,0.30849871985972444,6.086982929940678,1.4620359381910575,2.307090841949547,0.0,123.41320448071303,15230.819040198288,21.16623995324148,448.00971375819586,3.4283633677981884,11.753675381660537,15690.582429338145,15678.828753956484,False,False,1.591097132378998
SU2CMB_asymptotic,0.3,0.006725999999999999,1.2,0.3089982624046264,5.442056237933112,1.3964305451989962,2.6439871639107584,0.0,101.17435303217628,10236.249711479439,21.332754134875472,455.0863989790466,4.775948655643034,22.8096855613385,10714.145796019824,10691.336110458486,False,False,1.82343942338673
