Galaxy,Q,D_Mpc,resolved,preferred_name,ra_deg,dec_deg,gal_b_deg,abs_gal_b_deg,central_cz_kms,count_2mpc_mk23,count_5mpc_mk23,nearest_mpc_mk23,tidal_strength_mk23,sideband_count_5mpc_mk23,shifted_count_2mpc_mk23,shifted_count_5mpc_mk23,shifted_nearest_mpc_mk23,shifted_tidal_strength_mk23,shifted_sideband_count_5mpc_mk23,count_2mpc_mk22,count_5mpc_mk22,nearest_mpc_mk22,tidal_strength_mk22,sideband_count_5mpc_mk22,shifted_count_2mpc_mk22,shifted_count_5mpc_mk22,shifted_nearest_mpc_mk22,shifted_tidal_strength_mk22,shifted_sideband_count_5mpc_mk22
CamB,2,3.36,True,PGC1 0166084 NED001,73.28081062,67.09836951,14.423159970658913,14.423159970658913,76.74686894820753,5,9,0.37317115848482935,28.799678285761818,0,3,9,0.33400385983421016,81.96531267537998,0,5,18,0.37317115848482935,29.053035980248193,1,8,18,0.33400385983421016,82.74302231039258,1
D512-2,2,15.2,True,LSBC D512-02,218.334625,26.99802778,67.35314693037694,67.35314693037694,834.9220015258492,1,7,1.1505040755736298,3.3034618472223465,7,1,5,1.9171630377550046,0.6056327404864154,3,1,14,1.1505040755736298,3.3613904453530035,17,1,7,1.9171630377550046,0.6187821828988258,24
D564-8,2,8.79,True,LSBC D564-08,135.7237015,20.07535018,37.598752380929554,37.598752380929554,483.26545728562286,1,10,1.0694179324755395,1.875393411247681,1,0,10,3.1865459473407802,0.4047987414385309,3,1,19,1.0694179324755395,1.9561467919402182,9,0,14,3.1865459473407802,0.43238923977291327,23
D631-7,1,7.72,True,UGC 04115,119.2575,14.390833,20.897389411860267,20.897389411860267,340.864024746,0,3,2.996116240784106,0.10564155821985584,1,0,15,2.1366863092616186,1.3146225858090466,4,1,5,0.3978304963907098,12.977818263942975,4,0,34,2.1366863092616186,1.7307447849378215,36
DDO064,1,6.8,True,UGC 05272,147.5933333,31.48777778,50.56269215229525,50.56269215229525,512.9448926400754,1,17,1.2721141187835547,1.1425563662073575,0,1,8,1.3776601595589053,0.9268785147716853,1,2,43,1.2721141187835547,1.8191465090046866,11,3,22,1.3776601595589053,1.2176518628662518,13
DDO154,2,4.04,True,NGC 4789A,193.521875,27.14963889,89.41014371695222,89.41014371695222,363.94804401199997,1,7,0.16697164196665606,606.8899024063144,0,0,7,3.830083482665668,0.25528719967904423,0,7,22,0.16697164196665606,622.0477746907402,1,0,22,2.4427486201605135,0.48616766471638456,1
DDO161,1,7.5,True,UGCA 320,195.81975,-17.42302778,45.35625241335548,45.35625241335548,741.98633355,3,18,1.0548199521190762,4.877712191979252,2,0,2,3.668174339092215,0.03841241920039179,0,6,39,1.0548199521190762,6.045545536010548,15,0,2,3.668174339092215,0.03841241920039179,1
DDO168,2,4.25,True,UGC 08320,198.6088551,45.92493988,70.65718303228816,70.65718303228816,191.86717312000002,2,11,0.47548452011603853,11.786102460553973,0,0,11,3.5102800830307266,1.6745847800604317,0,7,23,0.2181640861413584,106.24769542194308,3,1,23,1.3498791382866266,2.1734573246396063,3
DDO170,2,15.4,True,UGC 08333,198.9743336,25.4355594,84.26272999109034,84.26272999109034,941.0485256619999,1,38,1.5415309308721576,3.594441433297118,12,0,1,4.5811143669720815,0.01237230000150113,2,1,60,1.5415309308721576,3.8053677882733465,26,0,3,2.6824440085930417,0.04631109542081965,18
ESO079-G014,1,28.7,True,NGC 0360,15.7143121,-65.6100396,-51.476235028756314,51.476235028756314,2306.303379394,2,12,1.768329968018483,1.0705396886510958,3,1,8,1.9809919392954665,0.38933001301467857,5,7,21,1.067927757963699,1.8756774116806934,9,1,11,1.9809919392954665,0.40230458888264453,15
