Galaxy,scenario,N_points,rar_success,plamb_success,rar_profile_objective,plamb_profile_objective,delta_objective_plamb_minus_rar,delta_objective_per_point,signed_log1p_delta_per_point
D512-2,baseline,4,True,True,1.1803231200365574,1.279518498229812,0.09919537819325464,0.02479884454831366,0.024496344109815892
D564-8,baseline,6,True,True,12.427941619898633,13.271940851839855,0.843999231941222,0.14066653865687032,0.13161277457821857
D631-7,baseline,16,True,True,75.5936842919451,74.52987945426878,-1.0638048376763152,-0.0664878023547697,-0.06437082178441725
DDO064,baseline,14,True,True,2.8188855314488817,2.8516883442221124,0.032802812773230716,0.0023430580552307656,0.002340317374919542
DDO161,baseline,31,True,True,23.681687627263855,23.26610390385692,-0.41558372340693595,-0.013405926561514063,-0.013316862238263501
DDO170,baseline,8,True,True,6.499972007640643,6.557851946599419,0.05787993895877541,0.0072349923698469265,0.007208945370324224
ESO079-G014,baseline,15,True,True,33.9934259381356,33.9165430588199,-0.07688287931570414,-0.00512552528771361,-0.005112434495380245
ESO116-G012,baseline,15,True,True,16.764743832436775,16.98485991527221,0.22011608283543538,0.014674405522362358,0.014567778295374137
ESO563-G021,baseline,30,True,True,348.4838180264709,348.5572617456906,0.0734437192197106,0.002448123973990353,0.002445132200321388
F563-1,baseline,17,True,True,20.40818300620194,20.21064070000059,-0.1975423062013526,-0.011620135658903094,-0.011553140379220665
F563-V2,baseline,10,True,True,11.407807968758949,11.220492144641682,-0.18731582411726677,-0.018731582411726677,-0.018558306795259275
F565-V2,baseline,7,True,True,2.270098936603346,2.2380377163656147,-0.03206122023773128,-0.004580174319675897,-0.004569717239286499
F571-8,baseline,13,True,True,314.8252134582899,309.27672071191654,-5.54849274637337,-0.42680713433641304,-0.35543917472587977
F583-1,baseline,25,True,True,35.872128356292365,35.17322079297868,-0.6989075633136821,-0.027956302532547283,-0.02757265886545495
F583-4,baseline,12,True,True,1.5410524576732385,1.6382693390504037,0.09721688137716522,0.008101406781430434,0.00806876655484328
KK98-251,baseline,15,True,True,9.700144128186666,9.852696302788095,0.15255217460142845,0.010170144973428562,0.010118777035044619
NGC0024,baseline,29,True,True,25.788613946582892,25.19901479287242,-0.5895991537104734,-0.020331005300361152,-0.02012708965292984
NGC0100,baseline,21,True,True,19.33390184149935,19.359474628530638,0.025572787031286737,0.0012177517633946064,0.0012170109051093077
NGC0289,baseline,28,True,True,43.672715449254994,44.691287870243464,1.0185724209884697,0.036377586463873915,0.03573154313452209
NGC0891,baseline,18,True,True,110.77817595065993,115.943208619644,5.165032668984068,0.2869462593880038,0.2522721712448852
NGC1003,baseline,36,True,True,62.00470374048597,59.404109475714854,-2.600594264771118,-0.0722387295769755,-0.06974873335655794
NGC1090,baseline,24,True,True,41.642056696791094,41.82938325909752,0.1873265623064242,0.007805273429434341,0.0077749698657076345
NGC2683,baseline,11,True,True,13.727581225980366,14.137742434169681,0.4101612081893151,0.03728738256266501,0.036609019651467956
NGC2998,baseline,13,True,True,36.8242129252441,36.3777107438831,-0.44650218136099795,-0.03434632164315369,-0.033769653899267296
NGC3198,baseline,43,True,True,34.96438586731121,36.24758416856573,1.2831983012545223,0.029841820959407496,0.029405218564104788
NGC3521,baseline,41,True,True,18.13421717488037,17.83604261100462,-0.2981745638757509,-0.007272550338432949,-0.007246232863961385
NGC3726,baseline,12,True,True,22.084978818646338,21.760962712507368,-0.3240161061389699,-0.027001342178247494,-0.026643237837726392
NGC3769,baseline,12,True,True,8.216558101905202,8.545278877793965,0.3287207758887636,0.0273933979907303,0.02702491309183066
NGC3877,baseline,13,True,True,72.68749947675653,72.75970061819594,0.07220114143940748,0.005553933956877499,0.005538567734745727
NGC3893,baseline,10,True,True,9.683217607194928,10.357134272270077,0.6739166650751489,0.0673916665075149,0.0652179776055318
NGC3917,baseline,17,True,True,28.302167361569964,28.298298821045023,-0.003868540524941011,-0.00022756120734947124,-0.00022753531922527348
NGC3949,baseline,7,True,True,2.634872033329914,2.778055115287007,0.14318308195709317,0.020454725993870455,0.020248337750428457
NGC3953,baseline,8,True,True,11.88456294076651,11.423000475134597,-0.46156246563191416,-0.05769530820398927,-0.05609230349442776
NGC3972,baseline,10,True,True,10.08729060140995,10.055748143593728,-0.031542457816222225,-0.0031542457816222226,-0.0031492815845226662
