test,fold,N_train,N_test,environment_coefficient_standardised
primary_10_40_mpc_mk22__combined_conventional,1,59,7,-0.006584805562132556
primary_10_40_mpc_mk22__combined_conventional,2,59,7,-0.005807042635940897
primary_10_40_mpc_mk22__combined_conventional,3,59,7,-0.006086661912861511
primary_10_40_mpc_mk22__combined_conventional,4,59,7,-0.007260587038688321
primary_10_40_mpc_mk22__combined_conventional,5,59,7,-0.006269105296372159
primary_10_40_mpc_mk22__combined_conventional,6,59,7,-0.00564022838891039
primary_10_40_mpc_mk22__combined_conventional,7,60,6,-0.007644803383589534
primary_10_40_mpc_mk22__combined_conventional,8,60,6,-0.007469658815689039
primary_10_40_mpc_mk22__combined_conventional,9,60,6,-0.005536824371482947
primary_10_40_mpc_mk22__combined_conventional,10,60,6,-0.0023858311537330156
primary_10_40_mpc_mk22__combined_conventional__shifted_ra90,1,59,7,-0.0010099217356602497
primary_10_40_mpc_mk22__combined_conventional__shifted_ra90,2,59,7,0.0008119885040137804
primary_10_40_mpc_mk22__combined_conventional__shifted_ra90,3,59,7,-0.0005852882896229624
primary_10_40_mpc_mk22__combined_conventional__shifted_ra90,4,59,7,9.763948876839735e-06
primary_10_40_mpc_mk22__combined_conventional__shifted_ra90,5,59,7,-0.000332113640366174
primary_10_40_mpc_mk22__combined_conventional__shifted_ra90,6,59,7,0.0003594371712510147
primary_10_40_mpc_mk22__combined_conventional__shifted_ra90,7,60,6,-0.0004975702309030217
primary_10_40_mpc_mk22__combined_conventional__shifted_ra90,8,60,6,-0.0010764843428354065
primary_10_40_mpc_mk22__combined_conventional__shifted_ra90,9,60,6,-0.0004930009058286086
primary_10_40_mpc_mk22__combined_conventional__shifted_ra90,10,60,6,0.0001643351356300671
near_5_40_mpc_mk22__combined_conventional,1,87,10,-0.004359303881615799
near_5_40_mpc_mk22__combined_conventional,2,87,10,-0.0041362322032505875
near_5_40_mpc_mk22__combined_conventional,3,87,10,-0.003049164546806228
near_5_40_mpc_mk22__combined_conventional,4,87,10,-0.0037284242063872052
near_5_40_mpc_mk22__combined_conventional,5,87,10,-0.0045818191384035135
near_5_40_mpc_mk22__combined_conventional,6,87,10,-0.0033359548148749717
near_5_40_mpc_mk22__combined_conventional,7,87,10,-0.00441487255043698
near_5_40_mpc_mk22__combined_conventional,8,88,9,-0.0013179115977902083
near_5_40_mpc_mk22__combined_conventional,9,88,9,-0.003898751403227552
near_5_40_mpc_mk22__combined_conventional,10,88,9,-0.004077711511202715
wide_10_80_mpc_mk23__combined_conventional,1,72,8,-0.00086544651505625
wide_10_80_mpc_mk23__combined_conventional,2,72,8,-0.0021073214450101764
wide_10_80_mpc_mk23__combined_conventional,3,72,8,-0.0028507069098128485
wide_10_80_mpc_mk23__combined_conventional,4,72,8,-0.006717449937921193
wide_10_80_mpc_mk23__combined_conventional,5,72,8,-0.002334740332829444
wide_10_80_mpc_mk23__combined_conventional,6,72,8,-0.002973826702396304
wide_10_80_mpc_mk23__combined_conventional,7,72,8,-0.0030320419259395157
wide_10_80_mpc_mk23__combined_conventional,8,72,8,-0.004205969617707324
wide_10_80_mpc_mk23__combined_conventional,9,72,8,0.0005837031471214636
wide_10_80_mpc_mk23__combined_conventional,10,72,8,0.0024686429350071954
latitude_strict_10_40_mpc_mk22__combined_conventional,1,54,7,-0.006774499402958507
latitude_strict_10_40_mpc_mk22__combined_conventional,2,55,6,-0.005242607192089381
latitude_strict_10_40_mpc_mk22__combined_conventional,3,55,6,-0.00537845290049672
latitude_strict_10_40_mpc_mk22__combined_conventional,4,55,6,-0.005487101645635225
latitude_strict_10_40_mpc_mk22__combined_conventional,5,55,6,-0.0058400856291861356
latitude_strict_10_40_mpc_mk22__combined_conventional,6,55,6,-0.004297681960773703
latitude_strict_10_40_mpc_mk22__combined_conventional,7,55,6,-0.004852439423445657
latitude_strict_10_40_mpc_mk22__combined_conventional,8,55,6,0.0021236201164211944
latitude_strict_10_40_mpc_mk22__combined_conventional,9,55,6,-0.006255928797458746
latitude_strict_10_40_mpc_mk22__combined_conventional,10,55,6,-0.00557825221726498
primary_10_40_mpc_mk22__baseline,1,59,7,-0.0270642122006153
primary_10_40_mpc_mk22__baseline,2,59,7,-0.020838592890617517
primary_10_40_mpc_mk22__baseline,3,59,7,-0.024944003682306887
primary_10_40_mpc_mk22__baseline,4,59,7,-0.02848805632865852
primary_10_40_mpc_mk22__baseline,5,59,7,-0.029174822030117478
primary_10_40_mpc_mk22__baseline,6,59,7,-0.02067769222271048
primary_10_40_mpc_mk22__baseline,7,60,6,-0.030706833844948295
primary_10_40_mpc_mk22__baseline,8,60,6,-0.03312397074201917
primary_10_40_mpc_mk22__baseline,9,60,6,-0.01825636942413048
primary_10_40_mpc_mk22__baseline,10,60,6,-0.008243583246874976
