test,fold,N_train,N_test,environment_coefficient_standardised
posthoc_component__log1p_count_2mpc,1,59,7,-0.009263525470353607
posthoc_component__log1p_count_2mpc,2,59,7,-0.007310324667495671
posthoc_component__log1p_count_2mpc,3,59,7,-0.007201365298057559
posthoc_component__log1p_count_2mpc,4,59,7,-0.009160870954481773
posthoc_component__log1p_count_2mpc,5,59,7,-0.00796538098956703
posthoc_component__log1p_count_2mpc,6,59,7,-0.0069543898253443615
posthoc_component__log1p_count_2mpc,7,60,6,-0.007726833664517727
posthoc_component__log1p_count_2mpc,8,60,6,-0.005720559421986355
posthoc_component__log1p_count_2mpc,9,60,6,-0.007951366621331824
posthoc_component__log1p_count_2mpc,10,60,6,-0.0043841580252574315
posthoc_component__log1p_count_5mpc,1,59,7,0.0013349722124000828
posthoc_component__log1p_count_5mpc,2,59,7,-3.611669242692288e-06
posthoc_component__log1p_count_5mpc,3,59,7,-0.0001468512199112112
posthoc_component__log1p_count_5mpc,4,59,7,-0.0008501756068028412
posthoc_component__log1p_count_5mpc,5,59,7,-0.000507781040819478
posthoc_component__log1p_count_5mpc,6,59,7,-0.002481818690589436
posthoc_component__log1p_count_5mpc,7,60,6,-0.0010645877739260462
posthoc_component__log1p_count_5mpc,8,60,6,-0.00054068649887277
posthoc_component__log1p_count_5mpc,9,60,6,-0.0018720426527669741
posthoc_component__log1p_count_5mpc,10,60,6,0.00014857273973444755
posthoc_component__minus_log10_nearest_mpc,1,59,7,-0.003740875631183569
posthoc_component__minus_log10_nearest_mpc,2,59,7,-0.0030035295352428973
posthoc_component__minus_log10_nearest_mpc,3,59,7,-0.0028737613926579177
posthoc_component__minus_log10_nearest_mpc,4,59,7,-0.0035770460646116884
posthoc_component__minus_log10_nearest_mpc,5,59,7,-0.0027380075421394048
posthoc_component__minus_log10_nearest_mpc,6,59,7,-0.0017280607512480909
posthoc_component__minus_log10_nearest_mpc,7,60,6,-0.004142084222425964
posthoc_component__minus_log10_nearest_mpc,8,60,6,-0.003888623759200071
posthoc_component__minus_log10_nearest_mpc,9,60,6,-0.002043294002027611
posthoc_component__minus_log10_nearest_mpc,10,60,6,-0.0010618266110033671
posthoc_component__log10_tidal_strength,1,59,7,-0.005923738437713859
posthoc_component__log10_tidal_strength,2,59,7,-0.005306304133274526
posthoc_component__log10_tidal_strength,3,59,7,-0.0054145876188460475
posthoc_component__log10_tidal_strength,4,59,7,-0.006339847679673077
posthoc_component__log10_tidal_strength,5,59,7,-0.005507152615683727
posthoc_component__log10_tidal_strength,6,59,7,-0.00468466046366646
posthoc_component__log10_tidal_strength,7,60,6,-0.0065180962799055225
posthoc_component__log10_tidal_strength,8,60,6,-0.006959148445372081
posthoc_component__log10_tidal_strength,9,60,6,-0.004321095541297116
posthoc_component__log10_tidal_strength,10,60,6,-0.0017012141132993178
