Galaxy,test,outcome,environment_score,outcome_crossfit_residual,environment_crossfit_residual,baseline_prediction,environment_prediction
D512-2,primary_10_40_mpc_mk22__combined_conventional,0.013057787227637629,-0.9265069569804703,0.009652409389805033,-0.813443634054604,0.003405377837832596,0.014619446223195772
DDO170,primary_10_40_mpc_mk22__combined_conventional,0.005828530117466819,-0.6542749899313453,0.010990417903503889,-0.6986615298967682,-0.005161887786037069,0.004469803761454819
ESO079-G014,primary_10_40_mpc_mk22__combined_conventional,-0.0022941255793678885,-0.6782799666424735,0.026599952444400443,-0.6209077676056411,-0.02889407802376833,-0.0224918852197182
ESO116-G012,primary_10_40_mpc_mk22__combined_conventional,0.0028231842951854003,0.07039811668665986,0.0014458504232665705,0.43760249382879834,0.0013773338719188298,-0.003161270728040736
F583-1,primary_10_40_mpc_mk22__combined_conventional,-0.006919200642358494,-0.8528091880861961,0.03575113479969013,-0.5769684200412751,-0.042670335442048624,-0.03672120215741158
NGC0100,primary_10_40_mpc_mk22__combined_conventional,-0.00022625612090411407,-0.6703635003610355,0.00045094025577816063,-0.2702650745321854,-0.0006771963766822747,0.0024809485415239196
NGC0289,primary_10_40_mpc_mk22__combined_conventional,0.0162453227572061,-0.49925421351396654,0.004184460936475046,-0.6046432935371425,0.012060861820731053,0.019126874620464238
NGC1003,primary_10_40_mpc_mk22__combined_conventional,-0.014374359170814461,-0.4134359413678392,-0.011408614376967923,0.2877566779058219,-0.002965744793846538,-0.00610342604262544
NGC1090,primary_10_40_mpc_mk22__combined_conventional,0.004553654062668299,-0.8481255270377754,0.036591003535848446,-0.317171061448109,-0.03203734947318015,-0.02857893558195942
NGC3198,primary_10_40_mpc_mk22__combined_conventional,0.008393194348701715,-0.6836721566475051,0.005226868710773942,0.1710537219181495,0.0031663256379277725,0.0008024599656771638
NGC3726,primary_10_40_mpc_mk22__combined_conventional,-0.016818292286482985,0.062366419606850666,-0.013873943210458636,-0.2684782208006304,-0.002944349076024348,-0.0001760646013716507
NGC3769,primary_10_40_mpc_mk22__combined_conventional,0.014637027463911576,0.1568374030078925,0.007723333721313716,-0.24877250369329063,0.00691369374259786,0.009820911459402771
NGC3877,primary_10_40_mpc_mk22__combined_conventional,0.006195124635441844,0.1613756667424676,0.003876997278648605,-0.3450108755544693,0.0023181273567932387,0.00708598248517558
NGC3893,primary_10_40_mpc_mk22__combined_conventional,0.03723887669285583,0.17586679853953832,0.029591892975073572,-0.3746403325890443,0.007646983717782259,0.012024791189092332
NGC3917,primary_10_40_mpc_mk22__combined_conventional,-4.8813673213200953e-05,0.3878268884642284,0.009399945906614401,0.11396998137121844,-0.009448759579827602,-0.010807423988193919
NGC3949,primary_10_40_mpc_mk22__combined_conventional,0.008946951417362127,0.21173487290090628,-0.0021513655701496815,-0.4292730110540106,0.011098316987511809,0.015524559862425286
NGC3953,primary_10_40_mpc_mk22__combined_conventional,-0.021341983134768483,0.32729008379635316,-0.029806289105252348,-0.0299243334017828,0.008464305970483864,0.008599202061515706
NGC3972,primary_10_40_mpc_mk22__combined_conventional,-0.001247662127434001,0.7086933311766992,0.0010512212954197722,0.5098639721154772,-0.002298883422853773,-0.008257281360280729
NGC3992,primary_10_40_mpc_mk22__combined_conventional,-0.011528298562675546,0.07385917911445256,-0.002801311999165411,0.28145119534677465,-0.008726986563510135,-0.012082236052972413
NGC4010,primary_10_40_mpc_mk22__combined_conventional,0.002284728754184413,0.2539492878603349,0.027755045004948596,0.07658881691303088,-0.025470316250764184,-0.026383350528445468
NGC4013,primary_10_40_mpc_mk22__combined_conventional,-0.016920835915965847,0.2881401601307954,-0.02662204006375154,-0.027162151059622885,0.00970120414778569,0.00999737858473193
NGC4051,primary_10_40_mpc_mk22__combined_conventional,-0.0020028728056762125,0.30790332784282926,0.0030564178988069218,0.01699572626967716,-0.005059290704483134,-0.005261900971670367
NGC4085,primary_10_40_mpc_mk22__combined_conventional,0.014406914447975995,0.8612583384711401,0.0002576315038858995,0.36647908757948366,0.014149282944090095,0.012497229556780775
NGC4088,primary_10_40_mpc_mk22__combined_conventional,-0.0013679120993654482,0.7491139064391369,-0.0009859915759833353,0.45101025460329874,-0.0003819205233821128,-0.005299708806088476
NGC4100,primary_10_40_mpc_mk22__combined_conventional,0.004346882303339353,0.3230360470529565,0.009258380602631539,0.05455198063990074,-0.004911498299292185,-0.005668145843745031
NGC4138,primary_10_40_mpc_mk22__combined_conventional,0.017246682101959745,0.3751436971079048,0.006117235933888033,-0.01455666348404333,0.011129446168071712,0.011331350178731442
NGC4157,primary_10_40_mpc_mk22__combined_conventional,-0.005213436257610684,0.3001632761378028,-0.00697767619500116,-0.1332756569039023,0.0017642399373904757,0.0033216140794257087
NGC4183,primary_10_40_mpc_mk22__combined_conventional,0.0027564163420466395,0.3919549242075374,0.0062776668127849065,0.0424905609850198,-0.003521250470738267,-0.0040177680081183755
NGC4217,primary_10_40_mpc_mk22__combined_conventional,-0.004043360622206573,0.3001563724682699,-0.032628275105730326,0.1689887338760592,0.028584914483523752,0.026842468161489684
NGC5005,primary_10_40_mpc_mk22__combined_conventional,0.00277392716675542,0.11643089811147954,-0.01846437641600192,0.10133260695099101,0.021238303582757342,0.020030292448467227
NGC5033,primary_10_40_mpc_mk22__combined_conventional,0.06045744518649573,0.20816779695904167,0.05907363244753355,0.1982456609969932,0.0013838127389621726,-0.001349185967341033
NGC5371,primary_10_40_mpc_mk22__combined_conventional,-0.09551753007791411,0.18916594259486108,-0.10485635436770464,0.6085492921750716,0.009338824289790536,0.006595541102412296
NGC5907,primary_10_40_mpc_mk22__combined_conventional,-0.03670171082515894,-0.3352656108380882,-0.014225055508430517,0.26772215797788573,-0.022476655316728423,-0.0252533420012081
NGC6015,primary_10_40_mpc_mk22__combined_conventional,-0.011647192529756226,-0.569240155079726,-0.005617387502575864,-0.2613055975731958,-0.006029805027180361,-0.0029763548301725787
NGC7331,primary_10_40_mpc_mk22__combined_conventional,0.006194533292054293,-0.9702623617707391,-0.009351050861540786,-0.1658308615349633,0.01554558415359508,0.016293134138858138
NGC7814,primary_10_40_mpc_mk22__combined_conventional,-0.0023837133953477714,-0.7370144712509759,0.004994152443537717,-0.41838362991303557,-0.007377865838885488,-0.0028158362799960944
UGC00191,primary_10_40_mpc_mk22__combined_conventional,-0.005195201760589767,-0.6108437030859952,-0.0157678183245197,-0.09232719839089898,0.010572616563929932,0.011673271989759187
UGC00634,primary_10_40_mpc_mk22__combined_conventional,0.010913439210707518,-0.2725219338830895,0.021670376316335685,0.5108984503849114,-0.010756937105628167,-0.017817264675985333
UGC00731,primary_10_40_mpc_mk22__combined_conventional,-0.028405528309447446,0.024783408917786964,-0.03348336490936077,0.8011042692100879,0.005077836599913319,-0.0032308352485305213
UGC00891,primary_10_40_mpc_mk22__combined_conventional,0.002366051534496454,-0.4947180337158504,-0.016709932059688418,0.16402765227545218,0.019075983594184873,0.016800885259335308
UGC02023,primary_10_40_mpc_mk22__combined_conventional,0.003228127370552656,-0.37211373186704727,-0.0023276673810235264,0.3633020064411792,0.0055557947515761825,0.0015943718523748244
UGC02259,primary_10_40_mpc_mk22__combined_conventional,-0.006655578295853508,-0.47759595949189027,-0.002959202780798376,0.03885645982588437,-0.0036963755150551322,-0.004232047538854316
UGC03546,primary_10_40_mpc_mk22__combined_conventional,0.0016829585011637004,-1.142926498727967,0.007446897240951945,-0.3861430845614877,-0.005763938739788244,-0.0012513740471769628
